Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
codex.m.ui.cameramemory,Kamera Memória,,
codex.m.ui.cameramemory.desc,"Elmentheted a kamera pozícióját és nagyítását a {0} gomb és egy a numerikus billentyűzeten lévő szám együttes lenyomásával. Ha ezután megnyomod ugyanazt a számot anélkül, hogy lenyomva tartanád a {0} gombot, a kamera a mentett pozícióba kerül.",,
codex.m.ui.commonactions,Gyakori Műveletek,,
codex.m.ui.commonactions.desc,"Ha több objektumot is kijelölsz, némelyiknek közös műveletei lehetnek. Ezek a műveletek az Információs Panel tetején és a Kontextus Menüben jelennek meg.<br><br>Ha egy közös műveletnek van szorzója (pl. X12), az azt jelenti, hogy a művelet a megadott számú elemre vonatkozik.",,
codex.m.ui.contextmenu,Kontextus Menü,,
codex.m.ui.contextmenu.desc,"Tetszőleges objektum kiválasztását követően a {0} gombbal, vidd a kurzort az objektum fölé, és használd a {1} gombot a Kontextus Menü megnyitásához. Előfordulhat, hogy egyes objektumok nem rendelkeznek vele, de a legtöbb igen.<br><br>A Kontextus Menü általában hasznos műveletek részhalmazát tartalmazza, amelyeket az Információs Panel felfedezésével találhatóak meg.<br><br>Az Információs Panel szinte mindig rendelkezik mindennel, ami a Kontextus Menüben van, és még sok minden mással is.<br><br>Több objektumot is kiválaszthatsz, és az egyik felett egy Kontextus Menüt hívhatsz meg, hogy az összes kijelölt objektummal közös műveleteket hajts végre. További részletekért lásd a „Közös műveletek” részt.",,
codex.m.ui.hotbar,Gyorstálca,,
codex.m.ui.hotbar.desc,"A Gyorstálca az ikonok alsó sora, amely az eszközökhöz vagy tervrajzokhoz vezető gyors gombokat tartalmaz. Alapból a Radiális Menü tartalmával jön, de igény szerint testre szabható.<br><br>A Radiális Menü használatakor tartsd lenyomva a {0} billentyűt a menüelem aktiválása közben, hogy hozzáadhasd azt a Gyorstálcához. <br><br>Elemek eltávolításához a Gyorstálcáról tartsd lenyomva a {0} billentyűt, és kattints az elemre a Gyorstálcában.<br><br>A Gyorstálca elemeit kattintással és húzással rendezheted.<br><br>A Gyorstálca elemei lezárhatóak/feloldhatóak, amin akár el is rejtheted információs gombokat a Beállítások menü Jelenlegi Játék menüpontjában.",,
codex.m.ui.infopanel,Információs Panel,,
codex.m.ui.infopanel.desc,"Az információs panel a felhasználói felület legfontosabb része, mivel bármely kiválasztott objektum belső adatait és vezérlőelemeit megjeleníti. Erősen ajánlott az egyes eszközök, lények és anyagok információs paneljének felfedezése. Segít megérteni az objektumok állapotát, és megtudhatod, hogy hogyan kezeld vagy konfiguráld azt.<br><br>Minden objektumnak van egy komponenskészlete. Ha egy objektum ki van jelölve, az objektum minden egyes összetevője megjeleníti adatait és vezérlőit az információs panelen.<br><br>Ha több objektumot is kijelölsz, az Információs Panel megjeleníti az összes kiválasztott objektumot, valamint egy interaktív listát a közös opciókkal felettük. További részletekért tekintsd meg a kézikönyv „Gyakori Műveletek” című részét.<br><br>Az Információs Panelen Objektum és Környezet fülek találhatók. Az Objektum lapot fentebb leírtuk. A Környezet lapon a kiválasztott hely környezeti adatai láthatók – hőmérséklet, oxigénszint stb.",,
codex.m.ui.overlays,Nézetek,,
codex.m.ui.overlays.desc,"A Nézetek különféle belső rendszerek és adatcsoportok felhasználói felületét teszik elérhetővé, például az Elektromos hálózathoz, a Készlethez, a Kutatási Adatbázishoz, a Csillagtérképhez stb.<br><br>A Nézet gombok a felhasználói felület bal felső sarkában találhatók. Vidd az egérmutatót az egyes gombok fölé, hogy megjelenítsd az egyes gombok neveit. Az első sor az F1-F10 billentyűkkel váltható.<br><br>Fedezd fel az egyes Nézeteket, és nézd meg, milyen funkciókat kínálnak. Minden nézet hasznos egy bizonyos szempontból.<br><br>Egyes Nézetek kutatást igényelnek, vagy bizonyos előfeltételeket kell aktiválni.",,
codex.m.ui.quicksearch,Gyorskeresés,,
codex.m.ui.quicksearch.desc,"A Gyorskeresés egy rendkívül hatékony UI widget. Nyisd meg a(z) {0} segítségével, és kezd el beírni az elkészíteni kívánt tervrajz nevét (fel kell oldani a kutatásban először). Ez akkor is működik, ha név szerint keresel kolonistát vagy munkást.",,
codex.m.ui.radialmenu,Eszközmenü,2023-08-16,
codex.m.ui.radialmenu.desc,"A Radiális Menü egy körkörös menü, amelyet a(z) {0} gombra kattintva hívhatsz meg.<br><br>A(z) {1} gombra kattintva vagy belépsz egy almenübe, vagy elindítod a kiválasztott műveletet.<br><br>A(z) {0} gombra kattintva kilép az almenübe (egy szinttel feljebb), és kilép a menüből.<br><br>A(z) {1} ikonra duplán kattintva azonnal kilép a menüből, még akkor is, ha mélyen az almenüben vagy.<br><br>Gyakran használt eszközök és tervrajzok elhelyezhetők a Gyorstálcán (alsó sor).<br><br>Szinte mindig gyorsabb az építés a Gyorskeresés ({2}) vagy a ""Másolat készítése"" segítségével.",,
codex.m.ui.timecontrols,Idő Vezérlők,,
codex.m.ui.timecontrols.desc,"Az Időszabályozók a felhasználói felület jobb felső sarkában találhatók.<br><br>Az időt szüneteltetheted/újraindíthatod a(z) {0} gombbal, és válthatsz a különböző sebességek között a(z) {1}, {2} és {3} gombokkal.",2022-12-12,
codex.m.ui.uiscaling,Felhasználói Felület Méretezése,,
codex.m.ui.uiscaling.desc,"Ha a szövegek túl kicsik, vagy a gombok túl nagyok/kicsik a kijelzőhöz, beállíthatod a felhasználói felület léptékét a Szünet Menü > Beállítások > Videó menüpontban.<br><br>Lehet, hogy a felhasználói felület skála csúszkájának feloldáshoz ki kell kapcsolnod az felhasználói felület automatikus méretezését.",,
codex.m.whattodo,Mit csináljak?,,
codex.m.whattodo.suggestions,Javaslatok,,
codex.m.whattodo.suggestions.desc,"A mesterséges intelligencia folyamatosan nyomon követi a játékmeneted, és bizonyos, általa észerűnek ítélt műveleteket javasol.<br><br>Az összes jelenlegi és korábbi javaslatot áttekintheted a Javaslatok {0} Nézetben.<br><br>Habár érdemes tudatában lenni a javaslatoknak, ettől függetlenül szabadon figyelmen kívül hagyhatod ezeket, és csinálhatod a dolgokat a saját belátásod szerint.",,
codex.m.workers,"Munkások (Robotok, Drónok)",,
codex.m.workers.abilitytofly,Repülési képesség,,
codex.m.workers.abilitytofly.desc,"Egyes munkások, például a drónok, mozoghatnak a nyílt térben, míg másoknak burkolati felületre van szükségük a mozgáshoz.<br><br>Bizonyos feladatokhoz, amelyek általában az eszközök űrben való felépítését jelentik, repülési képességet igényelnek.<br><br> Ha nem vagy biztos abban, hogy egy dolgozó tud-e repülni, ellenőrizd a navigációs adatokat az Információs Panelen. A repülni tudó munkások navigációs almenüjében a ""Repülésre képes"" felirat jelenik meg.",,
codex.m.workers.controlling,Közvetlen Irányítás,,
codex.m.workers.cpucost,Munkás CPU költsége,,
codex.m.workers.cpucost.desc,"Minden robotmunkásnak van egy CPU-költsége, amely szükséges a munkás online tartásához. A Fedélzeti Számítógép <b>8 Thz</b> beépített CPU-teljesítménnyel rendelkezik. Végül új <b>CPU-modulokat</b> kell építened és csatlakoztatnod az aktív munkások létszámának növeléséhez.<br><br>Az Expedíciókon részt vevő munkásoknak nincs szükségük CPU-ra.<br> <br>Ha több munkás offline állapotban van, a <b>Ismert Élőlények {0}</b> Nézet lehetővé teszi, hogy egyszerre be- vagy kikapcsold őket.",,
codex.m.workers.managedandunmanaged,Irányított és Irányítatlan Munkások,,
codex.m.workers.managedandunmanaged.desc,"Közvetlen irányítást gyakorolhatsz az Irányított Munkások – a frakciódhoz tartozó mesterséges életformák – felett.<br><br>A nem irányított munkások is a frakciódnak a részét képezik, de mivel biológiai életformákról van szó, nem tudod ellenőrizni tevékenységeiket. Ehhez a kolonistáknak valamilyen agyimplantátumra volna szüksége, amely lehetővé teszi, hogy kapcsolódj az elméjükhöz, és átvedd felettük az irányítást. Azonban ez csak egy elmélet, és még ha léteznének is ilyen agyimplantátumok, Asimov Robotika törvényei tiltja az implantátum beszerelését, mivel az kárt okozna az embereknek.",,
codex.m.workers.needs,Szükségletek,,
codex.m.workers.needs.desc,"A szükségletek a fő mozgatórugói annak, hogy a lények hogyan cselekednek. A robotmunkásoknak sokkal kevesebb szükségletük van, mint az embereknek és a háziállatoknak. A biológiai lények Szükségletei szorosan összefüggenek a Hangulatukkal, és ha a szükségletek nem teljesülnek, a Hangulat szinte mindig lecsökken.<br><br>A kiválasztott lények szükségleteit az Információs Panelen tekintheted meg. Az egyes igényekre kattintva egy felugró ablak jelenik meg egy rövid leírással.<br><br>Meg kellene próbálnod elegendő lehetőségeket és erőforrást biztosítani ahhoz, hogy mindenkinek az igényeit kielégítsed. Ez azonban megterhelőnek bizonyulhat az emberi kolonisták számára.",,
codex.m.workers.priorities,Munkatípusok és Prioritások,,
codex.m.workers.priorities.desc,"Minden robotmunkásnak és biológiai kolonistának van egy sor munkatípusa prioritásokkal. A munkakör típusai határozzák meg, hogy a dolgozó mire képes, míg a prioritások azt mutatják meg, hogy a dolgozó mennyire lesz hajlandó egy adott munkaköri feladat elvégzésére. Az 1-es a legalacsonyabb prioritás, a 9-es a legmagasabb, a 0-as prioritás pedig megtiltja a dolgozónak az adott munkatípushoz tartozó feladatok végrehajtását.<br><br>Az Információs Panelen megtekintheted, hogy a kiválasztott dolgozó milyen típusú munkaköröket végezhet.<br <br>Szabályozhatod az irányított munkásaid (robotok és drónok) munkaprioritásait.<br><br>Lehetőség van egyéni feladatprioritás szabályozására is, vagy egy munkás kényszerítésére egy adott feladat elvégzésére.<br><br> Legyél óvatos, amikor módosítod a munkások prioritásait. Az alapértelmezések észerűen vannak összeállítva, és előfordulhat, hogy olyan helyzetbe kerülsz, hogy bizonyos feladatokat a rossz prioritáskezelés miatt soha nem kerülnek végrehajtásra.",,
codex.m.workers.production,Új Munkások Beszerzése,,
codex.m.workers.production.desc,"Az Összeszerelőben és az Összeszerelő gépsorban robotmunkások hozhatók létre, miután a kutatás során feloldottad a szükséges tervrajzokat. Bizonyos esetekben egy kóbor robotmunkás közvetlenül csatlakozhat a kolóniához.<br><br>A Bontóban leselejtezheted a tönkre ment munkásokat, és ezzel visszaszerezheted az új munkások előállításához szükséges értékes anyagokat.",,
codex.m.workers.skills,Készségek,,
codex.m.workers.skills.desc,"Minden robotmunkásnak és emberi kolonistának van egy sor készsége. Gyakran bizonyos szintű készségekre van szükség bizonyos feladatok elvégzéséhez. Például egy frissítési modul telepítéséhez Tudományos jártasságra van szükség, ezért azok a dolgozók, akik nem rendelkeznek ezzel a képességgel, nem tudják elvégezni a feladatot.<br><br>A Kódex bejegyzéseinek megvizsgálásával megtekintheted, hogy milyen készségek szükségesek egy eszköz elkészítéséhez. <br><br>Az Információs Panel Feladat szakaszának ellenőrzése további részleteket tár fel a szükséges készségekről és a feladat egyéb előfeltételeiről.",,
codex.manual,Üzemeltetési Kézikönyv,2022-04-01,
codex.mark.learned,Megjelölés tanultként,,
codex.materials,Nyersanyagok,,
codex.materials.tip,"Az összes nyersanyag és kisebb tétel, például felszerelés, élelmiszer vagy frissítések listája. Tartalmazza a tulajdonodban lévő tárgyak típus szerinti keresését.",2022-11-13,
codex.species,Fajok,,
codex.Tips,Tippek,,
codex.unlearn,Elfelejt,,
collecting.mat,{0} gyűjtés,,
colonists.from.stasis.array,{0} kolonistát a hibernációból,,
colony.event,Kolónia esemény,,
color.alpha,Fényerősség,,
color.Black,Fekete,,
color.Blue,Kék,,
color.Green,Zöld,,
color.Grey,Szürke,,
color.hue,Színárnyalat,,
color.luminosity,Szín fényereje,,
color.Orange,Narancs,,
color.pick,Kiválaszt,,
color.Pink,Rózsaszín,,
color.Purple,Lila,,
color.Red,Piros,,
color.saturation,Telítettség,,
color.Violet,Ibolya,,
color.White,Fehér,,
color.Yellow,Sárga,,
combat.controls,Harc vezérlés,,
combat.ongoing,Harc folyamatban,,
combat.squad,Harci osztag,,
combat.state.AskForLift,Kimentés,,During combat a unit may ask another unit to carry it to a different location
combat.state.AttachToPrey,Áldozatra kapaszkodott,,For showing a combat state when a Crawler is attached to a human's face (like a face hugger)
combat.state.BreakIn,Betörés,,
combat.state.DirectControl,Közvetlen irányítás,,A state when fighter is directly controlled by the player
combat.state.Escape,Menekülés,,
combat.state.FindEnemy,Ellenség keresése,,
combat.state.FindLoot,Zsákmány keresés,,
combat.state.HighAlert,Magas készültség,,
combat.state.LiftUnit,Egység kimentése,,Carrying a unit to a different location during combat
combat.state.LoadLoot,Fosztogatás,,
combat.state.MeleeAttack,Támadás (Közelharc),,
combat.state.RangedAttack,Támadás (Távolsági),,
combat.state.Regroup,Újraszerveződik,,
combat.state.SuicideBomb,Öngyilkos Bomba,,
comfortable.temp,Kényelmes hőmérséklet,,
comfortable.work.spot,Kényelmes munkahely,,
communicator.missing,Kommunikátor hiányzik,,
communicator.missing.info,"Valaki éppen kommunikálni próbált a hajónkkal, de a Kommunikátor nem volt elérhető, vagy nem volt áram alatt.",,
compatible.objects,Kompatibilis objektumok,,
compatible.storage,Kompatibilis tároló,,
computer.resources,Számítógépes erőforrások,,
computer.resources.cpu,CPU,,
computer.resources.info,"Mem: {0}, Lemez: {1}",2022-08-18,
computer.resources.memory,Memória,,
computer.resources.storage,Lemezterület,2022-08-18,
condition,Állapot,,
condition.duration,Időtartam: {0},,
confirm,Megerősít,,
confirm.expedition,Expedíció jóváhagyása,,
confirm.expedition.to.faction.territory,"<b>{0}</b> a <b>{1}</b> frakcióhoz tartozik. Egy expedíció indítása ronthatja a kapcsolati viszonyokat aa frakcióval szemben, és azonnali következményekkel járhat. Expedíció nem javasolt.",,
confirm.mass.order,Tömeges Parancs Jóváhagyása,,
confirm.mass.processing,<b>{0} objektum</b> feldolgozását készülsz elrendelni,,
confirm.object.removal,Objektum eltávolításának megerősítése,,
confirm.object.removal.info,"Kiválasztásod <b>{0} objektumot</b> tartalmaz, amelyek hasznosak lehetnek. Kérlek, erősítsd meg a műveletet.",2022-08-18,
connect.to.refuel,Csatlakoztat a tankoláshoz,,"A label displayed in the menu when you have a disconnected device that needs fuel. You cannot refuel it while it is disconnected, so you have to ""connect to refuel"""
connected.to.count,Csatlakoztatva,,
connection.limit.exceeded,Kapcsolati limit túllépve,,
construct,Építés,,
construct.find.materials,Nyersanyagok keresése,,
construct.object,Objektum építése,,
constructable,Építhető,,
construction.complete,Teljesen felépítve,,
construction.cost,Építési költség,,
construction.pending,Nincs megépítve,,
construction.progress,Az építkezés folyamata: {0}/{1},,
contains.materials,Nyersanyagokat tartalmaz,,
content,Tartalom,,"For a label of a text area where player has to enter the ""content"" of some message"
contents,Tartalmaz,,For a label before a list of items that are inside some container
continue,Játék folytatása,,
contribute.translation,Közreműködés egy fordítással,,
controllable.worker,Irányított munkás,,
convert,Átalakít,,
converting.now,Átalakítás {0},,
cook,Főz,,
cooking.bar,Főzés {0},,
cooler,Hőszivattyú,,"A device type, noun. Opposite of ""Heater"". Device that cools the area down, reduces temperature."
copied.to.clipboard,Vágólapra másolva,,
copied.to.clipboard.info,{0} naplóbejegyzés a vágólapra másolva. Illeszd be kedvenc szövegszerkesztődbe a történet mentéséhez.,,
copter.mission.stage.collect.resource,{0} gyűjtés,,
copter.mission.stage.deploy.miner,{0} bevetése,,
copter.mission.stage.fly.to,Repülés ide: {0},,
copter.mission.stage.fly.to.ship,Visszatér az űrhajóra,,
copter.mission.stage.land.on.ship,Landol az űrhajón,,
copter.mission.stage.leave.ship,Elhagyja az űrhajót,,
copter.mission.stage.random.park,Landolni próbál,,
copter.mission.stage.start,Várakozás elérhető helikopterekre,,
copter.missions,Helikopter küldetések,,
copy.color.hex,Szín másolása: {0},,
copy.config,Konfiguráció másolása,,
copy.config.cleanable,Tisztítás,,"Most ""copy.config.X"" keys are used in combination with ""copy.config.of"" key (which is ""Copy Config: {0}""). In this case the copy config action target is a cleanable device (i.e. a toilet or a solar panel). The value of this translation will be placed into {0} variable of ""copy.config.of"", so in this case it will become ""Copy Config: Cleanable"". This text will be displayed on a button that copies the configuration of the cleanable device and then lets you paste it onto other devices of same type."
copy.config.energy.node,Elektromos Kapcsoló,,
copy.config.fluid.cannon,Folyadékágyú,,
copy.config.help,"Ez az eszköz átmásolja egy kiválasztott összetevő konfigurációját, és beillesztési módba vált. Látni fogsz egy hivatkozást a másolt objektumra. Húzz egy téglalapot azon objektumok fölé, amelyekbe be szeretné illeszteni a konfigurációt. Ha áthúzod az inkompatibilis objektumokat, semmi sem fog történni.",,
copy.config.light,Világos Szín,,
copy.config.lock.state,Zárt Állapot,,"This one is like ""copy.config.cleanable"" but the target device is a door. The door lock state can be ""Locked"" or ""Unlocked"", so when you get a menu of the door options, there will be a button saying ""Copy Config: Lock State"". You can then paste the lock state on other doors that can be locked or unlocked."
copy.config.matter.reactor,Reaktor,2022-08-13,
copy.config.of,Konfiguráció másolva: {0},,
copy.config.particle.collector,Részecskegyűjtő,,
copy.config.pet.bowl,Etető Tál,,
copy.config.planter,Ültető,,
copy.config.solar.panel,Napelem,,
copy.config.terraformer,Terraformáló,,
copy.emblem,Jelkép másolása,,
copy.game.seed,Játék kezdőérték másolása,,
copy.id,ID Másolása,,
copy.to.clipboard,Vágólapra Másol,,
cosmetic.particles,Kozmetikai részecskék megjelenítése,,
cosmetic.particles.tip,"Letiltja a nem esszenciális részecskerendszereket. Hasznos, ha nagyon nagy térképeken vagy régebbi hardverrel játszol.",,
could.not.cancel.exp.stage,Nem sikerült visszavonni a következőt: {0},,
countdown.minutes,Visszaszámlálás: {0:0.0} perc.,,
cpu.bound.suggestion,"Válassz le néhány eszközt, vagy adj hozzá további CPU-modulokat az irányítás visszaszerzéséhez.",,
cpu.cap.reached,Egy Fedélzeti Számítógép lecsatlakozott a hálózatról. Jelenlegi limit: <b>{0}</b>. A limit kutatással növelhető.,,
cpu.cost,CPU Költség,,cost of processing power of a robotic worker
cpu.cost.tip,"A feldolgozási teljesítmény költsége, amikor a munkás elérhető. Ha nincs elég CPU-d, előfordulhat, hogy néhány munkás leáll.",,
cpu.efficiency,Működési hatékonyság,,
cpu.module.amount,{0} THz,,
cpu.module.builtin,Beépített CPU Modul,,
craft,Megmunkál,,
crafted.in,Itt készül: {0},,
crafter.batch.size,Adag méret,,
crafter.batch.size.tip,"Növelheted az adag méretét, hogy több összetevőt tölts be, és több egységet állíts elő egyszerre. A nagyobb adagok gyártása tovább tart.",,
credits,Készítők,,"A header before list of names of people who have to be credited for doing something (i.e. translating the game). Used in Main Menu > About > Credits, or when the game end screen is displayed."
crew.incapable.of.mining,Az expedíció legénysége nem tudta kitermelni az ércet. Az expedícióhoz magasabb <b>Bányászat</b> készségekkel rendelkező legénységet kellene összeállítani.,,
cryo.not.enough.power,Nincs elég energia,,
cryo.not.enough.power.desc,Nincs elegendő áramellátás a létfenntartó rendszerek üzemeltetéséhez. Csökkentsd az létfenntartás célszintjét vagy növeld az elektromos hálózat kimeneti teljesítményét.,,
cryo.stability,Hibernáció stabilitása,,
cryo.stability.average,Stabilitás: átlagos,,
cryo.stability.desc,"Megmutatja, mennyire stabilak az életfenntartó rendszerek. Az instabil Hibernációs Kamrákban gyakrabban ébrednek fel, rosszabb életfunkciókkal. A stabilitás növelése érdekében állítsad át az életfenntartót alapról fejlettebbre. Sok energiát fog fogyasztani, de a stabilitás hosszú távon lassan javul.",,
cryo.stability.good,Stabilitás: jó,,
cryo.stability.great,Stabilitás: kiváló,,
cryo.stability.poor,Stabilitás: gyenge,,
cryo.stability.unstable,Stabilitás: instabil,,
cryo.used,Használt kamrák,,"There is a device called ""Stasis Array"" that has multiple ""chambers"" where people can get frozen for long term sleep. ""Used Chambers"" is a label before the number telling how many of those chambers are currently occupied."
cryo.used.desc,"Megmutatja, hogy jelenleg hány Hibernációs Hüvelyt foglalnak el élőlények. A kamrák tartalmazhatnak embereket vagy állatokat.",,
ctrl.assign.task,"Kattints a(z) {0} gombra, miközben lenyomva tartod a(z) {1} gombot a feladat kényszerítéséhez",,
currency.mine.rate.h,{0}/h,,
currency.Starcreds,Starkredit,,
currency.Starcreds.desc,"Egy kriptográfiai pénznem, amelyet az emberek áruk kereskedelmére használnak",,
current.color.estimate.tip,A kiválasztott színnel festhető burkolati elemek becsült száma.,,
current.expeditions,Aktuális Expedíciók,,
current.items.produced,Jelenleg Gyártott Termékek,,
current.mood.trend,Aktuális hangulati trend,,
current.task,Jelenlegi feladat,,
cursor.light,Kurzorfény engedélyezése,,
cursor.light.tip,"Ha engedélyezve van, az egérkurzor fényt bocsát ki, hogy segítsen látni a dolgokat a sötétebb területeken",,
cursor.software,Használja a szoftveres kurzort,,
cutoff.ambience,Távoli környezeti zajok csillapítása,,"Cutoff refers to audio low-pass filter frequency: In a lowpass filter, the higher the cutoff frequency is set, the higher the frequencies of signals that are allowed to pass. Ambience in this case is sounds coming from various devices, like machines or engines humming. The context for ""Zoom Cutoff for Ambience"" - it is used as a label for a checkbox in audio settings. If checked, when camera is zooming, ambience audio gets the cutoff (muffled sound) effect when camera distance changes."
cutoff.fx,Távoli hanghatások tompítása,,
cutoff.music,Távoli zene elnémítása,,
cycle.blueprint.tip,<br>Változtassa meg a tervrajzot {0} és {1} segítségével.,,
cycle.placement.mode.tip,<br>Körkörös elhelyezési üzemmód {0},,
damage.type.Acid,Sav,,
damage.type.Age,Kor,,
damage.type.Cold,Hideg,,
damage.type.Electricity,Áramütés,,
damage.type.Heat,Hő,,
damage.type.Hunger,Alultápláltság,,
damage.type.Oxygen,Fuldoklás,,
damage.type.Physical,Fizikai,,
damage.type.Sickness,Betegség,,
damage.type.Stasis,Hibernációs,,
damage.type.Undefined,Ismeretlen,,
damage.type.Water,Víz,,
damageable,Sérülékeny,,
damaged,Sérült,,
data.recalculated.retry.later,"Az adatok újraszámítása folyamatban van. Szüneteld a szimulációt, és próbáld meg újra.",,
day,Nap,,
deactivate,Kikapcsol,,
deactivate.siren,Sziréna kikapcsolása,,
dead,Halott,,
death.cause,Halál oka: {0},,
debug.log,Hibakeresési Napló,,Noun
deconstruct,Lebontás,,
deconstruction.not.allowed.temp,"{0} olyan állapotban van, amely megakadályozza a lebontást. Kérjük, próbáld meg újra később.",,
deconstruction.progress,Lebontás folyamatban: {0}/{1},,
decrease,Csökkentés,,
decrease.amount,Csökkentés mértéke,,
def.unlock.tip,{0} kifejlesztése szükséges,,
delete,Töröl,,
delete.save,Mentés Törlése,,
demand.type.Custom,Egyedi mennyiség előállítása,,"demand.type.X keys are for options used in crafting devices to select how many items do we want to produce. ""Produce Custom Amount"" does what demand.type.Custom.tip says - the device will produce X items and stop. This configuration option is per device, unlike ""Target Global Inventory"" it will calculate how many items that particular device has produced."
demand.type.Custom.tip,Elkészíti a célszámú elemet és leáll,,
demand.type.Limit,Cél a globális készlet,,"like demand.type.Custom, but instead of a custom amount for a particular crafting device, it will track your inventory, so if you have 3 devices that produce ""copper wire"", and you set all of those devices to ""Target Global Inventory"" of 10 items, all the devices will stop producing new ""copper wire"" after you have a total of 10."
demand.type.Limit.tip,"Csak akkor fog termelni, ha a célszám kisebb, mint a globális készletszám.",,
demand.type.One,Készítsen egyet,,"like demant.type.Custom, but it does not let you choose the amount, it will stop after producing one item"
demand.type.One.tip,Az aktuális elem befejezése után szünetelteti a gyártást,,
demand.type.Unlimited,Folyamatos termelés,,"like demand.type.Custom, but it does not let you choose the amount, it will keep producing the copies of the item forever (or until you change the configuration)"
demand.type.Unlimited.tip,Örökké gyártani fogja a terméket,,
demo.mode,Demo Mode,,
demo.mode.off,Demo Mode KI,,
demo.mode.on,Demo Mode BE<br>(Kikapcsolás: Ctrl + F9),,
deploy,Bevetés,,
deploy.resource.miner,Nyersanyag bányász bevetése,,
deposit.shuttle.verb.mine,"Bányászik: {0} ({1:0}/nap, {2})",,
deposit.verb.mine,Bányászik: {0} ({1:0.##}/nap @ {2}),,
destroy,Lerombol,,
details,Részletek,,
details.unknown,Ismeretlen részletek,,
dev.build.instant,Azonnali építés (Sandbox Mode),,
dev.debug,Dev Debug,,
dev.menu.achievements.warning,Az ebben a menüben található egyes funkciók használata <b>kikapcsolja az Achievementeket ehhez a mentéshez</b> további figyelmeztetés nélkül.,,
dev.notice,Fejlesztői közlemény,,
device.battery.level,Akkumulátor: {0} ({1}),,
device.health,Élet: {0},,
device.idle,{0} ({1}) tétlen,2022-10-29,"Example: ""Furnace (Iron) is idle"""
device.warn.if.idle,Figyelmeztess ha tétlen,,next to a button that will enable automatic warnings if device is not doing any work
device.wear,Eszköz amortizáció,,
device.wear.tip,"Ha ez be van kapcsolva, az eszközök idővel elhasználódnak, és helyrehozhatatlanul tönkremennek, amint az amortizáció eléri a 100%-ot.",,
device.wear.warning,Az eszközt hamarosan le kell cserélni,,
device.worn.out,"A készülék elhasználódott, és már nem javítható.",,
different.section,Különböző szakaszok,,"shows up in the list of reasons why someone did not perform a task. ""Different section"" in this context means that the worker was in section A, while task was in section B. Different sections can only be reached by flying, so worker that will not do the task for this reason will almost always be someone who is incapable of flying"
difficulty.Advanced,Haladó,,
difficulty.balanced,Kiegyensúlyozott,,"Shows up in the list of game difficulty levels. Balanced is like ""medium difficulty"""
difficulty.Beginner,Kezdő,,
difficulty.challenging,Nehéz,,"Shows up in the list of game difficulty levels. Challenging is like ""hard difficulty"""
difficulty.impossible,Lehetetlen,,
difficulty.Intermediate,Közepes,,
difficulty.peaceful,Békés,,
difficulty.relaxing,Nyugis,,"Shows up in the list of game difficulty levels. Relaxing is like ""easy difficulty"""
direct.control,Közvetlen vezérlés,,"A text on a button that enables ""direct control"" of a robot. ""Direct control"" allows issuing orders directly to the selected robot. Otherwise robots make choices and perform actions on their own."
direct.control.desc,"Amikor ki van választva egy munkás, tartsd lenyomva a(z) {0} billentyűt, és vidd a kurzort bármely hely fölé, hogy megtudd, hogy a munkás oda tud-e menni.<br><br>A(z) {0} nyomva tartása alatt a függőben lévő feladatokra mutatva megnézheted, hogy a munkás képes-e elvégezni azt a feladatot.<br><br>Ezalatt az {1}-ra kattintva tudsz parancsot adni a munkásnak, hogy menjen a kiválasztott helyre és hajtsa végre a feladatot.<br><br>A munkásokon alkalmazhatod a <b>Közvetlen Irányítást</b> is, hogy megakadályozd őket a mozgásban, vagy esetleg feladatok automatikus elvállalásában. Ha többé nincs szükséged a munkás fenntartására vagy szeretnéd, hogy újra automatikusan feladatokat vállaljanak el, ne felejtsd el feloldani a Közvetlen Irányítást.<br><br>Közvetlen parancs kiadása során a munkás minden aktuális tevékenységet abbahagy.<br><br>Egyszerre több munkást is kiválaszthatsz, és csoportokba rendezheted őket. <br><br>Csak Irányított Munkásokat (robotok, drónok) lehet így irányítani.",2022-10-31,
direct.control.hover.tip,Közvetlen parancsok kiosztásához tartsd lenyomva a {0} billentyűt,,
direct.control.release,Közvetlen Irányítás Feloldása,,To stop controlling a selected worker or workers
direct.control.release.btn,Elenged,,Button (short) for releasing worker from direct control
direct.control.take,Irányítás Átvétele,,Action to start controlling a worker (or multiple workers)
direct.control.take.btn,Irányít,,Take direct control of a worker. Short button. Verb
direction.east,Kelet,,"Noun. direction.X keys are used on buttons that allow you to select your space ship's ""forward direction"". It tells which way the ship's front is facing. Engines will be on the opposite direction, etc."
direction.north,Észak,,
direction.south,Dél,,
direction.west,Nyugat,,
dirt,Kosz,,
dirt.desc,Koszfolt,,"Decals in game development are textures that are placed on top of other textures to add various marks (bullet damage, blood, dirt, etc). In this case it is for menu item that allows spawning dirt on the floor."
disable.achievements,Teljesítmények letiltása,,
disable.achievements.tip,"Ha zavarónak találod a Teljesítményeket, teljesen letilthatod őket",,
disable.all.mods,Modok letiltása,,
disable.force.field,Erőtér kikapcsolása,,
disable.merchant.beacon,Kereskedőt hívó jel lekapcsolása,,
disable.story.events.btn,Történeti események [{0}],,"{0} will be X/Y, i.e. 80/80. If some event is disabled it will be 79/80"
disable.story.events.tip,Az összes történetesemény engedélyezve van,,
