Key,Value,Version,Comment
codex.m.inputcontrols.modifiers,Werkzeugmodifikator,,
codex.m.inputcontrols.modifiers.desc,"Bestimmte Werkzeuge haben verschiedene Modi, die durch Gedrückthalten von {0}, {1} und {2} oder einer Kombination mit der Taste für das Werkzeug umgeschaltet werden können. Die Werkzeuge Bauen und Planen haben die folgenden Modi:<br>{0} – Linie zeichnen<br>{1} – Kreis zeichnen<br>{2} – Bleistift (freies Zeichnen)<br>{0} + {1} – Füllen<br>{0} + {2} – Löschen (Rechteckbereich).<br><br>Beim Schwenken oder Zoomen der Kamera mit der Tastatur:<br>{0} – 1/2 × Geschwindigkeit (langsam)<br>{1} – 2 × Geschwindigkeit (schnell).",,
codex.m.inputcontrols.mouseandkeyboard,"Maus und Tastatur",,
codex.m.inputcontrols.mouseandkeyboard.desc,"Obwohl du das Spiel mit einem Controller spielen kannst, ist die Verwendung von Maus und Tastatur am effektivsten. Bestimmte Aktionen, wie die Schnellsuche ({0}), sind bei Verwendung eines Controllers nicht verfügbar.",2022-05-11,
codex.m.research,Forschung,,
codex.m.research.disk,"Festplatten erforschen",,
codex.m.research.disk.desc,"Neue Forschung freizuschalten, wird <b>Festplatten</b>speicher verbrauchen. Wie viel freier Speicher dir noch zur Verfügung steht, siehst du in der oberen linken Ecke der Nutzeroberfläche des <b>Forschungsbaums</b>.<br><br>Baue und verbinde mehr <b>Festplattenmodule</b>, um zusätzlichen Speicherplatz zu erhalten.<br><br>Du kannst deine <b>Festplattenmodule</b> aufwerten, indem du die <b>Datenkompressionsverbesserung</b> benutzt und so höhere Speichereffizienz bereits bestehender Module erreichst. Diese Verbesserungen sind stapelbar.<br><br>Ebenso kannst du Festplattenplatz zurückerhalten, indem du <b>gespeicherte Forschungen</b> über das Menü in der oberen linken Ecke des <b>Forschungsbaum</b>bereichs aus dem Speicher entfernst. Du erhältst dann den bisher von den gewählten Technologien eingenommenen Speicher zurück.",,
codex.m.research.electricity,"Energieverbrauch für Forschung begrenzen",,
codex.m.research.electricity.desc,"Manchmal erforschst du möglicherweise eine Technologie, die mehr Elektrizität erfordert, als dein Stromnetz zu liefern imstande ist. In solchen Fällen werden deine Batterien entladen und du steuerst auf ein <b>Energiedefizit</b> zu.<br><br>Du kannst die Menge an Elektrizität, die in Forschung fließt, reduzieren, indem du den <b>Forschungsenergielimit</b>regler in der Infotafel des gewählten Geräts (<b>Schiffscomputer</b>, <b>Forschungsstation</b>) anpasst. Jedes Forschungsgerät hat ein eigenes Limit.<br><br>Es ist hilfreich, das <b>Stromnetz</b>overlay geöffnet zu haben und das Elektrizitätsdiagramm zu beobachten, während du das <b>Forschungsenergielimit</b> anpasst. Versuche, deinen Stromverbrauch (blaue Linie) unter die -produktion (grüne Linie) zu bekommen.",,
codex.m.research.lackingresources,"Mangelnde Ressourcen für Forschung",,
codex.m.research.lackingresources.desc,"Um Forschung zu betreiben, benötigt dein <b>Schiffscomputer</b> ausreichend <b>Festplattenspeicher</b> sowie <b>Arbeitsspeicher</b>. Wenn die Forschung nicht voranschreitet, kannst du die <b>Forschungswarteschlange</b> öffnen und mit der Maus über die derzeit erforschten Technologien fahren, um ein Hinweisfenster mit den mangelnden Ressourcen zu bekommen.<br><br>Baue und binde mehr <b>Festplattenmodule</b> sowie <b>Arbeitsspeichermodule</b> an, um dieses Defizit auszuräumen.",,
codex.m.research.memory,"Durch Forschung nötiger Speicherverbrauch",,
codex.m.research.memory.desc,"Forschung verbraucht <b>Arbeitsspeicher</b> (RAM). Über wie viel Speicher du verfügst, siehst du in der oberen linken Ecke des <b>Forschungsbaums</b>.<br><br>Baue und binde mehr <b>Arbeitsspeichermodule</b> an, um deine Speicherkapazität zu erhöhen.<br><br>Die Erforschung hoher Entwicklungsstufen benötigt in der Regel mehr Arbeitsspeicher.<br><br>Mehr Arbeitsspeicher erlaubt dir, mehrere Technologien gleichzeitig zu erforschen, sofern du mehr als ein Forschungsgerät (<b>Schiffscomputer</b>, <b>Forschungsstation</b>) besitzt.<br><br>Ebenso erhöht zusätzlicher Speicher die Menge an Aufgaben, die du deinen Arbeitern zuweisen kannst.",,
codex.m.research.parallel,Simultanforschung,,
codex.m.research.parallel.desc,"Der <b>Schiffscomputer</b> kann nur eine Technologie zur selben Zeit erforschen. Allerdings kannst du mehr als einen <b>Schiffscomputer</b> haben oder durch Menschen nutzbare <b>Forschungsstationen</b> bauen.<br><br>Damit Forschung simultan ablaufen kann, müssen genügend Elektrizität sowie freier <b>Arbeits-</b> und <b>Festplattenspeicher</b> zur Verfügung stehen.<br><br>Um zwei Technologien mit einer Speicheranforderung von je 8 EB Arbeitsspeicher simultan erforschen zu können, benötigst du mindestens 16 EB verfügbaren Arbeitsspeicher.",,
codex.m.research.queue,Forschungswarteschlange,,
codex.m.research.queue.desc,"Du kannst der <b>Forschungswarteschlange</b> mehrere Technologien hinzufügen, indem du <b>zur Warteschl. hinz.</b> bei einer beliebigen Technologie im <b>Forschungsbaum</b> anklickst.<br><br>Das erste Forschungsgebiet der <b>Forschungswarteschlange</b> wird immer in der oberen rechten Ecke der <b>Ereignistafel</b> zu sehen sein. Klicke dieses Gebiet an, um die <b>Forschungswarteschlange</b> zu öffnen. Ebenso gibt es den Button <b>Forschungswarteschlange</b> im oberen linken Bereich der <b>Forschungsbaum</b>oberfläche.<br><br>Klicke den Aufwärts-/Abwärtspfeil an, um die Erforschungsreihenfolge zu ändern.<br><br>Du kannst Forschungsgebiete aus der <b>Forschungswarteschlange</b> entfernen, indem du <b>aus Warteschl. entf.</b> im <b>Forschungsbaum</b> anklickst.<br><br>Fährst du in der <b>Forschungswarteschlange</b> mit der Maus über das erforschte Gebiet, wird dir die geschätzte Forschungszeit und, sofern es einen gibt, ein Ressourcenmangel angezeigt.<br><br>Das Anklicken des Forschungsgebiets in der <b>Forschungswarteschlange</b> öffnet den <b>Forschungsbaum</b> und fokussiert das angeklickte Gebiet.",,
codex.m.research.search,"Im Forschungsbaum suchen",,
codex.m.research.search.desc,"Im linken oberen Bereich des <b>Forschungsbaums</b> gibt es den <b>Suchen</b>-Button. Damit lassen sich Technologien und Blaupausen über Namensbestandteile finden.",,
codex.m.research.speed,Forschungsgeschwindigkeit,,
codex.m.research.speed.desc,"Sofern du über genügend Elektrizität verfügst, wird das Freischalten einer Technologie etwa einen Tag (Spielzeit) in Anspruch nehmen. Bei weniger Energie, als die Forschung benötigt, wird es länger dauern. Beispielsweise wird eine Technologie, die <b>100 kW</b> benötigt, bei <b>50 kW 2 Tage</b> laufen.<br><br>Jedes Forschungsgerät (<b>Schiffscomputer</b>, <b>Forschungsstation</b>) hat ein Limit an Elektrizität, die es zur Forschung beitragen kann.<br><br>Um kostspieligere Forschung zu beschleunigen, baue zusätzliche Forschungsgeräte und steigere damit die Menge an Elektrizität, die in die Forschung fließt.<br><br>Wenn überschüssige Elektrizität sowie mehrere Forschungsgeräte vorhanden sind, kannst du mehr als eine Technologie zur selben Zeit erforschen (siehe <b>Simultanforschung</b> für weitere Details).<br><br>Gibt es keinen Überhang an Elektrizität, erfolgt die Forschung langsamer, um ein Energiedefizit zu vermeiden. Du kannst die <b>Verbrauchspriorität</b> der Forschungsgeräte im <b>Energieknoten</b>untermenü auf 9 setzen, damit die Forschung Elektrizität vor allen anderen Geräten erhält. Dies wird zu Energiedefiziten führen, wann immer die Forschung zu viel verbraucht.",2022-09-12,
codex.m.research.tiers,Forschungsstufen,,
codex.m.research.tiers.desc,"Jeder Technologie im <b>Forschungsbaum</b> wird eine <b>Stufen</b>nummer zugeordnet. Diese ist rein informatorisch; höherstufige Technologien können erforscht werden, ohne zuvor niederstufige freizuschalten, jedoch wird empfohlen, niederstufige Technologien zuerst freizuschalten.",,
codex.m.resources,"Materialien und Ressourcen",,
codex.m.resources.crafting,"Herstellung/Produktion von Ressourcen",,
codex.m.resources.crafting.desc,"Das Herstellen oder Produzieren erfolgt mit Hilfe verschiedener Geräte, die in der Infotafel Bedienelemente für das Herstellen haben (der Name dieser Elemente variiert je nach Gerätetyp). Zum Herstellen eines Produkts werden immer bestimmte Materialien und Elektrizität benötigt. Schau dir die Kodexeinträge für verschiedene Materialien und Ressourcen an, um zu sehen, wie sie hergestellt oder erworben werden können.<br><br>Einige der Ressourcen und Materialien können auch auf andere Weise erworben werden – durch Bergbauexpeditionen, Handel mit Händlern, Zerlegung von Gegenständen.<br><br>Einige Geräte, die Materialien oder Ressourcen produzieren (oder herstellen) können, sind die folgenden: Autoküche, Kaffeemaschine, Montagemaschine, Fabrikator oder der Webstuhl.",,
codex.m.resources.deconstruction,"Dekonstruktion für Ressourcen",,"[Weidengeist: Using »Dekonstruktion« here to keep the wording consistent with the action verb.]"
codex.m.resources.deconstruction.desc,"Jedes einzelne Gerät und jede Struktur enthält Ressourcen, die wiedergewonnen werden können. Wähle hierzu das Objekt aus und untersuche das Bauelement in der Infotafel, um den Inhalt zu sehen.<br><br>Der Rückbau (Dekonstruktion) unbenutzter Geräte und insbesondere von Böden und Wänden ist eine sinnvolle und oft notwendige Taktik, vor allem, wenn du dich in einem völlig zerstörten Schiff oder mit Treibstoffmangel wiederfindest.<br><br>Manchmal solltest du dein Schiff verkleinern, wenn du zu schnell expandierst. Ein leichteres Schiff reist schneller und benötigt weniger Strom für den Unterhalt.",,
codex.m.resources.inventory,Inventar,,"[Weidengeist: Omitting the article »Das« to be consistent with the other codex entries.]"
codex.m.resources.inventory.desc,"Verwende das Inventar ({0}), um in Echtzeit zu sehen, wie viele und welche Art von Ressourcen oder Gegenständen du hast. Nicht enthalten sind die Ressourcen in deinen Reaktoren oder jene, die in deinen Geräten und Strukturen verbaut wurden (siehe ""Dekonstruktion für Ressourcen"").<br><br>Verwende die Schaltfläche ""Suchen"" neben einer Ressource, um die Orte durchzuschalten, an denen diese Ressource oder dieser Gegenstand vorhanden ist.",,
codex.m.resources.miningplanets,"Bergbau auf Planeten",,
codex.m.resources.miningplanets.desc,"Der beste Weg, um an Ressourcen zu gelangen, ist es, Planeten zu besuchen und Bergbauexpeditionen zu starten. Baue Schiffe, benutze die Sternenkarte, um nahegelegene Planeten zu finden, fliege zu ihnen und benutze dann das Expeditionsoverlay ({0}), um eine Expedition zu starten.",,
codex.m.resources.processing,"Verarbeitung von Ressourcen",,
codex.m.resources.processing.desc,"Einige Ressourcen können zu veredelten Ressourcen verarbeitet werden, die wiederum später als Ausgangsmaterial zur Fertigung oder für andere Zwecke verwendet werden können. Für gewöhnlich ist dies bei Rohmaterialien wie Erzen oder Rohöl erforderlich.<br><br>Die Verarbeitung erfordert eine passende Anlage (z. B. einen Ofen für Erze). Schlage in den Kodexeinträgen die verschiedenen Rohstoffe nach, um herauszufinden, welche Art Verarbeitungsanlage kompatibel ist.<br><br>Du kannst tote Lebewesen in einem Nährstoffextraktor und tote Roboter und Drohnen in einem Zerleger verarbeiten.<br><br>Einige Rohstoffe ergeben bei der Verarbeitung mehrere oder unterschiedliche Materialien. Die Verarbeitung von Gestein in einem Mahlwerk kann eine Reihe verschiedener Materialien ergeben. Weitere Informationen findest du in den Kodexeinträgen der einzelnen Materialien.",,
codex.m.resources.trade,"Handeln mit Ressourcen",,
codex.m.resources.trade.desc,"Du kannst die meisten Ressourcen und Materialien kaufen und verkaufen, wenn du mit den richtigen Händlern handelst.<br><br>Beim Handel mit Ressourcen am Aktienmarkt werden keine physischen Ressourcen gekauft oder verkauft, die du verwenden kannst.",,
codex.m.spacetravel,"Reisen im Weltraum",,
codex.m.spacetravel.enginetypes,Antriebstypen,,
codex.m.spacetravel.enginetypes.desc,"Verschiedene Triebwerke haben unterschiedliche Zwecke. Schubdüsen funktionieren nur bei Kurzstreckenflügen im Systembereich, um dich von Planet zu Planet in einem Sternensystem zu bringen. Der Fusionsantrieb funktioniert im System- und Galaxiebereich und ermöglicht es, verschiedene Sternensysteme in derselben Galaxie zu erreichen. Der FTL-Antrieb funktioniert nur im Universum und ist für intergalaktische Reisen über extreme Entfernungen zwischen Galaxien konzipiert.<br><br>Der Voidzerreißer ist zwar kein Antrieb, kann aber durch Schwarze Löcher springen, die sich im Zentrum jeder Galaxie befinden.<br><br>Siehe Sternenkartenansichten für weitere Details.",,
codex.m.spacetravel.starmapscopes,Sternenkartenansichten,,
codex.m.spacetravel.starmapscopes.desc,"Es gibt mehrere Ansichten oder Ebenen, die du auf der Sternenkarte betrachten kannst. Du startest in der Systemansicht, die das Sternensystem, in dem du dich befindest, anzeigt. Du kannst die Ansicht wechseln, indem du ""System verlassen""/""System betreten""/""Galaxie verlassen""/""Galaxie betreten"" in der Infotafel der Sternenkarte {0} benutzt.<br><br>""Planet betreten"" ändert die Ansicht nicht, sondern startet eine Expedition.<br><br>Verschiedene Triebwerkstypen sind erforderlich, um in jeder Sternenkartenansicht reisen zu können. Siehe Handbucheintrag ""Triebwerkstypen"" für weitere Details.",2022-07-04,"Removed duplicate »Enter System« in last edit"
codex.m.storyevents,"Geschichtliche Ereignisse",,
codex.m.ui,Benutzeroberfläche,,
codex.m.ui.basics,Benutzeroberflächengrundlagen,,
codex.m.ui.basics.desc,"Die meisten Teile der Benutzeroberfläche werden aus denselben Bausteinen oder »Widgets« aufgebaut. Die meisten Widgets sind interaktionsfähig und können mehr als einen Bereich haben, der angeklickt oder mit dem Mauszeiger bewegt werden kann. Ein und dasselbe Widget kann mehrere Funktionsweisen haben und je nach Kontext entweder in Echtzeit aktualisiert werden oder nicht.<br><br>Du solltest versuchen, alles anzuklicken, den Mauszeiger über Dinge zu halten, um zu sehen, ob es Hinweisfenster gibt, und die Benutzeroberfläche so weit wie möglich zu erkunden.<br><br>Es ist wichtig, zu lernen, wie die Widgets der Benutzeroberfläche funktionieren und nach welcher Logik alles aufgebaut ist. Hinter einem Klick auf ein kleines rechteckiges Symbol kann sich ein riesiges Untermenü mit vielen Optionen verbergen – versuche, alles anzuklicken.",,
codex.m.ui.cameramemory,Kameraspeicher,,
codex.m.ui.cameramemory.desc,"Du kannst die Kameraposition und den Zoom durch Drücken von {0} und einer Ziffer auf dem Ziffernblock speichern. Wenn du dieselbe Ziffer drückst, ohne {0} gedrückt zu halten, wird die Kamera an die gespeicherte Position bewegt.",,
codex.m.ui.commonactions,"Gemeinsame Aktionen",,
codex.m.ui.commonactions.desc,"Wenn mehrere Objekte ausgewählt sind, können einige von ihnen gemeinsame Aktionen haben. Diese Aktionen werden oben in der Infotafel und im Kontextmenü angezeigt.<br><br>Wenn eine gemeinsame Aktion einen Multiplikator (z. B. × 12) besitzt, bedeutet dies, dass die Aktion auf die angegebene Anzahl von Objekten angewendet wird.",,
codex.m.ui.contextmenu,Kontextmenü,,
codex.m.ui.contextmenu.desc,"Nachdem du ein Objekt mit {0} ausgewählt hast, bewege den Mauszeiger über das Objekt und öffne mit {1} das Kontextmenü. Bei manchen Objekten ist es nicht vorhanden, bei den meisten jedoch schon.<br><br>Das Kontextmenü enthält in der Regel eine Teilmenge nützlicher Aktionen, die du im Infobereich finden kannst.<br><br>Die Infotafel bietet fast immer alles, was das Kontextmenü bietet, und noch mehr.<br><br>Du kannst auch mehrere Objekte auswählen und ein Kontextmenü über einem von ihnen aufrufen, um eine gemeinsame Aktion für alle ausgewählten Objekte durchzuführen. Siehe ""Gemeinsame Aktionen"" für weitere Details.",,
codex.m.ui.events,Ereignistafel,,"Top Left changed to Top Right"
codex.m.ui.events.desc,"Die Ereignistafel ist der untere Bereich der rechtsseitigen Bedienoberfläche. Das erste Element der Ereignistafel enthält Bedienelemente, die Ereignisbenachrichtigungen stummschalten und die Ereignisliste löschen.<br><br>Du solltest die Ereignistafel immer im Auge behalten, da alle wichtigen Ereignisse eine Benachrichtigung erzeugen werden.<br><br>Die meisten Ereignisbenachrichtigungen können durch Anklicken bei gleichzeitigem Gedrückthalten von {0} geschlossen werden, allerdings können einige wichtige Ereignisbenachrichtigungen nicht geschlossen werden. Diese Benachrichtigungen werden verschwinden, sobald sich der Situation, die sie ausgelöst hat, angenommen wurde.<br><br>Ist eine Benachrichtigung mit einem Objekt verbunden, bewege die Maus über das Symbol, um eine zu diesem Objekt führende Hilfslinie angezeigt zu bekommen. Klicke das Symbol an, um jenes Objekt auszuwählen und die Kamera darauf zu fokussieren.",2022-07-06,
codex.m.ui.hotbar,Schnellleiste,,
codex.m.ui.hotbar.desc,"Die Schnellleiste ist die untere Zeile, die Verknüpfungen zu Werkzeugen und Blaupausen enthält. Initial zeigt sie die Inhalte des Radialmenüs, kann aber deinen Wünschen angepasst werden.<br><br>Beim Benutzen des Radialmenüs kannst du {0} gedrückt halten, während du einen Menüeintrag anklickst, um ihn der Schnellleiste hinzuzufügen.<br><br>Um Einträge aus der Schnellleiste wieder zu entfernen, halte ebenfalls {0} gedrückt und klicke den zu entfernenden Eintrag in der Schnellleiste an.<br><br>Du kannst Schnellleisteneinträge sortieren, indem du sie mit der Maus anklickst und ziehst.<br><br>Die Schnellleiste kann ge- und entsperrt sowie dieser Infobutton im Aktuelle-Spieleinstellungen-Menü ausgeblendet werden.",,
codex.m.ui.infopanel,Infotafel,,
codex.m.ui.infopanel.desc,"Die Infotafel ist der wichtigste Bereich der Bedienoberfläche, da sie interne Daten und Bedienelemente für jedes angewählte Objekt bereithält. Es ist strengstens empfohlen, die Infotafeln für jedes Gerät, Wesen und Material zu erkunden. Sie wird dir helfen, den Zustand des Objekts festzustellen, und dir mitteilen, wie du es verwalten und konfigurieren kannst.<br><br>Jedes Objekt verfügt über eine Gruppe von Komponenten. Wenn es ausgewählt wird, werden die Daten und Bedienelemente jeder Komponente in der Infotafel angezeigt.<br><br>Werden mehrere Objekte ausgewählt, zeigt die Infotafel eine Liste aller ausgewählten Objekte sowie darüber eine interaktive Liste gemeinsamer Aktionen. Schlage für weitere Details unter <b>gemeinsame Aktionen</b> im Handbuch nach.<br><br>Die Infotafel hat einen Objekt- und einen Umgebungsreiter. Der Objektreiter wurde oben beschrieben. Der Umgebungsreiter zeigt Umgebungsdetails des ausgewählten Orts – Temperatur, Sauerstoffgehalt etc.",,
codex.m.ui.overlays,Overlays,,
codex.m.ui.overlays.desc,"Overlays zeigen Nutzeroberflächen für diverse interne System und Datengruppen, wie Stromnetz, Inventar, Forschungsbaum, Sternenkarte etc.<br><br>Overlaybuttons befinden sich in der oberen linken Ecke der Nutzeroberfläche. Fahre mit der Maus über jeden Button, um eine Hinweistafel mit dem Namen des jeweiligen Overlays zu bekommen. Die erste Zeile kann mittels F1–F10-Tasten umgeschaltet werden.<br><br>Öffne jedes Overlay und schau dir die Funktionen an, die es bietet. Jedes Overlay ist irgendwann nützlich.<br><br>Einige Overlays benötigen vorausgegangene Forschung oder bestimmte andere Voraussetzungen, um aktiviert werden zu können.",,
codex.m.ui.quicksearch,Schnellsuche,,
codex.m.ui.quicksearch.desc,"Die Schnellsuche ist ein äußerst mächtiges Werkzeug. Öffne sie mit {0} und beginne, den Namen einer Blaupause, deren Objekt du bauen möchtest, einzutippen (muss zurvor durch Forschung freigeschaltet worden sein). Dies funktioniert auch zum Auffinden deiner Arbeiter und Kolonisten über ihren jeweiligen Namen.",,
codex.m.ui.radialmenu,Radialmenu,,
codex.m.ui.radialmenu.desc,"Das Radialmenü ist das kreisförmige Menü, das durch {0} aufgerufen werden kann.<br><br>Über {1} wird entweder ein Untermenü geöffnet oder die gewählte Aktion ausgeführt.<br><br>{0} verlässt Untermenüs (eine Ebene nach oben) und schließlich das Radialmenü selbst.<br><br>Ein {1}-Doppelklick verlässt das Radialmenü sofort, auch wenn du tief im Untermenübaum steckst.<br><br>Häufig benutzte Werkzeuge und Blaupausen können in der Schnellleiste (unterste Zeile) abgelegt werden.<br><br>Es geht fast immer schneller, durch das Nutzen der Schnellsuche ({2}) oder via ""Kopie bauen"" zu bauen.",,
codex.m.ui.research,Forschungsbaum,,
codex.m.ui.research.desc,"Du solltest <b>Datenverarbeitung</b> bereits sehr zeitig erforschen, damit du nicht in einen Engpass an <b>Festplattenspeicher</b> gerätst, ohne neue Module bauen zu können.<br><br>Durch das Löschen von Forschungsgebieten kannst du Festplattenplatz zurückgewinnen, jedoch wird dies jedwede Blaupause entfernen, die durch ebendieses Forschungsgebiet freigeschaltet wurde. Gelöschte Technologien müssen erneut erforscht werden.<br><br>Für das Beginnen und Vorantreiben von Forschung benötigst du ausreichend Ressourcen.<br><br>Baue <b>Festplattenmodule</b> und <b>Arbeitsspeichermodule</b>, um deinen Festplatten- und Arbeitsspeicher zu erhöhen.<br><br>Du kannst das Energieverbrauchslimit jedes einzelnen Forschungsgeräts (Schiffscomputer, Forschungsstation) herabsetzen.<br><br>Das Forschungsbaumoverlay kann auch durch das Betätigen der {0}-Taste geöffnet werden.",2022-07-05,
codex.m.ui.starmap,Sternenkarte,,
codex.m.ui.starmap.desc,"Die Sternenkarte zeigt nahegelegene Weltraumobjekte, einschließlich andere Raumschiffe.<br><br>Du kannst Sternenkartenansichten wechseln, um Planeten, Sternensysteme oder Galaxien zu sehen. Siehe Sternenkartenoverlay für weiterführende Informationen.<br><br>Die Sternenkarte kann über die {0}-Taste geöffnet werden.",,
codex.m.ui.timecontrols,Zeitsteuerung,,
codex.m.ui.timecontrols.desc,"Die Zeitsteuerung befindet sich in der oberen rechten Ecke der Nutzeroberfläche.<br><br>Du kannst via {0}-Taste pausieren/fortsetzen und über die {1}-, {2}- und {3}-Taste zwischen den verschiedenen Geschwindigkeiten wechseln.<br><br>Verlangsamen: {5}<br><br>Beschleunigen: {6}<br><br>Es gibt eine extrahohe Geschwindigkeit, die nicht über die Nutzeroberfläche verfügbar ist – sie kann mit {4} ein- und ausgeschaltet werden.",,
codex.m.ui.uiscaling,Nutzeroberflächenskalierung,,
codex.m.ui.uiscaling.desc,"Sollten für deinen Bildschirm Texte zu klein oder Knöpfe zu groß/klein sein, kannst du die Nutzeroberflächenskalierung im Pausenmenü unter »Einstellungen« → »Video« anpassen.<br><br>Unter Umständen musst du die automatische Nutzeroberflächenskalierung ausschalten, damit der Nutzeroberflächenskalierungsregler aktiviert wird.",,
codex.m.whattodo,"Was soll ich tun?",,
codex.m.whattodo.suggestions,Vorschläge,,
codex.m.whattodo.suggestions.desc,"Die KI wird deine Handlungen stetig überwachen und dir zu gegebener Zeit bestimmte Aktionen vorschlagen, die sie als sinnvoll erachtet.<br><br>Im {0} Vorschlagsoverlay kannst du alle aktuellen und früheren Vorschläge nachlesen.<br><br>Obgleich du auf die Vorschläge achten solltest, kannst du diese letztlich vollständig ignorieren und die Dinge auf deine Weise erledigen.",,
codex.m.workers,"Arbeiter (Roboter, Drohnen)",,
codex.m.workers.abilitytofly,Flugfähigkeit,,
codex.m.workers.abilitytofly.desc,"Einige Arbeiter, wie Drohnen, können sich im Weltraum umherbewegen, wohingegen andere einen Boden benötigen, um sich zu bewegen.<br><br>Bestimmte Aufgaben – für gewöhnlich die, die die Konstruktion von Geräten im Weltraum beinhalten – erfordern Flugfähigkeit.<br><br>Bist du unsicher, ob ein Arbeiter fliegen kann, prüfe seine Navigationsdaten in der Infotafel. Arbeiter, die fliegen können, haben in ihrem Navigationsuntermenü die Angabe <b>Flugfähig</b>.",,
codex.m.workers.controlling,Direktsteuerung,,
codex.m.workers.managedandunmanaged,"Kontrollierte und nicht kontrollierte Arbeiter",,
codex.m.workers.managedandunmanaged.desc,"Von dir kontrollierte Arbeiter – die robotischen Lebensformen, die zu deiner Fraktion gehören – können direkt gesteuert werden.<br><br>Nicht kontrollierte Arbeiter gehören zwar ebenfalls zu deiner Fraktion, doch da sie biologische Lebensformen sind, kannst du ihre Handlungen nicht steuern. Um dies dennoch tun zu können, würde der Kolonist ein Hirnimplantat, das dir erlaubt, dich mit seinem Gehirn zu verbinden und seine Gedanken zu übernehmen, benötigen. Dies ist allerdings reine Theorie, denn selbst wenn derartige Hirnimplantate existierten, würden Asimovs Gesetze der Robotik deren Installation verbieten, da sie die Menschen verletzen würde.",,
codex.m.workers.needs,Bedürfnisse,,
codex.m.workers.needs.desc,"Bedürfnisse sind die treibende Kraft hinter allem, was Wesen zu tun entscheiden. Robotische Arbeiter haben deutlich weniger Bedürfnisse als Menschen und Haustiere. Bei biologischen Lebensformen sind Bedürfnisse stark mit ihrer Stimmung verknüpft, und wenn Bedürfnisse unbefriedigt sind, sinkt nahezu immer die Stimmung.<br><br>Du kannst die Bedürfnisse ausgewählter Wesen über die Infotafel einsehen. Das Anklicken eines jeden Bedürfnisses zeigt dir eine Hinweistafel mit einer Kurzbeschreibung.<br><br>Du solltest versuchen, genügend Einrichtungen und Ressourcen zur Verfügung zu stellen, um eines jeden Bedürfnisse zu befriedigen. Dies kann sich für menschliche Kolonisten jedoch als schwierig erweisen.",,
codex.m.workers.priorities,"Aufgabentypen und Prioritäten",,
codex.m.workers.priorities.desc,"Jeder robotische Arbeiter und jeder biologische Kolonist hat einen Satz von Aufgabentypen mit Prioritäten. Aufgabentypen bestimmen, was der Arbeiter zu tun in der Lage ist, während Prioritäten anzeigen, wie gewillt der Arbeiter ist, eine Aufgabe dieses Types auszuführen. 1 ist die niedrigste Priorität, 9 die höchste und eine Priorität von 0 schließt den Arbeiter von der Verrichtung einer Aufgabe des entsprechenden Typs aus.<br><br>Der Infotafel kannst du entnehmen, welche Aufgabentypen ein Arbeiter ausführen kann.<br><br>Aufgabenprioritäten kannst du bei von dir kontrollierten Arbeitern (Roboter und Drohnen) festlegen.<br><br>Es ist ebenso möglich, Aufgabenprioritäten individuell festzulegen oder einen Arbeiter zu zwingen, eine bestimmte Aufgabe auszuführen.<br><br>Sei beim Anpassen von Prioritäten deiner Arbeiter vorsichtig! Standardwerte sind vernünftig gesetzt und es ist durchaus möglich, in eine Situation zu geraten, in der einige Aufgaben wegen falschen Prioritätenmanagements niemals durchgeführt werden.",,
codex.m.workers.production,"Neue Arbeiter rekrutieren",,
codex.m.workers.production.desc,"Robotische Arbeiter können in einer Montagemaschine und einem Fertiger hergestellt werden, nachdem die dafür notwendigen Blaupausen erforscht wurden. In bestimmten Fällen kann ein streunender robotischer Arbeiter deiner Kolonie direkt beitreten.<br><br>Tote Arbeiter kannst du in einer Demontagemaschine zerlegen und so wertvolle Materialien gewinnen, die zur Fertigung neuer Arbeiter benötigt werden.",,
codex.m.workers.skills,Fähigkeiten,,
codex.m.workers.skills.desc,"Jeder robotische Arbeiter und jeder menschliche Kolonist verfügt über einen Satz an Fähigkeiten. Oft ist eine Fähigkeit auf einer bestimmten Stufe erforderlich, um gewisse Aufgaben auszuführen. Beispielsweise benötigt die Installation eines Verbesserungsmoduls Wissenschaftsfähigkeiten, weshalb Arbeiter, die diese Fähigkeit nicht besitzen, nicht in der Lage sein werden, diese Aufgabe auszuführen.<br><br>Welche Fähigkeiten zum Bauen eines Geräts benötigt werden, kannst du den Kodexeinträgen ihrer jeweiligen Blaupausen entnehmen.<br><br>Der Aufgabenbereich in der Infotafel zeigt dir weitere Details über benötigte Fähigkeiten und andere Voraussetzungen.",,
codex.manual,Betriebshandbuch,2022-04-01,
codex.mark.learned,"Als gelernt markieren",,
codex.materials,Materialien,,
codex.species,Spezies,,
codex.Tips,Tipps,,
codex.unlearn,Verlernen,,
collecting.mat,"Sammelt {0}",,
colonists.from.stasis.array,"{0} Kolonisten aus dem Stasisfeld",,
colony.event,Kolonieereignis,,
color.alpha,Helligkeit,,
color.Black,Schwarz,,
color.Blue,Blau,,
color.Green,Grün,,
color.Grey,Grau,,
color.Orange,Orange,,
color.Pink,Rosa,,
color.Purple,Purpur,,
color.Red,Rot,,
color.Violet,Violett,,
color.White,Weiß,,
color.Yellow,Gelb,,
combat.controls,Kampfsteuerung,,
combat.squad,Kampftruppe,,
combat.state.AttachToPrey,"An Beute geheftet",,"For showing a combat state when a Crawler is attached to a human's face (like a face hugger)"
combat.state.BreakIn,"Bricht ein",,
