Key,Translation,Version,Comment (context for translators)
codex.m.resources.deconstruction,Dekonstrukcja dla Zasobów,,
codex.m.resources.deconstruction.desc,"Każde urządzenie i struktura jest zbudowana z zasobów, które można odzyskać. Wybierz obiekt i zbadaj element konstrukcyjny w Panelu Informacyjnym, aby zobaczyć jego zawartość.<br><br>Dekonstrukcja nieużywanych przedmiotów, szczególnie podłóg i ścian, to często konieczna taktyka, szczególnie jeśli znajdziesz się na całkowicie zniszczonym statku lub gdy brakuje mu paliwa.<br><br>Czasami możesz chcieć zmniejszyć rozmiar swojego statku, jeśli rozbudowałeś go zbyt szybko. Lżejszy statek będzie podróżował szybciej i będzie potrzebował mniej energii elektrycznej do utrzymania.",,
codex.m.resources.inventory,Nakładka Inwentarza,,
codex.m.resources.inventory.desc,"Użyj nakładki <b>{0}</b>, aby uzyskać podgląd dostępnych zasobów i przedmiotów.<br><br>Kliknij przycisk <b>Znajdź</b> obok zasobu, aby przełączać się między dostępnymi miejscami jego przechowywania.",29.08.2023,
codex.m.resources.miningplanets,Planety Górnicze,,
codex.m.resources.miningplanets.desc,"Najlepszym sposobem na zdobywanie zasobów jest odwiedzanie planet i organizowanie <b>Wypraw Górniczych</b>. Odblokuj możliwość <b>Lotów Kosmicznych</b>, użyj nakładki <b>{0}</b>, aby zlokalizować pobliskie <b>Planety</b>, poleć do nich, a następnie użyj widoku <b>{1}</b>, by rozpocząć wyprawę.",29.08.2023,
codex.m.resources.processing,Przetwarzanie Zasobów,,
codex.m.resources.processing.desc,"Niektóre zasoby można przetworzyć na bardziej wyrafinowane zasoby, które można później wykorzystać jako składniki rzemieślnicze lub do innych celów. Przetwarzanie jest zwykle wymagane w przypadku surowców takich jak rudy lub Ropa Naftowa.<br><br>Przetwarzanie wymaga posiadania kompatybilnego obiektu (np. Pieca do rud). Wyszukaj wpisy w Kodeksie dotyczące różnych zasobów, aby sprawdzić, jaki obiekt jest w stanie przetworzyć konkretny materiał.<br><br>Możesz przetwarzać martwe istoty w Ekstraktorze Składników Odżywczych, a martwe roboty i drony w Rozmonterze.<br><br>Niektóre zasoby dają wiele tych samych lub różnych materiałów po przetworzeniu. Przetwarzanie Skał w Młynku może skutkować powstaniem wielu różnych materiałów. Aby uzyskać więcej informacji, zobacz wpisy Kodeksu dotyczące materiałów.",,
codex.m.resources.trade,Handel Zasobami,,
codex.m.resources.trade.desc,"Możesz kupować i sprzedawać większość zasobów i materiałów, handlując z określonym rodzajem kupców.<br><br>Handel zasobami na Giełdzie nie powoduje kupna ani sprzedaży żadnych fizycznych zasobów, których możesz użyć.",,
codex.m.spacetravel,Podróż Kosmiczna,,
codex.m.spacetravel.enginetypes,Rodzaje Silników,,
codex.m.spacetravel.enginetypes.desc,"Różne <b>Silniki</b> mają różne cele. <b>Silniki Odrzutowe</b> działają tylko w przypadku podróży na krótki dystans, z planety na planetę w jednym układzie gwiezdnym. Silniki <b>Napędu Fuzyjnego</b> mogą latać pomiędzy <b>Systemami Gwiezdnymi</b> w tej samej galaktyce. Do przemieszczania się między odległymi <b>Galaktykami</b> potrzebny będzie <b>Napęd Nadświetlny</b>.<br><br>Chociaż nie jest to silnik, <b>Rozpruwacz Pustki</b> może pomóc twojemu statkowi skakać przez <b>Czarne Dziury</b>, które znajdują się w centrum każdej galaktyki.<br><br><b>Kontrolery Manewrowe</b> mogą być używane tylko do przemieszczania sekcji statków po lokalnej mapie.<br><br>Zobacz nakładkę <b>{0}</b>, aby dowiedzieć się, jakie silniki są dostępne i jakie masz możliwości lotu.",29.08.2023,
codex.m.spacetravel.starmap,Mapa Gwiezdna,29.08.2023,
codex.m.spacetravel.starmap.desc,"<b>{0}</b> ma kilka warstw. Zaczynasz w warstwie <b>System Lokalny</b>, która wyświetla system gwiezdny, w którym się znajdujesz.<br><br>Wyleć poza <b>Horyzont</b> bieżącego widoku mapy gwiazd, aby wyjść do górnej warstwy.<br><br>Kiedy twój statek znajdzie się w pobliżu obiektu kosmicznego, który ma dolną warstwę, w interfejsie mapy gwiazdnej dostępna będzie opcja <b>Wejścia</b> do obiektu.<br><br>Aby móc podróżować w poszczególnych warstwach mapy gwiazdnej, wymagane są konkretne typy silników. Więcej szczegółów znajdziesz we wpisie <b>Typy silników</b>.",29.08.2023,
codex.m.storyevents,Wydarzenia Fabularne,,
codex.m.ui,Interfejs Użytkownika,,
codex.m.ui.basics,Podstawy Interfejsu,,
codex.m.ui.basics.desc,"Większość części interfejsu użytkownika jest zbudowana przy użyciu tych samych elementów lub „widżetów”. Większość widżetów umożliwia interakcję, a niektóre mogą mieć więcej niż jeden region, na który można kliknąć lub najechać kursorem. Ten sam widget może mieć wiele trybów działania i może być aktualizowany w czasie rzeczywistym lub też nie, zależnie od celu widżetu.<br><br>Zachęcamy do klikania, trzymania kursora nad elementami w celu sprawdzenia, czy pojawia się jakaś informacja i poznawania interfejsu użytkownika.<br><br>Ważne jest zrozumienie, jak działają widżety interfejsu użytkownika oraz struktura interfejsu. Podmenu z mnóstwem opcji może kryć się za małym prostokątnym przyciskiem - eksploruj dowolnie.",,
codex.m.ui.cameramemory,Pamięć Kamery,,
codex.m.ui.cameramemory.desc,"Możesz zapisać pozycję oraz przybliżenie kamery klikając przycisk {0} oraz cyfrę na klawiaturze numerycznej. Gdy klikniesz ten sam numer bez przytrzymywania {0}, kamera przeniesie się do zapisanego miejsca.",,
codex.m.ui.commonactions,Wspólne Akcje,,
codex.m.ui.commonactions.desc,"W przypadku wybrania kilku obiektów, niektóre z nich mogą mieć wspólne akcje. Te akcje są widoczne na górze Panelu Informacyjnego oraz w Menu Kontekstowym.<br><br>Gdy wspólna akcja ma mnożnik (np. X12), oznacza to, że akcja zostanie zastosowana do tej liczby elementów.",,
codex.m.ui.contextmenu,Menu Kontekstowe,,
codex.m.ui.contextmenu.desc,"Po wybraniu dowolnego obiektu za pomocą przycisku {0}, umieść kursor nad obiektem i użyj przycisku {1}, aby otworzyć Menu Kontekstowe. Niektóre obiekty mogą tego nie mieć, ale większość je posiada.<br><br>Menu Kontekstowe zazwyczaj zawiera zbiór przydatnych akcji, które można znaleźć przeglądając Panel Informacyjny.<br><br>Panel informacyjny prawie zawsze będzie zawierał wszystko, lub nawet więcej, niż Menu Kontekstowe.<br><br>Możesz także zaznaczyć wiele obiektów i wywołać Menu kontekstowe nad jednym z nich, aby wykonać jakąś wspólną akcję dla wszystkich wybranych obiektów. Aby uzyskać więcej informacji, zobacz sekcję „Wspólne Akcje”.",,
codex.m.ui.hotbar,Pasek Szybkiego Wyboru,,
codex.m.ui.hotbar.desc,"Pasek Szybkiego Wyboru, znajdujący się na dole ekranu, zapewnia skróty do narzędzi i planów. Domyślnie są w nim fabrycznie załadowane narzędzia z menu narzędzi, ale możesz je dostosować do swoich potrzeb.<br><br>- Aby dodać element: Będąc w menu narzędzi, przytrzymaj {0} i wybierz element menu.<br>- Aby usunąć element: Przytrzymaj przycisk {0} i kliknij element na Pasku Szybkiego Wyboru.<br>- Aby zmienić kolejność elementów: Kliknij i przeciągnij dowolny element.<br>- Aby zapobiec przypadkowym zmianom, możesz zablokować pasek skrótów w menu Bieżące Ustawienia Gry.",16.08.2023,
codex.m.ui.infopanel,Panel Informacyjny,,
codex.m.ui.infopanel.desc,"<b>Panel Informacyjny</b> ukazuje dane i elementy sterujące dowolnego wybranego obiektu. Zalecamy zapoznanie się z panelem informacyjnym dla każdego urządzenia, istoty i materiału. pomoże ci to zrozumieć stan obiektu i poinformuje, jak możesz nimi zarządzać i konfigurować.<br><br>Każdy obiekt ma zestaw komponentów. Po wybraniu obiektu, każdy jego komponent udostępnia swoje dane i elementy sterujące panelowi informacyjnemu.<br><br>Po wybraniu wielu obiektów w panelu informacyjnym zostanie wyświetlona lista wszystkich wybranych obiektów oraz interaktywna lista wspólnych działań nad nimi. Więcej szczegółów znajdziesz w sekcji <b>Typowe działania</b> w <b>Kodeksie > Instrukcji operacyjnej</b>.",14.08.2023,
codex.m.ui.overlays,Nakładki,,
codex.m.ui.overlays.desc,"Nakładki umożliwiające interakcję z różnymi systemami wewnętrznymi i grupami danych, takimi jak <b>{0}</b>, <b>{1}</b>, <b>{2}</b>, <b>{3}</b> itd.<br><br>Nakładki znajdują się w lewym górnym rogu interfejsu użytkownika.<br><br>Niektóre nakładki można odblokować przy pomocy <b>Badań</b> lub posiadając określone urządzenia.",29.08.2023,
codex.m.ui.quicksearch,Szybkie Wyszukiwanie,,
codex.m.ui.quicksearch.desc,<b>Szybkie wyszukiwanie</b> pomoże ci wykonać różne czynności jak i odszukać konkretne informacje. Otwórz Szybkie Wyszukiwanie za pomocą {0} i zacznij wpisywać zapytanie. Możesz:<br> - Zamienić kursor w <b>Narzędzie</b>.<br> - <b>Zbudować</b> urządzenie.<br> - Znaleźć <b>Istotę</b>.<br> - Znaleźć <b>Węzeł Badawczy</b> lub <b>Plan</b> w <b>Drzewku Badawczym</b>.<br> - Znaleźć obiekty na <b>Mapie Gwiazd</b>.<br> - Znaleźć wpisy w <b>Kodeksie</b>.<br> - Skoczyć do <b>Współrzędnych</b> (np.: <b>120 234</b>),29.08.2023,
codex.m.ui.radialmenu,Narzędzia: Okrągłe Menu,16.08.2023,
codex.m.ui.radialmenu.desc,"Okrągłe Menu można wywołać klikając {0}.<br><br>Kliknięcie {1} spowoduje wejście do podmenu lub uaktywnienie wybranej akcji.<br><br>Kliknięcie {0} spowoduje wyjście z podmenu (jeden poziom w górę) a potem wyjście z menu.<br><br>Dwukrotne kliknięcie {1} spowoduje natychmiastowe wyjście z menu, nawet jeśli znajdujesz się kilka warstw głębiej.<br><br>Często używane narzędzia jak i plany, można umieścić na Pasku Szybkiego Wyboru (na dole ekranu).<br><br>Budowanie jest zazwyczaj szybsze przy użyciu Szybkiego Wyszukiwania ({2}) lub „Zbuduj Kopię”.",,
codex.m.ui.timecontrols,Sterowanie Czasu,,
codex.m.ui.timecontrols.desc,"Elementy Sterujące Czasem znajdują się w prawym górnym rogu interfejsu użytkownika.<br><br>Możesz wstrzymywać/wznawiać czas za pomocą przycisku {0} i przełączać pomiędzy różnymi prędkościami za pomocą przycisków {1}, {2} i {3}.",12.12.2022,
codex.m.ui.uiscaling,Skalowanie Interfejsu Użytkownika,,
codex.m.ui.uiscaling.desc,"Jeśli napisy są za małe lub przyciski są za duże/małe, możesz dostosować skalę Interfejsu Użytkownika w Panelu Pauzy > Ustawienia > Wideo.<br><br>Może być konieczne wyłączenie automatycznego skalowania interfejsu użytkownika, aby odblokować suwak skali Interfejsu Użytkownika.",,
codex.m.whattodo,Co teraz?,,
codex.m.whattodo.suggestions,Sugestie,,
codex.m.whattodo.suggestions.desc,"
Sztuczna Inteligencja będzie stale śledzić twoją rozgrywkę i sugerować pewne działania, które w danym momencie uzna za rozsądne.<br><br>Wszystkie aktualne i wcześniejsze sugestie możesz sprawdzić w nakładce <b>{0}</b>.<br><br>Chociaż powinieneś/łaś wziąć tę informację pod uwagę, możesz całkowicie zignorować tę sugestię i zrobić wszystko po swojemu.",29.08.2023,
codex.m.workers,"Pracownicy (Roboty, Drony)",,
codex.m.workers.abilitytofly,Umiejętność Latania,,
codex.m.workers.abilitytofly.desc,"Niektórzy pracownicy, np. Drony, mogą poruszać się po otwartej przestrzeni, podczas gdy inni wymagają poruszania się na podłogach.<br><br>Niektóre zadania, zwykle związane z konstruowaniem urządzeń w przestrzeni, wymagają umiejętności latania.<br><br>Jeśli nie masz pewności, czy pracownik potrafi latać, sprawdź dane nawigacyjne w Panelu informacyjnym. Pracownicy, którzy potrafią latać, będą mieli w podmenu nawigacji informację „Potrafi latać”.",,
codex.m.workers.controlling,Bezpośrednia Kontrola,,
codex.m.workers.managedandunmanaged,Zarządzalni i Niezarządzalni Pracownicy,,
codex.m.workers.managedandunmanaged.desc,"Możesz mieć bezpośrednią kontrolę nad Zarządzalnymi Pracownikami – robotycznymi formami życia należącymi do twojej Frakcji.<br><br>Niezarządzani Robotnicy również są częścią twojej Frakcji, ale ponieważ są biologicznymi formami życia, nie możesz mieć żadnej kontroli nad ich działaniami. Aby to zrobić, kolonista musiałby mieć jakiś implant mózgowy, który pozwoliłby ci połączyć się z jego umysłem i przejąć nad nim kontrolę. Ale to tylko teoria i nawet gdyby takie implanty mózgowe istniały, Prawa Robotyki Asimova zabraniałyby instalowania implantu, ponieważ zaszkodziłoby to ludziom.",,
codex.m.workers.needs,Potrzeby,,
codex.m.workers.needs.desc,"Potrzeby są głównymi czynnikami wpływającymi na działanie istot. Robotyczni pracownicy mają znacznie mniej potrzeb niż ludzie i zwierzęta, a potrzeby istot biologicznych w ogromnym stopniu wpływają na ich nastrój. Jeśli te potrzeby nie są zaspokojone, ich nastrój ulega pogorszeniu.<br><br>Możesz przeglądać potrzeby wybranych istot w Panelu Informacyjnym.<br><br>Konieczne jest zapewnienie wystarczającej ilości obiektów i zasobów, aby zaspokoić potrzeby wszystkich kolonistów. Jednak osiągnięcie tego dla ludzkich kolonistów może być trudne.",29.08.2023,
codex.m.workers.priorities,Rodzaje Prac i Priorytetów,,
codex.m.workers.priorities.desc,"Każdy robotyczny pracownik i biologiczny kolonista ma zestaw rodzajów prac i priorytetów. Rodzaje Prac określają, do jakich zadań pracownik jest zdolny, a priorytety pokazują, jak bardzo pracownik będzie chciał wykonać zadanie na danym typie stanowiska. Priorytety są przedstawione w skali od 1 (najniższy) do 9 (najwyższy), a priorytet 0 uniemożliwi pracownikowi wykonywanie zadań tego typu.<br><br>Możesz sprawdzić, jakie typy zadań może wykonywać wybrany pracownik w Panelu Informacyjnym.<br><br>Możesz kontrolować priorytety zadań dla Zarządzalnych Pracowników (robotów i dronów).<br><br>Możliwe jest także kontrolowanie priorytetów poszczególnych zadań oraz zmuszanie pracownika do wykonania określonego zadania.<br><br>Zachowaj ostrożność przy ustalaniu priorytetów pracowników. Wartości domyślne są ustawione rozsądnie, ale może dojść do sytuacji, w której niektóre zadania nigdy nie zostaną wykonane z powodu złego zarządzania priorytetami.",,
codex.m.workers.production,Otrzymywanie nowych Pracowników,,
codex.m.workers.production.desc,Robotycznych pracowników można tworzyć w Monterze i Fabrykatorze po odblokowaniu niezbędnych planów. W niektórych przypadkach bezpański robotyczny pracownik może dołączyć do twojej kolonii.<br><br>Możesz złomować martwych robotycznych pracowników w Rozmonterze i odzyskać cenne materiały potrzebne do produkcji nowych pracowników.,,
codex.m.workers.skills,Umiejętności,,
codex.m.workers.skills.desc,"
Każdy robotyczny pracownik i ludzki kolonista ma zestaw umiejętności. Często do wykonania określonych zadań niezbędna jest umiejętność na określonym poziomie. Na przykład zainstalowanie Modułu Ulepszenia wymaga umiejętności Nauk Ścisłych, dlatego pracownicy nieposiadający tej umiejętności nie będą mogli wykonać tego zadania.<br><br>Możesz sprawdzić, jakie umiejętności są wymagane do zbudowania dowolnego urządzenia, sprawdzając jego wpis w Kodeksie.<br><br>Sprawdzenie sekcji Zadań w Panelu Informacyjnym ujawni więcej szczegółów na temat wymaganych umiejętności i innych warunków do wykonania zadania.",,
codex.manual,Instrukcja Obsługi,01.04.2022,
codex.mark.learned,Oznacz Jako Przeczytane,,
codex.materials,Materiały,,
codex.species,Rasy,,
codex.Tips,Podpowiedzi,,
codex.unlearn,Oducz,,
collecting.mat,Zbiera {0},,
colonists.from.stasis.array,{0} kolonistów z Komory Zastoju,,
colony.event,Wydarzenie Kolonialne,,
color.alpha,Jasność,,
color.Black,Czarny,,
color.Blue,Niebieski,,
color.Green,Zielony,,
color.Grey,Szary,,
color.Orange,Pomarańczowy,,
color.Pink,Różowy,,
color.Purple,Purpurowy,,
color.Red,Czerwony,,
color.Violet,Fioletowy,,
color.White,Biały,,
color.Yellow,Żółty,,
combat.controls,Kontrola Walki,,
combat.squad,Skład Bojowy,,
combat.state.AttachToPrey,Przyczepiony do Ofiary,,For showing a combat state when a Crawler is attached to a human's face (like a face hugger)
combat.state.BreakIn,Włamuje się,,
combat.state.Escape,Ucieka,,
combat.state.FindEnemy,Szuka Wroga,,
combat.state.FindLoot,Szuka Łupu,,
combat.state.HighAlert,Wysoka Czujność,,
combat.state.LoadLoot,Kradnie,,
combat.state.MeleeAttack,Atakuje (Wręcz),,
combat.state.RangedAttack,Atakuje (Zasięgowo),,
combat.state.Regroup,Przegrupowuje się,,
combat.state.SuicideBomb,Bomba Samobójcza,,
comfortable.temp,Komfortowa Temperatura,,
comfortable.work.spot,Komfortowe miejsce pracy,,
communicator.missing,Brak Komunikatora,,
communicator.missing.info,"Ktoś próbował skontaktować się z naszym statkiem, ale nie posiadaliśmy żadnego Komunikatora, lub nie był on podłączony.",,
compatible.objects,Kompatybilne Objekty,,
computer.resources,Zasoby Komputerowe,,
computer.resources.cpu,CPU,,
computer.resources.info,"Pamięć: {0}, Dysk: {1}",18.08.2022,
computer.resources.memory,Pamięć,,
computer.resources.storage,Miejsce na Dysku,18.08.2022,
condition,Stan,,
confirm,Potwierdź,,
confirm.expedition,Potwierdź wyprawę,,
confirm.mass.order,Potwierdź Grupowy Rozkaz,,
confirm.mass.processing,Zamierzasz zlecić przetworzenie <b>{0} obiektów</b>,,
confirm.object.removal,Potwierdź Usunięcie Objektu,,
confirm.object.removal.info,"Twój wybór obejmuje <b>{0} obiektów</b>, które mogą być przydatne. Potwierdź działanie.",18.08.2022,
connect.to.refuel,Podłącz aby Naładować,,"A label displayed in the menu when you have a disconnected device that needs fuel. You cannot refuel it while it is disconnected, so you have to ""connect to refuel"""
connected.to.count,Podłączony do,,
construct,Budowla,,
construct.find.materials,Znajdź Materiały,,
construct.object,Zbuduj Objekt,,
construction.complete,W Pełni Zbudowane,,
construction.cost,Koszt Budowy,,
construction.pending,Nie Zbudowane,,
construction.progress,Postęp Budowy: {0}/{1},,
contains.materials,Zawiera Materiały,,
content,Tekst,,"For a label of a text area where player has to enter the ""content"" of some message"
contents,Zawartość,,For a label before a list of items that are inside some container
continue,Kontynuuj,,
contribute.translation,Weź udział w tłumaczeniu,,
controllable.worker,Zarządzalny Pracownik,,
convert,Przemień,,
converting.now,Przemienianie {0},,
cook,Kucharz,,
cooking.bar,Gotuje {0},,
,,,
,,,
,,,
,,,
cooler,Chłodzarka,,"A device type, noun. Opposite of ""Heater"". Device that cools the area down, reduces temperature."
copied.to.clipboard,Skopiowane do Schowka,,
copied.to.clipboard.info,Skopiowano {0} wpisów dziennika do schowka. Wklej je do edytora tekstu aby zapisać swoją historię.,,
copy.color.hex,Skopiuj Kolor: {0},,
copy.config,Skopiuj Konfigurację,,
copy.config.cleanable,Czyszczenie,,"Most ""copy.config.X"" keys are used in combination with ""copy.config.of"" key (which is ""Copy Config: {0}""). In this case the copy config action target is a cleanable device (i.e. a toilet or a solar panel). The value of this translation will be placed into {0} variable of ""copy.config.of"", so in this case it will become ""Copy Config: Cleanable"". This text will be displayed on a button that copies the configuration of the cleanable device and then lets you paste it onto other devices of same type."
copy.config.energy.node,Przełącznik Prądu,,
copy.config.fluid.cannon,Działko z Płynem,,
copy.config.help,"To narzędzie skopiuje konfigurację wybranego komponentu i przejdzie w tryb wklejania. Zobaczysz link do skopiowanego obiektu. Przeciągnij prostokąt nad obiektami, do których chcesz wkleić konfigurację. Jeśli przeciągniesz go nad niekompatybilnymi obiektami, nic się nie stanie.",,
copy.config.light,Kolor Światła,,
copy.config.lock.state,Stan Zamknięcia,,"This one is like ""copy.config.cleanable"" but the target device is a door. The door lock state can be ""Locked"" or ""Unlocked"", so when you get a menu of the door options, there will be a button saying ""Copy Config: Lock State"". You can then paste the lock state on other doors that can be locked or unlocked."
copy.config.matter.reactor,Reaktor,13.08.2022,
copy.config.of,Skopiuj Konfigurację: {0},,
copy.config.particle.collector,Kolektor Cząsteczek,,
copy.config.pet.bowl,Miska dla Zwierząt,,
copy.config.planter,Sadzarka,,
copy.config.solar.panel,Panel Słoneczny,,
copy.config.terraformer,Terraformer,,
copy.emblem,Skopiuj Emblemat,,
copy.game.seed,Skopiuj Ziarno Gry,,
copy.id,Skopiuj ID,,
copy.to.clipboard,Skopiuj do Schowka,,
cosmetic.particles,Pokaż Cząsteczki Kosmetyczne,,
cosmetic.particles.tip,Wyłącza niepotrzebne systemy cząsteczek. Przydatne podczas gry na bardzo dużych mapach lub na starszym sprzęcie.,,
could.not.cancel.exp.stage,Nie można było anulować {0},,
countdown.minutes,Odliczanie: {0:0.0} min.,,
cpu.efficiency,Efektywność Operacyjna,,
cpu.module.amount,{0} THz,,
cpu.module.builtin,Wbudowany Moduł CPU,,
,,,
,,,
,,,
,,,
craft,Wytwórz,,
crafted.in,Wytworzono w: {0},,
credits,Twórcy,,"A header before list of names of people who have to be credited for doing something (i.e. translating the game). Used in Main Menu > About > Credits, or when the game end screen is displayed."
crew.incapable.of.mining,Załoga wyprawy nie była w stanie wydobyć rudy. Powinieneś dodać do wyprawy członków posiadających umiejętność <b>Górnictwa</b>.,,
cryo.not.enough.power,Niewystarczająco Dużo Mocy,,
cryo.not.enough.power.desc,Brakuje mocy na obecnym poziomie podtrzymywania życia. Zmniejsz docelowy poziom podtrzymywania życia lub zwiększ siłę sieci elektroenergetycznej.,,
cryo.stability,Kriostabilność,,
cryo.stability.average,Stabilność: Przeciętna,,
cryo.stability.desc,"Pokazuje, jak stabilne są systemy podtrzymywania życia. Niestabilne komory kriogeniczne będą częściej wyrzucać kolonistów i to w gorszych warunkach. Aby zwiększyć stabilność, zmień system podtrzymywania życia z podstawowego na zaawansowany. Zużyje dużo energii, ale stabilność będzie powoli się poprawiać.",,
cryo.stability.good,Stabilność: Dobra,,
cryo.stability.great,Stabilność: Bardzo Dobra,,
cryo.stability.poor,Stabilność: Słaba,,
cryo.stability.unstable,Stabilność: Niestabilna,,
cryo.used,Użytkowane Komory,,"There is a device called ""Stasis Array"" that has multiple ""chambers"" where people can get frozen for long term sleep. ""Used Chambers"" is a label before the number telling how many of those chambers are currently occupied."
cryo.used.desc,"Pokazuje, ile komór kriostatycznych jest aktualnie zajętych przez żywe istoty. W komorach mogą znajdować się ludzie lub zwierzęta.",,
ctrl.assign.task,"Naciśnij {0} trzymając {1}, by narzucić zadanie",,
currency.Starcreds,StarKredyty,,
currency.Starcreds.desc,Kryptograficzna waluta używana przez ludzi do handlu towarami,,
current.expeditions,Aktualne Wyprawy,,
current.items.produced,Aktualne Wyprodukowane Przedmioty,,
current.mood.trend,Aktualny Trend Nastroju,,
cursor.light,Włącz Poświatę Kursora,,
cursor.light.tip,"Po włączeniu, kursor myszy będzie emitować trochę światła, aby pomóc ci zobaczyć rzeczy w ciemniejszych obszarach.",,
cursor.software,Użyj Kursora Systemowego,,
cutoff.ambience,Wyłączenie Dźwięków Tła przy Oddalaniu Kamery,,"Cutoff refers to audio low-pass filter frequency: In a lowpass filter, the higher the cutoff frequency is set, the higher the frequencies of signals that are allowed to pass. Ambience in this case is sounds coming from various devices, like machines or engines humming. The context for ""Zoom Cutoff for Ambience"" - it is used as a label for a checkbox in audio settings. If checked, when camera is zooming, ambience audio gets the cutoff (muffled sound) effect when camera distance changes."
cutoff.fx,Wyłączenie Dźwięków Efektów Specjalnych przy Oddalaniu Kamery,,
cutoff.music,Wyłączenie Muzyki przy Oddalaniu Kamery,,
cycle.blueprint.tip,<br> Zmień plan na {0} i {1},,
cycle.placement.mode.tip,<br>Zmieniaj tryb umieszczania za pomoc? {0},,
damage.type.Acid,Kwas,,
damage.type.Age,Wiek,,
damage.type.Cold,Chłód,,
damage.type.Electricity,Szok Elektryczny,,
damage.type.Heat,Ciepło,,
damage.type.Hunger,Niedożywienie,,
damage.type.Oxygen,Duszenie się,,
damage.type.Physical,Fizyczne,,
damage.type.Sickness,Choroba,,
damage.type.Stasis,Zastój,,
damage.type.Undefined,Nieznane,,
damage.type.Water,Woda,,
damageable,Do Uszkodzenia,,
damaged,Uszkodzone,,
day,Dzień,,
deactivate,Dezaktywuj,,
deactivate.siren,Dezaktywuj Syrenę,,
dead,Nie żyje,,
death.cause,Przyczyna zgodnu: {0},,
deconstruct,Zdekonstruuj,,
deconstruction.not.allowed.temp,{0} Jest w stanie który uniemożliwia dekonstrukcję. Spróbuj ponownie później.,,
deconstruction.progress,Postęp Dekonstrukcji: {0}/{1},,
decrease,Zmniejsz,,
decrease.amount,Zmniejsz Ilość,,
delete,Usuń,,
delete.save,Usuń Zapis,,
demand.type.Custom,Wyprodukuj Konkretną Ilość,,"demand.type.X keys are for options used in crafting devices to select how many items do we want to produce. ""Produce Custom Amount"" does what demand.type.Custom.tip says - the device will produce X items and stop. This configuration option is per device, unlike ""Target Global Inventory"" it will calculate how many items that particular device has produced."
demand.type.Custom.tip,Wyprodukuje tylko wybraną ilość przedmiotów,,
demand.type.Limit,Weź pod uwagę globalne zasoby,,"like demand.type.Custom, but instead of a custom amount for a particular crafting device, it will track your inventory, so if you have 3 devices that produce ""copper wire"", and you set all of those devices to ""Target Global Inventory"" of 10 items, all the devices will stop producing new ""copper wire"" after you have a total of 10."
demand.type.Limit.tip,"
Będzie produkować tylko wtedy, gdy liczba docelowa będzie większa niż globalna liczba zapasów.",,
demand.type.One,Wyprodukuj Jedno,,"like demant.type.Custom, but it does not let you choose the amount, it will stop after producing one item"
demand.type.One.tip,Zatrzyma produkcję po wytworzeniu aktualnego przedmiotu,,
demand.type.Unlimited,Produkuj Bez Końca,,"like demand.type.Custom, but it does not let you choose the amount, it will keep producing the copies of the item forever (or until you change the configuration)"
demand.type.Unlimited.tip,"Będzie produkować nieskończenie, chyba że zmienisz ustawienia.",,
demo.mode,Tryb Demo,,
demo.mode.off,Tryb Demo Wyłączony,,
demo.mode.on,Tryb Demo Włączony<br>(Wyłącz klikając: Ctrl + F9),,
destroy,Zniszcz,,
details,Detale,,
dev.build.instant,Natychmiastowa Budowa (Tryb Piaskownicy),,
dev.debug,Debug Dewelopera,,
dev.menu.achievements.warning,Użycie niektórych funkcji w tym menu <b>Wyłączy osiągnięcia dla tego zapisu</b> bez ostrzeżenia.,,
dev.notice,Uwaga od Dewelopera,,
device.battery.level,Bateria: {0} ({1}),,
device.health,Kondycja: {0},,
device.idle,{0} ({1}) jest bez zadań,29.10.2022,"Example: ""Furnace (Iron) is idle"""
device.wear,Zużycie Urządzeń,,
device.wear.tip,"Jeśli włączone, urządzenia będą śledzić zużycie, i nie będzie można ich naprawić, jeśli zużycie osiągnie 100%.",,
device.wear.warning,Urządzenie będzie potrzebowało wymiany,,
device.worn.out,Urządzenie zostało zużyte i nie może być już naprawiane,,
different.section,Inna Sekcja,,"shows up in the list of reasons why someone did not perform a task. ""Different section"" in this context means that the worker was in section A, while task was in section B. Different sections can only be reached by flying, so worker that will not do the task for this reason will almost always be someone who is incapable of flying"
difficulty.balanced,Zbalansowany,,"Shows up in the list of game difficulty levels. Balanced is like ""medium difficulty"""
difficulty.challenging,Wyzywający,,"Shows up in the list of game difficulty levels. Challenging is like ""hard difficulty"""
difficulty.relaxing,Relaksacyjny,,"Shows up in the list of game difficulty levels. Relaxing is like ""easy difficulty"""
direct.control,Bezpośrednia Kontrola,,"A text on a button that enables ""direct control"" of a robot. ""Direct control"" allows issuing orders directly to the selected robot. Otherwise robots make choices and perform actions on their own."
