Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
tut.bodyparts.step2_6,<b>負傷</b>には、それぞれの<b>深刻度</b>があります：<br>{0}。<br><br>同種のダメージが身体パーツに加わると負傷の深刻度が<b>増加</b>します。深刻度が高いほど治癒に時間がかかります。,,{0} will be the list of severities
tut.bodyparts.step2_6_2,"ダメージレベルが<b>致命傷</b>の場合、身体パーツは{0} <b>機能不全</b>となります。<b>回復不能</b>および<b>致命傷</b>の身体パーツは<b>破壊された</b>と見なされます。",,{0} is crutch icon
tut.bodyparts.step2_7,<b>致命傷</b>か<b>破壊された</b>身体パーツに<b>取り付けられている</b>身体パーツも、親パーツが<b>修理</b>や<b>交換</b>されるまで{0} <b>無効</b>になります。<br><br>例: 左の<b>アームソケット</b>に<b>致命傷</b>を負ったロボットは、左の<b腕</b>と左の<b>手</b>のスロットが無効になります。,,{0} is crutch icon
tut.bodyparts.step2_8,"{0} <b>無効</b>または<b>欠損した</b>体のパーツを持つ生命体は、その体のパーツが本来提供する<b>能力</b>や<b>ステータス</b>を失います。<br><br>例: <b>履帯</b>が<b>回復不能</b>まで損傷したロボットは<b>移動できなくなります</b>。損傷した<b>履帯</b>を<b>小型推進器</b>に交換すると、そのロボットは<b>飛行能力</b>を<b>得る</b>ことができます。",,{0} is crutch icon
tut.bodyparts.step2_9,<b>健康状態オーバーレイ</b>を使用し、負傷状況のすべてを素早く把握しましょう。,,
,,,
tut.bodyparts.step3_1,"生命体を選択すると、<b>健康状態</b>の経過や物理的な怪我による<b>負傷</b>の有無が表示されます。また、<b>死因</b>の特定にも役立ちます。",,
tut.bodyparts.step3_2,"<b>抑うつ</b>のような症状のいくつかは精神的な影響を与える一方で、<b>低酸素症</b>のような他の健康状態は肉体的な損傷を引き起こし、それが{0} <b>死</b>につながることもあります。",,
tut.bodyparts.step3_3,ほとんどの健康状態には根本的な<b>原因</b>があります。その原因を解決することで、時間とともに健康状態が<b>回復</b>します。<br><br>例: <b>抑うつ</b>は<b>満足度</b>のステータスが低いままになると発生します。<b>娯楽</b>施設を提供することで<b>満足度</b>を向上させ、徐々に<b>抑うつ</b>を軽減できます。,,
tut.bodyparts.step4_1,"生物の場合、怪我が<b>致命傷</b>となることがあります。しかし、<b>脳</b>が無傷であれば、別の身体に<b>移植</b>することが可能です。",,
tut.bodyparts.step4_2,"<b>脳</b>は<b>異なる生物</b>間でも入れ替えることが可能です。例えば、<b>ネコ</b>の脳を<b>人間</b>の体に移植すると、その人間はネコの自我が芽生え、ネコのように振る舞うようになります。",,
tut.bodyparts.step4_3,"<b>脳</b>をロボットに搭載することはできず、生物において<b>脳</b>をロボットの<b>制御コア</b>に置き換えることもできませんが、<b>レプリケーター</b>を使用して<b>精神移植</b>を行うことは可能です。",,
tut.bodyparts.step4_4,"倒した<b>敵</b>から取り出した<b>制御コア</b>をそのまま組み込むと、その敵として<b>復活</b>させてしまいます。しかし、<b>レプリケーター</b>を使えば、敵の<b>自我</b>を<b>友好的な</b>入植者の<b>脳</b>で上書きすることが可能です。<br><br>これは、死んでしまった生物の入植者に第二の人生を与え、ロボットの労働力を拡大する優れた方法です。",,
tut.bodyparts.step5.title,身体パーツに対する手術,,
tut.bodyparts.step5_1,これまで学んだことを駆使して、強調表示されている<b>破壊された制御コア</b>がある<b>ドローン</b>を<b>復活</b>させましょう。<b>死んでしまった人間</b>の意識を、無力化された<b>敵の清掃ロボット</b>の<b>制御コア</b>に転送し、<b>友好的な制御コア</b>を作成し、それを使って<b>死んだドローン</b>を復活させます。,,
tut.bodyparts.step5_2,"<b>制御コア</b>の壊れている<b>ドローン</b>には、他にも<b>損傷したパーツ</b>があります。これらの部位をすぐに修理するため、<b>リペアステーション</b>に<b>移動</b>させることができます。そのままにしておいても、<b>ドローン</b>は<b>復活</b>後に自動的に<b>リペアステーション</b>に運ばれます。",,
tut.bodyparts.step5_3,"<b>レプリケーター</b>を使用するには、まず<b>制御コア</b>や<b>脳</b>を体から取り外す必要があります。",,
tut.bodyparts.step5_4,<b>制御コア</b>を取り外すには、この<b>組立ハブ</b>を使用します。,,
tut.bodyparts.step5_5,<b>制御コアの取り外し</b>作業が現在<b>進行中</b>です。<b>脳</b>を取り外す指示も進めましょう。,,
tut.bodyparts.step5_6,有機的な臓器は<b>手術室</b>で<b>摘出</b>することができます。,,
tut.bodyparts.step5_7,<b>身体パーツ</b>が<b>取り外される</b>のを待ちましょう。,,
tut.bodyparts.step6.title,ドローンの蘇生,,
tut.bodyparts.step6_1,必要な<b>身体パーツ</b>を取り外しました。これらを<b>レプリケーター</b>に入れて、<b>精神移植</b>を開始しましょう。,,
tut.bodyparts.step6_2,<b>入力</b>側で、<b>友好的な人間の脳</b>を選択してください。,,
tut.bodyparts.step6_3,<b>出力</b>側には、<b>敵対的な制御コア</b>を選択してください。,,
tut.bodyparts.step6_4,<b>レプリケーター</b>が<b>敵対的な制御コア</b>を上書きするのを待ちましょう,,
tut.bodyparts.step6_5,処理が<b>成功</b>です！ これで<b>友好的な制御コア</b>が手に入り、<b>死んでしまったドローン</b>を<b>復活</b>させることができます。,,
tut.bodyparts.step6_6,交換する<b>制御コア</b>を選択してください。,,
tut.bodyparts.step6_7,<b>交換作業</b>が完了するのを待ちましょう。,,
tut.bodyparts.step6_8,"<b>ドローン</b>が復活しました！ 他にも損傷した部品があるため、まだ{0}<b>無力化</b>されているかもしれません。しかし、すぐに<b>リペアステーション</b>で修理されるはずです。ドローンが完全に回復するまで待ちましょう。",,
tut.bodyparts.step6_9,<b>ドローン</b>が完全に修理されて作業の準備が整いました！,,
tut.bodyparts.outro,これで<b>身体パーツ</b>のチュートリアルは終了です。この知識を活用して、さまざまな身体パーツの<b>組み合わせ</b>や<b>精神移植</b>を<b>実験</b>してみましょう。<br><br>注意: <b>ジュネーブ条約</b>を遵守して<b>戦争犯罪</b>を犯さないようにしてくださいね。,,
objects.devices.memorymodulemini.desc,{0}エクサバイトのメモリ（RAM）だ。GPUと組み合わせることで、暗号通貨のマイニングに使用される。,2024-11-19,
combat.goal.attack.turret,タレットを攻撃,,
combat.objective.survive,生存,,
noun.leader,リーダー,,
noun.follower,追従者,,
noun.squad.role,チームの役割,,
tut.close.panel.to.continue,続行するには、強調表示されているパネルを閉じてください。{0}でも閉じることができます。,,
tut.combat.title,戦闘と戦術,,
tut.combat.desc,このチュートリアルでお伝えするのは、どうやって<b>自分の船を守るか</b>と<b>襲撃者たち</b>や<b>敵対的な生物</b>へ対抗する手段です。,,
tut.combat.outro,<b>戦闘と戦術</b>のチュートリアルを完了しました。学んだテクニックは、あなたの船を守り、味方の犠牲を最小限に抑えるのに役立つでしょう。,,
tut.combat.step1.title,防衛手段,,
tut.combat.step1_1,利用可能な<b>防衛手段</b>を用意することは、あらゆる戦いで<b>勝利を達成する</b>ための最初で最も重要なステップです。,,
tut.combat.step1_1_2,<b>リペアステーション</b>は、<b>損傷したロボット</b>を<b>修理する</b>ために不可欠です。,,
tut.combat.step1_2,"<b>ドア</b>は<b>ロック</b>することで侵入を遮断できます。<b>ドアの通行権限制御</b>を研究すると、<b>ロックされていない</b>ドアでも、特別に設定しない限り<b>敵</b>の侵入を防ぐことができます。<br><br><b>ドアの通行権限</b>は、特定の<b>味方の存在</b>に対して<b>アクセス拒否</b>を設定することも可能です。",,
tut.combat.step1_2_2,ロボットの<b>ドッキングベイ</b>は、特定の<b>ロボット生命体</b>に割り当てることができます。進行中の作業タスクがない場合、ドッキングベイで<b>待機</b>して<b>充電</b>します。<br><br><b>戦略的な場所</b>に<b>ドッキングベイ</b>を配置することで、向かってくる<b>襲撃者</b>に対する最速での対応が可能になります。,,
tut.combat.step1_3,"<b>非常サイレン</b>は<b>有機生命体の入植者たち</b>を安全地帯に呼び寄せることができます。サイレンは<b>自動</b>または<b>手動で</b>作動させることができます。<br><br>サイレンが鳴っていると入植者たちは不快に感じるので、安全が確保されたら忘れずに<b>オフ</b>にしましょう。",,
tut.combat.step1_4,"<b>小型タレット</b>を戦略的に配置し、<b>重要なエリア</b>や<b>出入口</b>を守りましょう。<br><br><b>船体健全性</b>を損なわないことからも、これらのタレットは特に強力ではないものの高い効果を発揮します。",,
tut.combat.step1_5,"<b>放水銃</b>は、ほとんどすべての種類の<b>液体</b>を装填できます。<b>水</b>を装填すると<b>敵</b>に<b>軽いダメージ</b>を与えるだけでなく<b>火災を消火する</b>効果もあります。<br><br><b>原油</b>や<b>精製オイル</b>を装填すると<b>放水銃</b>は<b>焼夷弾</b>を発射し、命中時に<b>火をつける</b>効果があります。<b>酸素</b>のない船外で使用する方が安全です。",,
tut.combat.step1_6,<b>トラップ埋設床</b>は、<b>接地している敵</b>が通過しようとしたら串刺しにします。,,
tut.combat.step1_7,"通常の場合、<b>床面通気口</b>はエリアを冷却したりするために開けるものかもしれませんが、もし<b>接地している敵</b>がその上にいたら<b>宇宙に放り出されます</b>。",,
tut.combat.step1_9,"これは<b>トラクタービーム ターゲットマーカー</b>です。<b>居住区</b>から離れた<b>船外</b>に配置するのが最善でしょう。",,
tut.combat.step2.title,戦闘時の対応,,
tut.combat.step2_1,"それぞれの<b>友好的な生命体</b>は、次のいずれかの<b>戦闘対応</b>をします：<br> - <b>気の向くまま</b>: その生命体は<b>状況</b>における<b>最適な判断</b>をしようとします。<br> - <b>戦闘</b>: その生命体は積極的に<b>敵</b>を探し、<b>戦闘</b>を挑みます。<br> - <b>逃走</b>: その生命体は<b>敵</b>から<b>逃げる</b>ことを試みます。<br> - <b>無視</b>: その生命体は<b>コロニーの作業タスク</b>や個人的な<b>欲求</b>に没頭し、<b>危害が及ぶ</b>か<b>直接指示</b>されない限り、敵を無視します。",,
tut.combat.step2_2,十分な<b>AI信頼度</b>があれば、任意の<b>友好的な生命体</b>の<b>戦闘対応</b>を指定できます。,,
tut.combat.step3_1,特定の戦闘状況下では、ユニットを<b>直接指示</b>したくなるかもしれません。早速ですが、このロボットを操作をしてみましょう。,,
tut.combat.step3_2,<b>直接指示</b>下にあるユニットは<b>その場にとどまり</b>、<b>射程内の敵を攻撃</b>します。{0}で<b>選択したユニット</b>を<b>移動</b>させましょう。続行するには、<b>強調表示された場所</b>までロボットを移動させましょう,,{0} will be replaced with an image of a mouse button
tut.combat.step3_3,続行するには、<b>ロボット</b>を<b>直接指示</b>を<b>解除</b>してください。,,
tut.combat.step4.title,複数のユニットの操作,,
tut.combat.step4_1,画面右上の<b>グループ ウィジェット</b>を使用することで、<b>複数のユニット</b>を<b>選択</b>して<b>操作の切り替え</b>を行うことができます。,,
tut.combat.step4_2,{0}で<b>{1}</b>のグループを展開しましょう。,,{0} will be replaced with an image of a mouse button
tut.combat.step4_3,"{0}をクリックして指定可能なすべての作業ロボットを<b>操作</b>し、次に{1}をクリックしてそれらを<b>選択</b>しましょう。",,"{0} is ""control"" translation, {1} is ""select"" translation, both are button labels"
tut.combat.step4_3_2,{0}で<b>グループウィジェット</b>を閉じてください。,,{0} will be replaced with an image of a button
tut.combat.step4_4,続行するには、{0}で<b>選択したユニット</b>を<b>強調表示された位置</b>に移動させましょう。,,{0} will be replaced with an image of a mouse button
tut.combat.step4_5,強調表示された<b>敵</b>を{0}でクリックし、<b>選択したユニット</b>に<b>攻撃</b>を指示しましょう。,,{0} will be replaced with an image of a mouse button
tut.combat.step4_6,続行するには、<b>戦闘指示</b>オーバーレイを開いてください。,,
tut.combat.step4_6_2,"<b>戦闘指示</b>オーバーレイを使用し、ユニットを切り替えたり、直接指示に切り替えたり、戦闘対応を変更したりできます。",,
tut.combat.step4_7,それでは<b>ドアを開放</b>し、ユニットを<b>手動で配置</b>するか、<b>直接指示を解除</b>して敵に<b>自動的に対応</b>させてみましょう。,,
tut.combat.step4_8,続けるには、<b>クロウラー</b>を<b>倒し</b>ましょう。,,
tut.combat.step5_1,"最後のテストとして、あなたの船に<b>突入カプセル</b>を発進させました。<br><br><b>攻撃に備え</b>、<b>襲撃者を撃退</b>し、チュートリアルを完了させましょう。",,
traded.item.too.hot,最近購入したアイテムです。そのため、価格が上昇しています。,,
traded.item.too.cold,最近売却したアイテムです。そのため、価格が下落しています。,,
codex.m.basebuilding.relocatingobjects.desc,"デバイスを別の場所に移設したい場合がよくあります。デバイスを選択し、情報パネルまたはコンテキストメニューから「移設」の項目を選択してください。デバイスの選択中にショートカット {0} を使うこともできます。<br><br>デバイスの元の位置と一部が重なる場所にも移設できます。これは向きを回転させたい場合に便利です。<br><br>複数のオブジェクトを選択した場合、それらをまとめて移設することもできます。",2024-11-22,Last changed removed a paragraph about skill checks.
codex.m.basebuilding.teleporters.desc,"<b>テレポーター</b>は、他のテレポーターへの一方通行の経路を作成できます。<br><br>2つのテレポーターを相互に接続すると双方向の経路を作成することもできます。複数のテレポーターが同じ接続先を持つこともできます。<br><br>テレポーターの消費電力は、有効な接続数に応じて指数関数的に大きく増加します。<br><br><b>警告:</b> テレポーターは経路探索アルゴリズムに対して非常に大きな負荷があり、パフォーマンスへの影響があります。",2024-11-22,Last change removed a paragraph about trade and added a warning about performance.
codex.m.bigquestions.gameover.desc,最後の船のコンピュータが破壊されるとゲームは終了します。,2024-11-22,Last change removed everything after the first sentence.
codex.m.colonists.breakdowns.desc,"入植者の<b>気分</b>がひどい状態に陥ると、<b>精神崩壊</b>が発生することがあります。入植者は錯乱状態になりますが、しばらくすると気分は回復して正常に戻ります。<br><br>稀に精神崩壊はあなたのコロニーに深刻な被害をもたらすことがあります。入植者の<b>気分</b>に注意して、精神崩壊を避けるために彼らを幸福に保つようにしてください。<br><br>入植者の気分に影響を与える要素は、情報パネルの<b>気分</b>セクションを展開することで確認できます。",2024-11-22,Last change replaced Mood with Sanity and added a paragraph about examining sanity factors
codex.m.electricity.managingunreachabledevices.desc,"原則として、<b>船のコンピュータ</b>と同じパワーグリッド上にない機器は制御できません。ただし、ロボット作業員に指示して<b>一時的な接続</b>を確立するよう命じることができます。作業ユニットが接続されている間、デバイスは完全に制御可能になります。また作業ユニットはデバイスが必要とする少量の<b>電力</b>と<b>CPU</b>を供給します。<br><br>一時的な接続を指示するには、グリッド外のデバイスを選択し、情報パネルまたはコンテキストメニューの<b>電力ノード到達不可</b>警告の横にある<b>管理</b>ボタンを選択します。一時的な接続が確立されると、イベントパネルに通知が表示されます。<br><br>一時的な接続を終了するには、<b>解除</b>ボタンをクリックします。",2024-11-22,
codex.m.environment.fire.desc,"高レベルの<b>熱</b>と<b>酸素</b>と組み合わされると、一部のオブジェクトが発火する可能性があります。<br><br><b>放水銃</b>を建造して<b>水</b>を装填しておくことで、自動的に消火することができます。<br><br>近くのすべての<b>酸素ポンプ</b>をオフにし、<b>通気口</b>を解放し、床タイルを分解することは、火災を消火する際に有効です。<br><br>火災には<b>化学的な</b>ものも存在し、酸素がなくても長時間燃え続けることができるため、さらに危険です。<br><br>火災が発生しないように、""温度"" オーバーレイ (<b>{0}</b>) に気を配りましょう。",2024-11-22,
codex.m.environment.islands.desc,"<b>セクション</b>は、あなたの船の完全に独立している個々のパーツを示しています。船が<b>航行可能</b>であるためには、すべてのセクションが１つに統合されていなければなりません。<br><br>複数のセクションを<b>床面</b>または骨組みでつないで、１つの大きなセクションに統合することができます。<br><br>一方で、<b>ウインチフック</b>と<b>ウインチアンカー</b>、または<b>精密スラスター</b>を使用して船のセクションを移動させることもできます。<br><br>セクションは<b>解体</b>して素材を回収したり、<b>放棄</b>したり、<b>宇宙港</b>で<b>売却</b>することもできます。<br><br>詳しくは、<b>{0}</b>オーバーレイで確認してください。",2024-11-22,Last change removed statement that small sections are ignored
codex.m.resources.miningplanets.desc,"資源を獲得する効率的な方法の一つは、<b>採掘探査</b>です。<b>宇宙航行</b>が出来るようになったら<b>{0}</b>オーバーレイを使って<b>資源鉱床</b>を探し、その後<b>{1}</b>オーバーレイを使用して<b>探査へ発進</b>します。<br><br><b>レーダー</b>は近くの資源鉱床を<b>検出</b>するのに非常に便利で、周囲の特定の資源タイプを<b>スキャン</b>することができます。<br><br><b>輸送機</b>や<b>自動採集プラットフォーム</b>を使うことで、採掘作業を<b>自動化</b>することができます。",2024-11-22,
codex.m.spacetravel.enginetypes.desc,"それぞれの<b>エンジン</b>によって用途が異なります。<b>スラスター</b>は現在の<b>セクター</b>内での移動を可能に。<b>核融合エンジン</b>は隣接する<b>セクター</b>への<b>短距離ハイパージャンプ</b>を可能に。隣接する<b>宙域</b>間の<b>長距離ハイパージャンプ</b>には<b>FTLドライブ</b>が必要です。<br><br>正確にはエンジンではありませんが、<b>ヴォイドリッパー</b>はすべての銀河の中心にある<b>ブラックホール</b>を通り抜けることができます。<br><br><b>精密スラスター</b>は、ローカルマップ内の船のセクションを移動するためだけに制限されており、<b>難破船</b>への接近や、<b>小惑星</b>を回避するのに有用です。<br><br>使用可能なエンジンや船の航行能力を確認するには、<b>{0}</b>オーバーレイを確認してください。",2024-11-22,
input.ToggleDirectControl,ショートカット: 直接指示の切り替え,,
codex.m.whattodo.quests.desc,<b>{0}</b>オーバーレイで進行可能なクエストを確認しましょう。クエストが完了すると次のクエストがアンロックされます。,,
goal.ConnectStasis,コールドスリープへの接続,,
goal.ConnectStasis.desc,<b>未接続のコールドスリープ</b>が少なくとも1つはあるはずです。<b>コールドスリープ</b>を接続して<b>冷凍睡眠システムの安定度</b>を保つようにしてください。<b>凍睡眠システムの安定度</b>が低いと、中に収容されている入植者たちに有害となる影響があるかもしれません。,,
tut.basic.controls.step.overlay.tasks,"<b>作業一覧</b>オーバーレイは、現在の作業タスクの割り当て状況を表示します。保留中、進行中、または失敗したタスクをの確認や調整ができます。",2024-11-23,
tut.basic.controls.1.title,基本操作,,
tut.basic.controls.1.desc,このチュートリアルでは、Stardeusで表示されるユーザーインターフェース(UI)の基本を紹介します。,,
tut.basic.controls.2.title,ツールメニューの操作,,
tut.basic.controls.2.desc,このチュートリアルではゲームをプレイする上で不可欠なツールのいくつかの使用方法を解説します。,,
tut.basic.controls.3.title,UIオーバーレイの見かた,,
tut.basic.controls.3.desc,"このチュートリアルでは、あらゆるオーバーレイ表示の使い方を解説します。それぞれのオーバーレイにはツールチップ（マウスでカーソルをあわせたときに表示されるヒント）があるため、このチュートリアルは必須ではありません。",,
compatible.body.sizes,適合する体のサイズ,,
body.size.Small,小,,
body.size.Medium,中,,
body.size.Large,大,,
noun.body.size,サイズ,,
body.part.species.compatibility,適合する種族,,
species.type.biological,有機生命体,,
species.type.robotic,ロボット生命体,,
noun.mind,気分,,
objects.devices.nanobothive,ナノボットハイヴ,,
objects.devices.nanobothive.desc,ナノボットの群体が収容されるハイヴだ。ハイヴから一定範囲内であればナノボットが単純な作業を実行できる,,
obj.materials.nanobots,ナノボット,,
obj.materials.nanobots.desc,ミクロサイズのロボットの群体だ。分子レベルや細胞レベルで精密作業を行うよう設計されている,,
nanobot.compatible,ナノボット対応可,,for labeling tasks that can be performed by nanobots
nanobot.reachable,ナノボット到達可能,,for labeling tasks that are reserved for nanobots
nanobot.unreachable,ナノボット到達不能,,
cant.heal,回復不能,,for labeling wounds that cannot heal
gameplay.short.stat,現実での日時: {0}<br>セッション経過時間: {1}<br>セーブデータ: {2}<br>ゲーム内の経過時間: {3}<br><br>適度に休憩をとりましょう！,2024-11-30,last change removed color tags
tut.production.last.msg,チュートリアルが終了したら反応炉の建造を完了できます。,,
input.ToggleHyperspace,ハイパースペース進入/脱出,,
hyperjump.cancelled,ハイパージャンプ中止,,
