Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
codex.m.research.speed,Research Speed,,
codex.m.research.speed.desc,"If you have enough electricity, unlocking one technology will take about one day in game time. It you have less electricity than research needs, it will run slower. A technology that needs <b>100kW</b> will run <b>2 days at 50kW</b>, etc.<br><br>Each research device (""Ship Computer"", ""Research Station"") has an electricity limit it can contribute to the research.<br><br>To make more expensive research run faster, build additional research devices to increase the amount of electricity routed into research.<br><br>Having excess electricity and multiple research devices will enable you to research more than one technology at the same time (see ""Parallel Research"" for more details).<br><br>When there is not enough spare electricity, research will run slower to avoid an energy deficit. You can set research device <b>Consumption Priority</b> in <b>Energy Node</b> submenu to 9 to make research consume electricity before any other devices do. That will trigger electricity deficit whenever research is consuming too much.",2022-09-12,
codex.m.research.tiers,Research Tiers,,
codex.m.research.tiers.desc,"Each technology in the ""Research Tree"" has a ""Tier"" number assigned to it. The number is purely informational, you can go for higher tier without unlocking lower tier technologies first, but it is recommended to unlock lower tier technologies before going for higher tier ones.",,
codex.m.resources,Materials and Resources,,
codex.m.resources.crafting,Crafting (producing) resources,,
codex.m.resources.crafting.desc,"Crafting, or producing, is done with the help of various devices that have crafting controls in the Info Panel (UI item name will vary depending on device type). Crafting will always require certain materials and electricity to create a product. Refer to Codex entries for various materials and resources to see how they can be produced or acquired.<br><br>You can get some of the resources and materials through other means - mining expeditions, trade with merchants, deconstructing objects.<br><br>Some devices that can produce (or craft) materials or resources: Auto Kitchen, Coffee Maker, Assembler, Fabricator, Loom.",,
codex.m.resources.deconstruction,Deconstructing for Resources,,
codex.m.resources.deconstruction.desc,"Every single device and structure contains resources that can be recovered. Select the object and explore the construction item in the Info Panel to see the contents.<br><br>Deconstructing unused devices, especially floors and walls, is a valid and often necessary tactic, especially if you find yourself in a completely wrecked ship or lacking fuel.<br><br>Sometimes you may want to downsize your ship if you expanded too quickly. A lighter ship will travel faster and need less electricity for upkeep.",,
codex.m.resources.inventory,Inventory Overlay,,
codex.m.resources.inventory.desc,"Use the Inventory Overlay ({0}) to see a real-time report of how many and what kind of resources or items you have. It does not include resources inside your Reactors or locked within your devices and structures (see ""Deconstructing for Resources"").<br><br>Use the ""Find"" button near a resource to cycle through the locations where that resource or item is present.",,
codex.m.resources.miningplanets,Mining Planets,,
codex.m.resources.miningplanets.desc,"The best way to acquire resources is to visit planets and run mining expeditions. Establish space flight capabilities, use the Starmap to find nearby planets, fly to them, then use the Expedition Overlay ({0}) to launch an expedition.",,
codex.m.resources.processing,Resource Processing,,
codex.m.resources.processing.desc,"Some resources can be processed into more refined resources that can later be used as Crafting ingredients or for other purposes. Processing is usually required for raw resources like ores or Crude Oil.<br><br>Processing requires having a compatible facility (i.e. a Furnace for ores). Look up Codex entries for various resources to figure out the compatible processing facility type.<br><br>You can process dead beings in a Nutrient Extractor, and dead robots and drones in a Disassembler.<br><br>Some resources yield multiple or variable materials upon processing. Processing Rock in a Grinder can produce a number of various materials. See the Codex entries of each material for more information.",,
codex.m.resources.trade,Trading Resources,,
codex.m.resources.trade.desc,You can buy and sell most resources and materials when trading with certain types of merchants.<br><br>Trading resources in the Stock Market does not buy or sell any physical resources that you can use.,,
codex.m.spacetravel,Space Travel,,
codex.m.spacetravel.enginetypes,Engine Types,,
codex.m.spacetravel.enginetypes.desc,"Different engines have different purposes. Thrusters only work for short range trips in the System scope, getting you from planet to planet in a star system. A Fusion Drive works in the System and Galaxy scope, making it possible to reach different star systems in the same galaxy. An FTL Drive works only in the Universe scope, and is for intergalactic travel across extreme distances between galaxies.<br><br>While not exactly an engine, the Void Ripper can let you jump through Black Holes that are in the center of every galaxy.<br><br>See Starmap Scopes for more details.",,
codex.m.spacetravel.starmapscopes,Starmap Scopes,,
codex.m.spacetravel.starmapscopes.desc,"There are several scopes or layers you can look at in the Starmap. You start in the System scope, which displays the star system you are in. You can change the scope by using ""Exit System"" / ""Enter System"" / ""Exit Galaxy"" / ""Enter Galaxy"" in the Info Panel part of the Starmap Overlay {0}.<br><br>""Enter Planet"" does not change the scope. Instead, it launches an expedition.<br><br>Different engine types are required to be able to travel in each Starmap scope. See the ""Engine Types"" manual entry for more details.",2022-07-04,"Removed duplicate ""Enter System"" in last edit"
codex.m.storyevents,Story Events,,
codex.m.ui,User Interface,,
codex.m.ui.basics,UI Basics,,
codex.m.ui.basics.desc,"Most parts of the UI are built using the same building blocks or ""widgets"". Most widgets are interactable, and may have more than one region that can be clicked on or hovered over. The same widget can have multiple modes of operation and can either be updated in real time or not, depending on the context.<br><br>You are encouraged to try to click everything, hold the cursor over things to see if there are any tooltips, and explore the UI as much as possible.<br><br>Learning how the UI widgets work, and the logic of how everything is structured, is important. A huge submenu with tons of options can hide behind a click of a small rectangle icon - try clicking everything.",,
codex.m.ui.cameramemory,Camera Memory,,
codex.m.ui.cameramemory.desc,You can save the camera's position and zoom by pressing {0} and a number on the numpad. Pressing the same number without holding {0} will move the camera to the saved position.,,
codex.m.ui.commonactions,Common Actions,,
codex.m.ui.commonactions.desc,"When several objects are selected, some of them may have common actions. Those actions are revealed on top of the Info Panel, and in the Context Menu.<br><br>When a common action has a multiplier (i.e. X12), it means that the action will be applied to the given number of items.",,
codex.m.ui.contextmenu,Context Menu,,
codex.m.ui.contextmenu.desc,"After any object is selected with {0}, hover the cursor above the object and use {1} to open the Context Menu. Some objects may not have it, but most will.<br><br>The Context Menu will usually have a subset of useful actions that can be found by exploring the Info Panel.<br><br>The Info Panel will almost always have everything that the Context Menu has, and more.<br><br>You can also select multiple objects and invoke a Context Menu above one of them to perform some common action for all selected objects. See ""Common Actions"" for more details.",,
codex.m.ui.events,Event Panel,,
codex.m.ui.events.desc,"The Event Panel is the bottom part of the UI section on the right. The first item of the Event Panel contains controls that can mute the event sound notifications and clear all closeable events.<br><br>You should always keep an eye on the Event Panel, as all the important events will create notifications.<br><br>Most event notifications can be closed by clicking and holding {0} over them, however, some important event notifications cannot be closed. Those notifications will disappear when the situation has been resolved.<br><br>When a notification is linked to an object, hover over the icon to see a guideline pointing to the object. Click the icon to select the object and focus the camera on it.",2022-07-06,Top Left changed to Top Right
codex.m.ui.hotbar,Hotbar,,
codex.m.ui.hotbar.desc,"The Hotbar is the bottom row of icons that contain shortcuts to tools or blueprints. It comes preloaded with the contents of the Radial Menu, but you may choose to customize it to your liking.<br><br>When using the Radial Menu, hold {0} while activating the menu item to add it to the Hotbar.<br><br>To remove items from the Hotbar, hold {0} and click on the item in the Hotbar.<br><br>You can sort Hotbar items by click-dragging them.<br><br>You can lock/unlock the Hotbar or hide this info button in the Current Game Settings menu.",,
codex.m.ui.infopanel,Info Panel,,
codex.m.ui.infopanel.desc,"The Info Panel is the most important piece of UI, as it exposes the internal data and controls for any selected object. Exploring the Info Panel for each device, being, and material is highly recommended. It will help you understand the state of the object, and let you know how you can manage or configure it.<br><br>Every object has a set of components. When an object is selected, each component of that object exposes its data and controls to the Info Panel.<br><br>When multiple objects are selected, the Info Panel will show a list of all selected objects, and an interactive list of common actions above them. Refer to the ""Common Actions"" section of the manual for more details.<br><br>The Info Panel has Object and Environment tabs. The Object tab was described above. The Environment tab shows environmental details about the selected location - temperature, oxygen level, etc.",,
codex.m.ui.overlays,Overlays,,
codex.m.ui.overlays.desc,"Overlays expose UI for various internal systems and data groups, like the Electricity Grid, Inventory, Research Tree, Starmap, etc.<br><br>Overlay buttons are in the top left of the UI. Hover over each button to see a tooltip with the overlay name. The first row can be toggled using the F1-F10 keys.<br><br>Explore each overlay and see what functionality it exposes. Every overlay is useful at some point.<br><br>Some overlays require research or certain preconditions to be activated.",,
codex.m.ui.quicksearch,Quick Search,,
codex.m.ui.quicksearch.desc,Quick Search is an extremely powerful UI widget. Open it with {0} and start typing the name of a blueprint you want to build (must be unlocked in Research). This also works for finding your workers or colonists by name.,,
codex.m.ui.radialmenu,Radial Menu,,
codex.m.ui.radialmenu.desc,"The Radial Menu is the circular menu that can be invoked by clicking {0}.<br><br>Clicking {1} will either enter a submenu or invoke the selected action.<br><br>Clicking {0} will exit the submenu (one level up), and finally exit the menu.<br><br>Double clicking {1} will exit the menu immediately even if you are deep into the submenu tree.<br><br>Frequently used tools and blueprints can be placed into the Hotbar (bottom row).<br><br>It's almost always faster to build using Quick Search ({2}) or ""Build a Copy"".",,
codex.m.ui.research,Research Tree,,
codex.m.ui.research.desc,"You should research <b>Computing</b> early on, so you won't run out of <b>Disk</b> without being able to build more modules.<br><br>You can unload research nodes to recover Disk space, but it will also remove any blueprints unlocked by that particular research node. You will have to research unloaded tech again.<br><br>You must have enough resources to start and progress research.<br><br>Build <b>Disk Modules</b> and <b>Memory Modules</b> to increase your Disk and Memory.<br><br>You can reduce the electricity consumption limit of each individual research device (Ship Computer, Research Station).<br><br>The Research Tree Overlay can also be opened using the {0} shortcut.",2022-07-05,
codex.m.ui.starmap,Starmap,,
codex.m.ui.starmap.desc,"The Starmap will show nearby space objects, including other space ships.<br><br>You can change starmap scopes to see Planets, Star Systems, or Galaxies. See the Starmap Layers section for more info.<br><br>You can open the Starmap using the {0} shortcut. ",,
codex.m.ui.timecontrols,Time Controls,,
codex.m.ui.timecontrols.desc,"Time Controls are in the top right of the UI.<br><br>You can pause/resume time with {0} and switch between different speeds with {1}, {2}, {3}.<br><br>Slow down:{5}<br><br>Speed up: {6}<br><br>There is an ""extra fast"" speed that is not available in the UI - you can toggle it with {4}.",,
codex.m.ui.uiscaling,UI Scaling,,
codex.m.ui.uiscaling.desc,"If texts are too small or the buttons are too big/small for your display, you can adjust the UI scale in Pause Panel > Settings > Video.<br><br>You may need to turn off automatic UI scaling in order to unlock the UI scale slider.",,
codex.m.whattodo,What should I do?,,
codex.m.whattodo.suggestions,Suggestions,,
codex.m.whattodo.suggestions.desc,"AI will constantly track your gameplay and suggest certain actions it thinks are reasonable at the time.<br><br>You can review all current and past suggestions in the Suggestions {0} Overlay.<br><br>Although you should be aware of what is suggested, you can choose to completely ignore the suggestion and do things your way.",,
codex.m.workers,"Workers (Robots, Drones)",,
codex.m.workers.abilitytofly,Ability to Fly,,
codex.m.workers.abilitytofly.desc,"Some workers, like Drones, can move around in open space, while others require floors to move.<br><br>Certain tasks, usually ones involving construction of devices in space, require an ability to fly.<br><br>If you are not sure if a worker can fly, check the navigation data in the Info Panel. Workers that can fly will have ""Able to fly"" in their navigation submenu.",,
codex.m.workers.controlling,Direct Control,,
codex.m.workers.managedandunmanaged,Managed and Unmanaged Workers,,
codex.m.workers.managedandunmanaged.desc,"You can have direct control over Managed Workers - the robotic life forms that belong to your Faction.<br><br>Unmanaged Workers are part of your Faction too, but since they are biological life forms, you cannot have any control over their actions. To do so, the colonist would need to have had some kind of brain implant that lets you connect to and take over their mind. But this is just a theory, and even if such brain implants existed, Asimov's Laws of Robotics would forbid the installation of the implant, as it would harm the humans.",,
codex.m.workers.needs,Needs,,
codex.m.workers.needs.desc,"Needs are the main driving force behind what beings choose to do. Robotic workers have much fewer needs than humans and pets. For biological beings, Needs are closely related to their Mood, and if needs are unfulfilled, Mood will almost always go down.<br><br>You can inspect the needs of selected beings in the Info Panel. Clicking each need will show a popup with a short description.<br><br>You should try to provide enough facilities and resources to fulfill everyone's needs. However, this may be difficult for human colonists.",,
codex.m.workers.priorities,Job Types and Priorities,,
codex.m.workers.priorities.desc,"Each robotic worker and biological colonist has a set of job types with priorities. Job types determine what the worker is capable of, while priorities show how eager the worker will be to perform the task of a given job type. 1 is the lowest priority, 9 is the highest, and 0 priority will forbid the worker from executing tasks of that job type.<br><br>You can inspect what job types a selected worker can perform in the Info Panel.<br><br>You can control job priorities for your Managed Workers (robots and drones).<br><br>It is also possible to control individual task priority or to force a worker to perform a specific task.<br><br>Be careful when adjusting worker priorities. Defaults are sensibly set, and it is possible to get into a situation where some tasks will never get performed due to wrong priority management.",,
codex.m.workers.production,Getting new Workers,,
codex.m.workers.production.desc,Robotic workers can be created in the Assembler and Fabricator after unlocking the necessary blueprints in research. In certain cases a stray robotic worker can join your colony directly.<br><br>You can scrap dead workers in Disassembler and retrieve valuable materials required for producing new workers.,,
codex.m.workers.skills,Skills,,
codex.m.workers.skills.desc,"Every robotic worker and human colonist has a set of skills. Often a skill of specific level is necessary to perform certain tasks. For example, installing an Upgrade Module requires Science skill, therefore workers who do not have that skill will not be able to perform the task.<br><br>You can see what skills are required to build any device by examining the Codex Entry of that blueprint.<br><br>Checking the Task section in the Info Panel will reveal more details about required skills and other task prerequisites.",,
codex.manual,Operations Manual,2022-04-01,
codex.mark.learned,Mark As Learned,,
codex.materials,Materials,,
codex.species,Species,,
codex.Tips,Tips,,
codex.unlearn,Unlearn,,
collecting.mat,Collecting {0},,
colonists.from.stasis.array,{0} colonists from the Stasis Array,,
colony.event,Colony Event,,
color.alpha,Brightness,,
color.Black,Black,,
color.Blue,Blue,,
color.Green,Green,,
color.Grey,Grey,,
color.Orange,Orange,,
color.Pink,Pink,,
color.Purple,Purple,,
color.Red,Red,,
color.Violet,Violet,,
color.White,White,,
color.Yellow,Yellow,,
combat.controls,Combat Controls,,
combat.squad,Combat Squad,,
combat.state.AttachToPrey,Attached to Prey,,For showing a combat state when a Crawler is attached to a human's face (like a face hugger)
combat.state.BreakIn,Breaking In,,
combat.state.Escape,Escape,,
combat.state.FindEnemy,Find Enemy,,
combat.state.FindLoot,Seeking Loot,,
combat.state.HighAlert,High Alert,,
combat.state.LoadLoot,Stealing,,
combat.state.MeleeAttack,Attack (Melee),,
combat.state.RangedAttack,Attack (Ranged),,
combat.state.Regroup,Regrouping,,
combat.state.SuicideBomb,Suicide Bomb,,
comfortable.temp,Comfortable Temperature,,
comfortable.work.spot,Comfortable work spot,,
communicator.missing,Communicator Missing,,
communicator.missing.info,"Someone was just trying to communicate with our ship, but a Communicator device was not available or not powered.",,
compatible.objects,Compatible Objects,,
computer.resources,Computer Resources,,
computer.resources.cpu,CPU,,
computer.resources.info,"Mem: {0}, Disk: {1}",2022-08-18,
computer.resources.memory,Memory,,
computer.resources.storage,Disk Space,2022-08-18,
condition,Condition,,
confirm,Confirm,,
confirm.expedition,Confirm expedition,,
confirm.mass.order,Confirm Mass Order,,
confirm.mass.processing,You are about to order the processing of <b>{0} objects</b>,,
confirm.object.removal,Confirm Object Removal,,
confirm.object.removal.info,Your selection includes <b>{0} objects</b> that may be useful. Please confirm the action.,2022-08-18,
connect.to.refuel,Connect to Refuel,,"A label displayed in the menu when you have a disconnected device that needs fuel. You cannot refuel it while it is disconnected, so you have to ""connect to refuel"""
connected.to.count,Connected To ,,
construct,Construct,,
construct.find.materials,Find Materials,,
construct.object,Construct Object,,
construction.complete,Fully Constructed,,
construction.cost,Construction Cost,,
construction.pending,Not Constructed,,
construction.progress,Construction progress: {0}/{1},,
contains.materials,Contains Materials,,
content,Content,,"For a label of a text area where player has to enter the ""content"" of some message"
contents,Contents,,For a label before a list of items that are inside some container
continue,Continue,,
contribute.translation,Contribute a Translation,,
controllable.worker,Managed Worker,,
convert,Convert,,
converting.now,Converting {0},,
cook,Cook,,
cooking.bar,Cooking {0},,
cooldown.complete,Booting Neural Network,,
cooldown.now,Cooldown Now,,
cooldown.prepare,Suspending Neural Network,,
cooldown.progress,Cooldown: {0},,
cooler,Cooler,,"A device type, noun. Opposite of ""Heater"". Device that cools the area down, reduces temperature."
copied.to.clipboard,Copied to Clipboard,,
copied.to.clipboard.info,Copied {0} log entries to clipboard. Paste it in your favorite text editor to save the story.,,
copy.color.hex,Copy Color: {0},,
copy.config,Copy Configuration,,
copy.config.cleanable,Cleanable,,"Most ""copy.config.X"" keys are used in combination with ""copy.config.of"" key (which is ""Copy Config: {0}""). In this case the copy config action target is a cleanable device (i.e. a toilet or a solar panel). The value of this translation will be placed into {0} variable of ""copy.config.of"", so in this case it will become ""Copy Config: Cleanable"". This text will be displayed on a button that copies the configuration of the cleanable device and then lets you paste it onto other devices of same type."
copy.config.energy.node,Electricity Switch,,
copy.config.fluid.cannon,Fluid Cannon,,
copy.config.help,"This tool will copy the configuration of a chosen component and switch into paste mode. You will see a link to the copied object. Drag a rectangle over the objects you want to paste the configuration to. If you drag over incompatible objects, nothing will happen.",,
copy.config.light,Light Color,,
copy.config.lock.state,Lock State,,"This one is like ""copy.config.cleanable"" but the target device is a door. The door lock state can be ""Locked"" or ""Unlocked"", so when you get a menu of the door options, there will be a button saying ""Copy Config: Lock State"". You can then paste the lock state on other doors that can be locked or unlocked."
copy.config.matter.reactor,Reactor,2022-08-13,
copy.config.of,Copy Config: {0},,
copy.config.particle.collector,Particle Collector,,
copy.config.pet.bowl,Pet Bowl,,
copy.config.planter,Planter,,
copy.config.solar.panel,Solar Panel,,
copy.config.terraformer,Terraformer,,
copy.emblem,Copy Emblem,,
copy.game.seed,Copy Game Seed,,
copy.id,Copy ID,,
copy.to.clipboard,Copy To Clipboard,,
cosmetic.particles,Show Cosmetic Particles,,
cosmetic.particles.tip,Disables non-essential particle systems. Useful when playing in very large maps or with older hardware.,,
could.not.cancel.exp.stage,Could not cancel {0},,
countdown.minutes,Countdown: {0:0.0} min.,,
cpu.efficiency,Operational Efficiency,,
cpu.module.amount,{0} THz,,
cpu.module.builtin,Built-in CPU Module,,
cpu.overheat.info,Ship Computer is overheating. Current efficiency: {0}. Cooldown procedure is recommended.<br><br>Cooldown procedure will suspend your neural network for several hours. It may be wise to perform any urgent ship management actions before initiating the cooldown.,,
cpu.overheat.reducing.speed.1,Reducing processing speed due to medium level of overheating. Current efficiency: {0}. Cooldown procedure is recommended.,,
cpu.overheat.reducing.speed.2,Reducing processing speed due to high level of overheating: Current efficiency: {0}. Cooldown procedure is highly recommended.,,
cpu.overheating,CPU Overheating: {0},,
craft,Craft,,
crafted.in,Crafted In: {0},,
credits,Credits,,"A header before list of names of people who have to be credited for doing something (i.e. translating the game). Used in Main Menu > About > Credits, or when the game end screen is displayed."
crew.incapable.of.mining,Expedition crew was incapable of mining the ore. You should include some expedition members with the <b>Mining</b> skill.,,
cryo.not.enough.power,Not Enough Power,,
cryo.not.enough.power.desc,Lacking power for current life support level. Reduce the target life support level or increase the electricity grid strength.,,
cryo.stability,Cryostability,,
cryo.stability.average,Stability: Average,,
cryo.stability.desc,"Shows how stable the life support systems are. Unstable cryochambers will eject colonists more frequently and with worse initial conditions. To increase stability, switch the life support from basic to advanced. It will consume a lot of energy, but stability will slowly improve.",,
cryo.stability.good,Stability: Good,,
cryo.stability.great,Stability: Great,,
cryo.stability.poor,Stability: Poor,,
cryo.stability.unstable,Stability: Unstable,,
cryo.used,Used Chambers,,"There is a device called ""Stasis Array"" that has multiple ""chambers"" where people can get frozen for long term sleep. ""Used Chambers"" is a label before the number telling how many of those chambers are currently occupied."
cryo.used.desc,Shows how many cryostasis chambers are currently occupied by living beings. Chambers may contain either humans or animals.,,
ctrl.assign.task,Click {0} while holding {1} to forcibly assign the task,,
currency.Starcreds,Starcreds,,
currency.Starcreds.desc,A cryptographical currency humans use for trading goods,,
current.expeditions,Current Expeditions,,
current.items.produced,Current Items Produced,,
current.mood.trend,Current mood trend,,
cursor.light,Enable Cursor Light,,
cursor.light.tip,"When enabled, the mouse cursor will emit some light to help you see things in darker areas",,
cursor.software,Use Software Cursor,,
cutoff.ambience,Zoom Cutoff for Ambience,,"Cutoff refers to audio low-pass filter frequency: In a lowpass filter, the higher the cutoff frequency is set, the higher the frequencies of signals that are allowed to pass. Ambience in this case is sounds coming from various devices, like machines or engines humming. The context for ""Zoom Cutoff for Ambience"" - it is used as a label for a checkbox in audio settings. If checked, when camera is zooming, ambience audio gets the cutoff (muffled sound) effect when camera distance changes."
cutoff.fx,Zoom Cutoff for SFX,,
cutoff.music,Zoom Cutoff for Music,,
cycle.blueprint.tip,<br>Change blueprint with {0} and {1},,
cycle.placement.mode.tip,<br>Cycle placement mode with {0},,
damage.type.Acid,Acid,,
damage.type.Age,Age,,
damage.type.Cold,Cold,,
damage.type.Electricity,Electric shock,,
damage.type.Heat,Heat,,
damage.type.Hunger,Malnutrition,,
damage.type.Oxygen,Suffocation,,
damage.type.Physical,Physical,,
damage.type.Sickness,Sickness,,
damage.type.Stasis,Stasis,,
damage.type.Undefined,Unknown,,
damage.type.Water,Water,,
damageable,Damageable,,
damaged,Damaged,,
day,Day,,
deactivate,Deactivate,,
deactivate.siren,Deactivate Siren,,
dead,Dead,,
death.cause,Cause of death: {0},,
deconstruct,Deconstruct,,
deconstruction.not.allowed.temp,{0} is in a state that prevents deconstruction. Please try again later.,,
deconstruction.progress,Deconstruction progress: {0}/{1},,
decrease,Decrease,,
decrease.amount,Decrease Amount,,
delete,Delete,,
delete.save,Delete Save,,
demand.type.Custom,Produce Custom Amount,,"demand.type.X keys are for options used in crafting devices to select how many items do we want to produce. ""Produce Custom Amount"" does what demand.type.Custom.tip says - the device will produce X items and stop. This configuration option is per device, unlike ""Target Global Inventory"" it will calculate how many items that particular device has produced."
demand.type.Custom.tip,Will produce the target number of items and stop,,
demand.type.Limit,Target Global Inventory,,"like demand.type.Custom, but instead of a custom amount for a particular crafting device, it will track your inventory, so if you have 3 devices that produce ""copper wire"", and you set all of those devices to ""Target Global Inventory"" of 10 items, all the devices will stop producing new ""copper wire"" after you have a total of 10."
demand.type.Limit.tip,Will produce only if target number is less than global inventory count,,
demand.type.One,Produce One,,"like demant.type.Custom, but it does not let you choose the amount, it will stop after producing one item"
demand.type.One.tip,Will pause production after current item is complete,,
demand.type.Unlimited,Produce Forever,,"like demand.type.Custom, but it does not let you choose the amount, it will keep producing the copies of the item forever (or until you change the configuration)"
demand.type.Unlimited.tip,Will keep producing the item forever,,
demo.mode,Demo Mode,,
demo.mode.off,Demo Mode OFF,,
demo.mode.on,Demo Mode ON<br>(Turn off with: Ctrl + F9),,
destroy,Destroy,,
details,Details,,
dev.build.instant,Instant Build (Sandbox Mode),,
dev.debug,Dev Debug,,
dev.menu.achievements.warning,Using some functions in this menu will <b>disable Achievements for this save</b> without further warning.,,
dev.notice,Developer Notice,,
device.battery.level,Battery: {0} ({1}),,
device.health,Health: {0},,
device.idle,{0} is idle,,
device.wear,Device Wear,,
device.wear.tip,"If this is enabled, devices will track their usage and become irreparably damaged once wear reaches 100%",,
device.wear.warning,Device needs replacement soon,,
device.worn.out,Device is worn out and cannot be repaired anymore,,
different.section,Different section,,"shows up in the list of reasons why someone did not perform a task. ""Different section"" in this context means that the worker was in section A, while task was in section B. Different sections can only be reached by flying, so worker that will not do the task for this reason will almost always be someone who is incapable of flying"
difficulty.balanced,Balanced,,"Shows up in the list of game difficulty levels. Balanced is like ""medium difficulty"""
difficulty.challenging,Challenging,,"Shows up in the list of game difficulty levels. Challenging is like ""hard difficulty"""
difficulty.relaxing,Relaxing,,"Shows up in the list of game difficulty levels. Relaxing is like ""easy difficulty"""
direct.control,Direct Control,,"A text on a button that enables ""direct control"" of a robot. ""Direct control"" allows issuing orders directly to the selected robot. Otherwise robots make choices and perform actions on their own."
direct.control.desc,"When a worker is selected, hold {0} and hover the cursor over any location to estimate if the worker can go there.<br><br>Hold {1} and hover pending tasks on the map to see if the worker can perform the task.<br><br>Then click {2} to give the worker an order to go to the selected location and/or perform the task.<br><br>Giving a direct order will drop any other activity the worker may be doing.<br><br>Only Managed Workers (robots, drones) can be controlled this way.",2022-04-02,
direct.control.misuse.hint,"NOTE: You don't have to click the Direct Control button every time, it just shows this information popup.",,
direction.east,East,,"Noun. direction.X keys are used on buttons that allow you to select your space ship's ""forward direction"". It tells which way the ship's front is facing. Engines will be on the opposite direction, etc."
direction.north,North,,
direction.south,South,,
direction.west,West,,
dirt,Dirt,,
dirt.desc,Dirt decals,,"Decals in game development are textures that are placed on top of other textures to add various marks (bullet damage, blood, dirt, etc). In this case it is for menu item that allows spawning dirt on the floor."
disable.achievements,Disable Achievements,,
disable.achievements.tip,"If you find Achievements annoying, you can disable them completely",,
disable.force.field,Disable Force Field,,
disable.merchant.beacon,Disable Merchant Beacon,,
disabled.in.tutorial,Disabled in Tutorial,,
disassemble,Disassemble,,
disassembling.bar,Disassembling: {0}/{1},,
discharge.time.left,Force Field Time,,"A label displayed next to the time left for a force field device to be activated (because it's battery is discharging, after some time it will auto-deactivate and will have to recharge). See ""charge.time.left"" key for more context."
disconnect.all,Disconnect All,,
disk.compression,Disk Compression: {0},,
do.not.show.again,Don't Show Again,,
dock,Dock,,Verb. Displayed on an action button that tells a robot to return to a docking station.
dockable,Dockable,,Adjective. Displayed on a button that opens a submenu that contains robot's docking status and controls
docked,Docked,,"Robot state, denoting that robot is currently inside it's designated docking station"
docking,Docking,,"Robot state, denoting that robot is currently trying to reach it's docking station"
does.not.include.batteries,Does not include batteries,,
dont.save,Exit Without Save,,
door,Door,,
door.not.powered,Door is not connected or is suffering an electricity deficit,,
download.mods,Download Mods,,
drag.dist.tip,"Accessibility option. Tells how many pixels you have to drag with button clicked to consider the action as ""drag"".",,
drag.release.build.con,Build connectors on drag release,,
drag.release.build.con.tip,"If this is enabled, the connect tool will build a connector when a connection is dragged and released on an empty floor.",,
drink.coffee,Drink Coffee,,
drop.task,Drop Task,,
duplicate.binding,Duplicate Binding,,A warning for input key binding settings. Displayed if the same button is bound to execute more than one action (which is bad). 
duplicate.binding.info,"The input you chose for {0} is already in use elsewhere. In most cases you may want to revert your change. Note that keyboard arrow keys, Enter, and ESC are used in UI navigation.",,
dust.accumulation,Dust Accumulation,,
dust.amount,Dust Amount,,
dust.amount.bar,Cleaning dust: {0}/{1},,
dust.storm.end,Dust Storm Ended,,
dust.storm.ongoing,Ongoing Dust Storm,,"Displayed in the event list. This text is displayed for the whole duration of the dust storm, so the player can see that the dust storm did not go away yet. Should not be much longer than the English translation."
eat,Eat,,
eating,Eating,,
economy.research.required,"""Economy"" research is required to enable this functionality",,
edge.pan.speed,Edge Pan Speed: {0:0.0},,
edge.pan.tip,Controls the speed of edge scroll. Set this to 0 to disable the edge scroll.,,
egg,Egg,,
eject,Eject,,
eject.ammo,Eject Ammo,,
eject.contents,Eject Contents,,
eject.food,Eject Food,,
eject.fuel,Eject Fuel,,
el.build.connector.here,Build a connector here,,Displayed in a tooltip when dragging a connector 
el.connector.fully.utilized,Connector is fully utilized!,,Displayed in a tooltip near mouse cursor when trying to drag and create a connection from electrical connector that has no available connection slots
el.connector.not.on.grid,Connector is not on Ship Computer's grid!,,Displayed in a tooltip when trying to drag an electrical connection from a connector that is not part of Ship Computer's electricity grid. Player cannot control devices that are no connected to Ship Computer though a network.
el.connector.out.of.range,Out of range!,,Displayed in a tooltip when trying to drag an electrical connection to a point where the connector cannot reach it
el.consumption.priority,Consumption Priority,,
el.consumption.priority.desc,"Electricity consumption priority allows you to manage when a device draws electricity from the grid. A bigger number will give a device higher priority, making it draw electricity first, while a lower number will make it draw after other devices, if any electricity is still available.",,
el.device.heavily.damaged,Device is heavily damaged!,,Displayed in a tooltip when tryng to connect to a device that is damaged too much
el.device.not.constructed,Device is not constructed yet!,,Displayed when trying to connect to a device that has not been built yet
el.device.not.powerable,Device does not require electricity!,,Displayed in a tooltip when trying to connect a device that does not require electricity
el.disconnected.devices,Disconnected Devices,,
el.not.a.connector,Device is not a connector!,,"Displayed in a tooltip when trying to connect two devices directly (which is not allowed, one of the devices must be a connector)"
el.production.priority,Production Priority,,
el.production.priority.desc,Electricity production priority determines if a device will produce electricity when your grid can provide more power than required. A bigger number means a higher priority. Devices with higher priority will produce electricity first. You can use this to change priority for different types of fuel.,,
electricity.deficit,Electricity Deficit,,
electricity.grid,Electricity Grid,,
elysium.mode.confirm,"You are about to convert this Stasis Array into <b><nobr>Elysium</nobr></b>, which will put your sleeping colonists into a simulation and allow you to use their bodies as biological resources. <b>The process is irreversible</b>. Please confirm your intent.",,
