Key,Translation,Version,Comment (context for translators)
drag.release.build.con,Монтувати конектори перетягуванням,,
drag.release.build.con.tip,Якщо увімкнено - за допомогою інструмента Підключити можна наказати змонтувати конектор просто перетягуючи з'єднання до порожньої локації на підлозі.,,
drink.coffee,Випити Кави,,
drop.task,Відміна,,
duplicate.binding,Комбінація Дублюється,,A warning for input key binding settings. Displayed if the same button is bound to execute more than one action (which is bad). 
duplicate.binding.info,"Комбінація, яку ви обрали для {0} вже задіяна. Зазвичай, кращим рішенням буде відмінити таке призначення. Зауважте, що клавіші зі стрілками, Enter та ESC використовуються в навігації ІК.",,
dust.accumulation,Накопичення Пилу,,
dust.amount,Кількість Пилу,,
dust.amount.bar,Прибирання Пилу: {0}/{1},,
dust.storm.end,Пилова Буря Скінчилась,,
dust.storm.ongoing,Триває Пилова Буря,,"Displayed in the event list. This text is displayed for the whole duration of the dust storm, so the player can see that the dust storm did not go away yet. Should not be much longer than the English translation."
eat,Поїсти,,
eating,Їсть,,
economy.research.required,"Щоб скористатися цим функціоналом необхідно виконати дослідження ""Економіка""",,
edge.pan.speed,Швидкість Скроллінгу Екрана: {0:0.0},,
edge.pan.tip,"Встановлює швидкість, з якою скролиться екран коли курсор миші переміщено до краю екрана (Edge Scrolling). Якщо встановлено значення 0 то такий скроллінг буде відключено.",,
egg,Яйце,,
eject,Вивантажити,,
eject.ammo,Розрядити,,
eject.contents,Вивантажити Вміст,,
eject.food,Вивантажити Їжу,,
eject.fuel,Вивантажити Паливо,,
el.build.connector.here,Змонтувати тут Конектор,,Displayed in a tooltip when dragging a connector 
el.connector.fully.utilized,Конектор задіяно повністю!,,Displayed in a tooltip near mouse cursor when trying to drag and create a connection from electrical connector that has no available connection slots
el.connector.not.on.grid,Конектор не у одній Мережі із Корабельним Комп'ютером!,,Displayed in a tooltip when trying to drag an electrical connection from a connector that is not part of Ship Computer's electric grid. Player cannot control devices that are no connected to Ship Computer though a network.
el.connector.out.of.range,За межею!,,Displayed in a tooltip when trying to drag an electrical connection to a point where the connector cannot reach it
el.device.heavily.damaged,Пристрій сильно пошкоджено!,,Displayed in a tooltip when tryng to connect to a device that is damaged too much
el.device.not.constructed,Пристрій ще не змонтовано!,,Displayed when trying to connect to a device that has not been built yet
el.device.not.powerable,Пристрій не потребує електрики!,,Displayed in a tooltip when trying to connect a device that does not require electricity
el.disconnected.devices,Відключені Пристрої,,
el.not.a.connector,Пристрій не є Конектором!,,"Displayed in a tooltip when trying to connect two devices directly (which is not allowed, one of the devices must be a connector)"
electricity.deficit,Дефіцит Електрики,,
electricity.grid,Електрична Мережа,,
elysium.mode.confirm,"Ви збираєтесь виконати конвертацію Стазис-Масиву до <b><nobr>Елізіуму</nobr></b>. Після виконання операції колоністи, що перебувають у стазисі, будуть переміщені до симуляції, а їхні тіла можна буде використати як звичайний біологічний ресурс.<b>Проте слід пам'ятати що цей процес необоротний</b>. Будь ласка, підтвердіть свої наміри.",,
elysium.mode.unavailable,Режим Елізіуму недоступний. Спочатку потрібно дослідити та розблокувати технологію <b><nobr>Елізіум</nobr></b>.,,
emergency.recharge.bar,Екстрена перезарядка: {0},,
emergency.recharge.complete,Екстрену Перезарядку Завершено,,
emergency.recharge.end.help,"Батареї працівника було заряджено до 10% та він повернувся в онлайн. Такої кількості заряду скоріше за все не вистачить надовго - слід переконатися у наявності поблизу вільних та під'єднаних до мережі Зарядних Станцій, готових до використання. ",,
emergency.recharge.help,"Батареї працівника були повністю розряджені. Наразі виконується процедура Екстреної Перезарядки батарей - для цього задіяно вбудовану сонячну панель, а працівник відключений від Мережі, та зможе повернутися в онлайн після того як рівень Потреби у Електриці сягне 10%. Цей процес автоматичний, але доволі повільний.<br><br>Щоб уникнути виконання такої процедури ще раз - змонтуйте більше Зарядних Станцій, або підлаштуйте Робочі Пріоритети працівника.",,
emergency.recharge.info,Працівник не може бути увімкнений допоки активовано процедуру Екстреної Перезарядки. Працівник автоматично увімкне себе після того як за допомогою резервної сонячної панелі його батарея накопичить 10% від повного заряду.,,
emergency.recharge.start,Відключено - Екстрена Перезарядка,,
emergency.siren,Надзвичайна Сирена,,
emergency.siren.active,Надзвичайну Сирену активовано,,
emergency.siren.automatic,Автоматичний,,"A mode for the Emergency Siren device. When the mode is ""Automatic"", the siren will sound on it's own when emergency happens."
emergency.siren.automatic.info,"У автоматичному режим роботи Надзвичайна Сирена активується у разі настання будь-якого критичного стану. Це може бути наближення астероїдів, пожежа, та схожі явища катастрофічного характеру. Коли Сирену активовано - люди-колоністи намагатимуться дістатися до місця найближчого її розташування.",,
emergency.siren.manual,Ручний,,"A mode for the Emergency Siren device. When the mode is ""Manual"", the siren will only sound when the player turns it on."
emotional.attachments,Зв'язки,,"A label for list of things a person is attached to. As in ""Emotional attachments"". Someone can be attached to another person (i.e. they are friends, or in love), a thing (i.e. their favorite chair near a table, their own bed), or a substance (addiction to coffee). When the subject of this attachment is lost, the person will feel bad about it."
empty,Вільно,,"Adjective. Used in several places where there is supposed to be a list of items, but there is nothing to show. For example if a storage unit does not have any contents, and you try to see the list of contents, it will show this ""Empty"" text"
enable.combat,Дозволено Битви,,
enable.combat.tip,Якщо цю опцію відключено - ігровий процес буде повністю мирним. Але природні катастрофи - такі як зіткнення із метеорним роєм - все одно траплятимуться.,,
enable.elysium.mode,Дозволено Режим Елізіуму,,
enable.force.field,Увімкнути Силове Поле,,
enabling.elysium,Дозволяє режим Елізіуму,,
enclosed.areas,Замкнені Ділянки,,
ended.ago,Завершено {0},,"Displayed in tooltip when you hover an old event notification. {0} will be used in conjunction of ""time.ago"" translation. Example: ""Ended 5 hours ago"""
ends.in,Завершиться за {0},,
energy.auto.connect.incomplete,Автоматичне підключення незавершене. Підключено {0} з {1} досяжних вузлів. Побудуйте більше Конекторів.,,
energy.auto.connect.warning,Попередження про автоматичне підключення,,
energy.bat.charge,Рівень Заряду Батарей,,
energy.bat.charge.desc,"Сума потужності кожної батареї помножена на відсоток її заряду. Це загальний показник стану зарядженості всіх батарей, що підключені до Мережі. ""На діаграмі до цього додається значення Макс.Генерації""",,
energy.batteries,Батареї,,
energy.bullet,Енергетичний Заряд,,
energy.con.already.connected,Цей Вузол Мережі вже підключено до іншого конектора,,
energy.con.damaged,Неможливо підключити до Мережі занадто пошкоджені пристрої. Спочатку слід усунути пошкодження.,,
energy.con.failed,Підключення Невдале,,
energy.con.not.constructed,Неможливо підключити до пристроїв що не змонтовані,,
energy.con.refused,Неможливо Підключити,,
energy.con.refused.details,Цей конектор <b>повністю зайнято</b>. Макс.кількість підключень: {0}. Спочатку відключіть щось.,2022-08-05,
energy.con.too.far,Пристрій за межею дальності дії Конектора. Можна зробити ланцюг із конекторів щоб досягти цього пристрою.,,
energy.connection.limit,Встановлені Підключення,,
energy.connections,Керування Підключеннями,,
energy.connectors,Конектори,,
energy.consumers,Споживачі,,
energy.consumption,Споживання Енергії,,
energy.cur.deficit,Поточний Дефіцит,,
energy.cur.deficit.desc,"Електрична потужність, що є у дефіциті на поточний момент. Якщо цей показник не нульовий - потрібно або відключити декількох споживачів електрики, або нарощувати генерацію електрики. Зауважте, що у процесі дослідження часто потребується багато електрики.",,
energy.cur.demand,Поточна Потреба,,
energy.cur.demand.desc,"Електрична потужність, яка потрібна на поточний момент для живлення усіх пристроїв у їх поточному стані. Зауважте, що деякі пристрої споживатимуть електрику лише в активному стані - тож гарною стратегією буде забезпечити певний надлишок потужності, завжди мати більший обсяг генерації електрики чим споживання.",,
energy.cur.output,Поточне Споживання,2022-05-27,
energy.cur.output.desc,"Електрична потужність, яка споживається на поточний момент. Якщо цей показник більший ніж Макс.Генерація - це означає що наразі потужність генерації недостатня, тож для задоволення наявної Потреби використовується накопичена у Батареях електрика. Якщо цей показник менший ніж Потреба - слід або нарощувати кількість генеруючих пристроїв, або перевірити чи всі вони добре обслуговуються, коректно налаштовані, заправлені паливом та очищені. Також зауважте, що Реактори не вироблятимуть електрику в разі відсутності Потреби.",2022-05-27,
energy.deficit,Дефіцит Електрики,,
energy.grid,Електрична Мережа,,
energy.grid.nr,Мережа #{0}: {1},,
energy.grids,Електричні Мережі,,
energy.loss,Заряд Батарей Втрачено,,
energy.low,Заряд Батарей Низький,,
energy.max.bat.output,Потужність Батарей,,
energy.max.bat.output.desc,"Сума потужності кожної з батарей, що має ненульовий заряд. Батареї працюють таким чином, що кожна з них або розряджена та видає нульову потужність, або має ненульовий заряд та видає максимальну потужність. ""На діаграмі до цього додається значення Макс.Генерації""",,
energy.max.output,Макс.Генерація,2022-05-27,
energy.max.output.desc,"Максимальна теоретично можлива електрична потужність, яку здатна генерувати електрична мережа. Цей показник не враховує ту електрику, що накопичена у Батареях. Актуальний обсяг Генерації може бути іншим, у залежності від Поточної Потреби, стану генеруючих потужностей та використання батарей.",,
energy.node,Вузол Мережі,,
energy.node.auto.connect,Автоматичне Підключення ({0}),,
energy.node.connect,Підключити,,
energy.node.disconnect,Відключити,,
energy.node.disconnect.all,Відключити Все ({0}),,
energy.node.unreachable,Вузол Недосяжний,,
energy.node.unreachable.info,"Керувати цим Енергетичним Вузлом буде можливо <b>тільки якщо він буде підключений до тієї самої електричної мережі, що і Корабельний Комп'ютер</b>. Розгалужуйте свою мережу шляхом розбудови ланцюга з конекторів - допоки цей пристрій не опиниться у зоні досяжності чергового конектора.",2022-08-10,
energy.not.connected,Не Підключено,,
energy.off_grid,Не в Мережі,,
energy.overview,Огляд,,
energy.peak.demand,Пікова Потреба,,
energy.peak.demand.desc,"Пікове значення Потреби електричної потужності, що було зафіксовано з моменту останньої зміни структури електричної мережі. Модифікація існуючих підключень призведе до збросу цього показника.",,
energy.producers,Виробники,,
energy.production,Виробництво Енергії,,
energy.tool.need.research,Необхідно дослідити <b>Енергія</b> та змонтувати кілька <b>Конекторів</b> щоб отримати можливість використовувати цей інструмент,,
energy.turned.off,Відключено [{0}],2022-06-14,"{0} will show the count of devices. Switched off is as in ""turned off"" or ""offline"", i.e. ""Switched Off [12]"""
engine,Двигун,,
engine.power,Потужність Двигуна,,
engine.push,Тяга Двигунів,2022-01-08,"This is used in a label that shows how powerful the ship engines are when you combine their output. ""Push"" here is as in ""Force"" or ""Power"", or ""Propulsion amount"". "
enter.amount,Вкажіть Кількість,,
enter.galaxy,До Галактики,,
enter.name,Вкажіть Ім'я,,
enter.new.first.name,Вкажіть Нове Ім'я,,
enter.new.last.name,Вкажіть Нове Прізвище,,
enter.new.name,Вкажіть Нове Ім'я,,
enter.new.nick.name,Вкажіть Нове Прізвисько,,
enter.planet,До Планети,,Used in an action button that would start an expedition to explore a planet
enter.shuttle,Заходить до Шатлу,,Expedition state label. Showed when expedition members are on their way to the Shuttle
enter.system,До Системи,,Used in an action button when you are flying in the galaxy and want to enter a particular star system. It will then shift from galaxy view to star system view.
enter.universe,До Всесвіту,,"May be used if we will have more than one universe (multiverse), this would change the current universe."
environment,Оточення,,
equipable.item,Спорядження,,
equipment,Спорядження,,
equipment.slot.Body,Тіло - Скафандр,,
equipment.slot.BodyCasual,Тіло - Одяг,,
equipment.slot.Hands,Руки,,
equipment.slot.Head,Голова - Шолом,,
equipment.slot.HeadCasual,Голова - Капелюх,,
equipment.slot.Weapon,Зброя,,
error,Помилка,,
error.content.required,Необхідна наявність змісту,,
error.deconstruct.floor.in.use,"Елемент підлоги не може бути демонтований, тому що на ньому знаходиться інший об'єкт",,
error.energy_connect.no_connector,Не можна підключати напряму - один до одного - такі пристрої. Скористайтеся <nobr><b>Конектором</b></nobr>. Конектори можуть підключатися один до одного для розгалуження мережі.,,
error.no.cpu,Корабельний Комп'ютер недоступний,,
error.title.required,Необхідно вказати назву,,
esc.behavior,{0} Функція Клавіші ESC,2022-04-28,{0} will be replaced with a keyboard button image showing ESC button. You can treat it as non essential for the translation.
esc.behavior.both,Прибрати ІК та Головне Меню,,
esc.behavior.close.menus,Прибрати ІК,,
esc.behavior.open.pause.panel,Прибрати Головне Меню,,
esc.behavior.tooltip,Оберіть яку функцію виконуватиме клавіша {0} (Escape),,
estimated.time.at.kw,Завершення за: {0} за потужності {1},,"{0} will be time (i.e. 1 day 4 hours), {1} will be power output (i.e. 120kW). Example: ""Estimated time left: 2 hours at 24kW"""
eta,Очікуваний Час Прибуття: {0},,"ETA is short for ""Estimated Time of Arrival"""
ev.vented.into.space,Викинуто у Космос,,"when a pressurized airlock is exposed to open space, someone can get ""sucked out"" (vented) into open space"
ev.vented.into.space.desc,"<b>{0}</b> знаходилися на ділянці поряд із Воздушним Шлюзом, що був раптово відчинений. Нажаль, їх було викинуто у відкритий космос разом із потоком повітря із цієї ділянки. Всі вони незворотно та назавжди втрачені.",,"A longer description of ""Vented Into Space"" event. {0} will be replaced by a name"
evaluator,Розглядає,,"Used for task audit. Label for a worker who has evaluated (considered taking) a task. Displayed in a list next to ""Times Evaluated"" (how many times someone tried to take this task) and ""Last Evaluation Time"" (when did anyone try to take this task)."
event.birthday,{0} виповнилося {1} років!,,
event.content.hint,Вкажіть тут детальний опис події,,
event.log.disabled.in.tutorial,Перевірте Журнал Подій після завершення навчання,,
event.panel.clear.tutorial.info,Це очистить список сповіщень - але цю функцію заблоковано упродовж навчання,,
event.sound.0,Звук - увімкнено для всіх подій,,
event.sound.1,Звук - тільки для критичних подій,,
event.sound.2,Звук - вимкнено для всіх подій,,
event.title,Назва Події,,
event.title.hint,Вкажіть короткий опис події,,
event.write,Записати Подію у Журнал,,
events,Події,,
everyones.tasks,Всі Завдання,,
evt.asteroid.desc,"Радар виявив поблизу астероїд, із траєкторією небезпечно близькою до траєкторії Корабля. Астероїд проходитиме поблизу Корабля десь за {0}",,
evt.asteroid.impact.desc,Контакт Астероїда із Кораблем!,,
evt.asteroid.impact.title,Удар Астероїда!,,
evt.asteroid.title,Виявлено Астероїд,,
evt.battery.discharge.desc,"Через збій у роботі, батарея {0} миттєво повністю втратила заряд. Працівник переходить у режим екстреної перезарядки.",2022-05-16,{0} is the name of the worker
evt.battery.discharge.title,Несправність Батареї,,
evt.breach.capsule.impact.desc,Приготуйтесь до бою. Нас беруть на абордаж!,,
evt.breach.capsule.impact.title,Капсула Зломщиків Під'єдналася!,,
evt.breach.capsule.raid.desc,Радар виявив наближення до Корабля Капсули Зломщиків. Очікується що вона буде у безпосередній близькості до Корабля приблизно за {0},,
evt.breach.capsule.raid.title,Виявлено Капсулу Зломщиків,,
evt.capsule.being.desc,{0} вийшли із вантажної капсули.,,
evt.capsule.being.title,Капсула містить {0},,
evt.connection.loss,Підключення Втрачено,,
evt.death.desc,{0} {1} - отримано летальні ушкодження. Вік - {2}. Тип ушкодження - {3}.,,"{0} is species, {1} is full name. {2} is age (number), {3} is damage type. Example: ""Human John died at age 39. Cause of Death: Suffocation"""
evt.death.title,Летально ушкоджено - {0},,
evt.drone.batt.electrocuted.desc,"Через пошкоджену батарею {0}, було уражено струмом наступних істот: {1}",,
evt.drone.batt.electrocuted.title,{0} істот уражено струмом,,
evt.drone.batt.exploded.desc,Батарея {0} вибухнула,,{0} will be the name of the worker
evt.drone.batt.exploded.title,Вибух Батареї Дрона,,
evt.drone.batt.fire.desc,Батарея {0} загорілася,,
evt.drone.batt.fire.title,Загоряння Батареї Дрона,,
evt.drone.batt.overload.desc,Батарея {0} у критичному стані. Будьте обережні!,,
evt.drone.batt.overload.title,Перевантаження Батареї Дрона,,
evt.dust.storm.desc,Триває пилова буря. Це вплине на накопичення пилу на всіх сонячних панелях.,,
evt.dust.storm.end.desc,"Нарешті скінчилась пилова буря, що тривала {0} годин.",,
evt.dust.storm.end.title,Пилова Буря Скінчилась,,
evt.dust.storm.title,Пилова Буря,,
evt.egg.discover.desc,"Виявлено неідентифікований об'єкт, схожий на здоровезне яйце. Цікаво, що може бути всередині?",,
evt.egg.discover.title,Виявлено яйце,,
evt.egg.hatched.crawlers.desc,Виявлено декілька нових форм життя. Будьте обережні!,,
evt.egg.hatched.crawlers.title,Щось з'явилось із яйця,,
evt.el.con.fail,Коротке Замикання,,
evt.el.con.fail.desc,Під час підключення до Мережі об'єкта {0} сталося коротке замикання.,,
evt.el.device.damaged.desc,Об'єкт {0} остаточно вийшов з ладу через зношеність. Слід замінити його новим або демонтувати.,2023-01-30,
evt.el.device.damaged.title,Об'єкт {0} вийшов з ладу,,
evt.end.explosion,вибуху,,
evt.end.fire,займання,,
evt.exp.found.ore.description,Експедицією знайдено поклади {0} ({1}),,
evt.exp.found.ore.title,Розпочато видобуток {0},,
evt.exp.merchant.desc,"Експедиція натрапила на незалежного Комерсанта, який запропонував торгувати із ним",,
evt.exp.merchant.title,Контакт із Комерсантом,,
evt.food.on.device.desc,Якийсь роздовбай залишив недоїдки {0} на {1} - частини їжі потрапили всередину пристроя та спричинили коротке замикання.,,
evt.food.on.device.title,Пристрій пошкоджено залишками їжі,,
evt.grid.heavy.malfunction.desc,"Стався доволі серйозний збій у роботі {0}, що призвело до {1}.",,"{0} is the device name, {1} is an event like in translation of ""evt.end.fire"" or ""evt.end.explosion"". Example: ""Matter Reactor had a heavy malfunction that ended with explosion"""
evt.grid.heavy.malfunction.title,Несправність Пристрою,,
evt.grid.light.malfunction.desc,Виявлено незначну несправність у електричній мережі. Впродовж короткого строку можливі нечисленні випадки відключення деяких пристроїв від мережі.,,
evt.grid.light.malfunction.title,Несправність Електричної Мережі,,
evt.grid.malfunction.warning,Несправність Конектора,,
evt.human.hatched.crawlers.desc,Химерні позаземні істоти почали вилазити прямо із тулуба {0}!,,
evt.human.hatched.crawlers.title,Із тіла колоніста вилазять створіння,,
evt.matter.reactor.malfunction.desc,"{0} під час процесу розщеплення опинився у аварійному стані. Як наслідок, ланцюгова реакція призвела до {1}.",,
evt.matter.reactor.malfunction.title,Збій у Роботі Реактора,2022-08-13,
evt.meteor.shower.desc,Помічено наближення метеорного рою. Оголошується надзвичайний стан!,,
evt.meteor.shower.title,Метеорний Рій,,
evt.micro.meteors.desc,"Корабель знаходиться у зоні з високою вірогідністю зіткнення із мікро-метеороїдами, що рухаються із швидкістю близькою до швидкості світла. Будьте обережні!",,
evt.micro.meteors.title,Виявлено мікро-метеороїди,,
evt.research.desc,Досліджено {0} та розблоковано нові креслення: {1},,
evt.research.title,Досліджено {0},,
evt.shuttle.crawler.desc,Шатл повернувся на борт із істотою виду {0},,
evt.shuttle.crawler.title,Небажаний Пасажир,,
evt.shuttle.crawlers.desc,Шатл повернувся на борт із {1} істотами виду {0},,
evt.shuttle.crawlers.title,Небажані Пасажири,,
evt.space.diarrhea.desc,На борту виявлено невідому позаземну бактерію.,,
evt.space.diarrhea.end.desc,Схоже що невідома позаземна бактерія більше неактивна. Зараз той самий момент коли стануть у пригоді декілька нових Ботів-Чистильників.,,
evt.space.diarrhea.end.title,Космічна Діарея Скінчилась,,
evt.space.diarrhea.title,Космічна Діарея,,
evt.stasis.pod.crawlers.desc,"Стазис-Капсула містить Краулерів - ці страхітливі та ворожі створіння атакуватимуть інших істот, а також намагатимуться прикріпитися до людського обличчя - щоб таким чином використати людський організм у власних цілях. Начувайтеся!",,
evt.stasis.pod.crawlers.title,Стазис-Капсула із Краулерами,,
evt.stasis.pod.desc,"Помічено Стазис-Капсулу, курс якої перетинається із курсом Корабля! Зміст такої капсули може бути небезпечним - будьте обережні!",,
evt.stasis.pod.friendly.crew.desc,"Із Стазис-Капсули з'явилося декілька дружніх істот, що стануть частиною колонії. Переконайтесь що вони почуватимуться на борту як вдома!",,
evt.stasis.pod.friendly.crew.title,Стазис-Капсула із дружніми істотами,,
evt.stasis.pod.merchant.desc,"Власник цієї Стазис-Капсули -  мандрівний незалежний Комерсант, який не марнує часу і пропонує заключити взаємовигідну торговельну угоду.",,
evt.stasis.pod.merchant.title,Стазис-Капсула із Комерсантом,,
evt.stasis.pod.raid.desc,Корабель атаковано фракцією {0}.,,
evt.stasis.pod.raid.title,{0} атакують!,,
evt.stasis.pod.title,Виявлено Стазис-Капсулу,,
evt.teleporter.clone.desc,Трапився збій у роботі Телепорта. Внаслідок отримано ідентичну копію {0}.,,
evt.teleporter.clone.title,Клонування під час Телепортації,,
evt.wakeup.desc,Через несправність Капсули у Стазис-Масиві один із Колоністів пробудився від кріо-сну. Короткий профіль:<br><br>{0},,
evt.wakeup.title,Пробудження - {0},,
execute,Виконати,,
exit.galaxy,Покинути,,
exit.planet,Покинути,,
exit.save,Зберегти при виході,,
exit.save.desc,Бажаєте зберегти стан гри?,,
exit.system,Покинути,,
exit.to.main.menu,До Головного Меню,,
exit.universe,Покинути,,
exp.cancel.stage,Відмінити {0},,
exp.crew.name,{0} [Гірництво: {1:0.0}],,
exp.crew.name.no.mining,{0} <color={1}>[Не може видобувати]</color>,,
exp.found.obj.fail,Невдале Відновлення Артефакту,,
exp.found.obj.fail.damage,"Щось пішло не так під час процедури відновлення, та артефакт було повністю зруйновано. Істота {0} отримала {1:0} одиниць ушкодження під час виконання маніпуляцій із артефактом.",,
exp.found.obj.start,"Експедицією {0} знайдено артефакт: {1}. Можна спробувати відновити його, проте майте на увазі що шанс невдачі становить {2}.",,
exp.found.ore.title,Видобувається {0},,
exp.nothing.of.interest,"На <b>{0}</b> немає нічого цікавого - тож, схоже що немає потреби відправляти сюди експедицію.",,
exp.stage.cancelled,Успішно відмінено {0},,
exp.stage.done,Експедицію Завершено,,
exp.stage.exploring,Дослідження планети,,
exp.stage.landing,Приземлюється на {0},,
exp.stage.prep,Підготовка до зльоту,,
exp.stage.prep.return,Підготовка до повернення,,
exp.stage.takeoff,Злітає,,
exp.stage.travel.to.base,Повертається,,
exp.stage.travel.to.dest,Летить до цілі,,
exp.stage.unloading,Розвантажується Здобич,,
exp.stage.waiting.for.base,Задалеко від Корабля для Повернення ,2022-10-28,
expedition,Експедиція,,
expedition.aborted,Експедицію Перервано,,
expedition.aborted.shuttle.damaged,"Експедицію перервано через пошкодження, отримані Шатлом перед зльотом",,
expedition.action.prompt,Отримано виклик від експедиційної команди із шатлу <b>{0}</b>.,,{0} will be the shuttle name
expedition.auto.unload,Розвантажити та Повторити,2023-09-29,
expedition.auto.unload.info,"Якщо цю опцію активовано - експедиція працюватиме повністю автоматично. Після заповнення вантажного відсіку Шатл повернеться на Корабель, розвантажиться, та експедицію буде продовжено у тому ж складі до того ж самого родовища.",,
expedition.call.back.already.retuning,Експедиція {0} вже повертається,,
expedition.call.back.failed,Відсутній зв'язок із командою {0},,
expedition.call.back.sent.too.far,Відправлено повідомлення Експедиційній команді. Шатл із командою на борту чекатиме на Корабель. Рухаємося до локації {0} щоб взяти його на борт.,,
expedition.choose,{0} команда очікує наказів у {1},,
expedition.crew,Експедиційна Команда,,
expedition.found.object,Експедиція знайшла об'єкт,,
expedition.launch.aborted,"Експедицію ""{0}"" перервано - жодному із членів команди не вдалося потрапити на борт шатла",2023-04-19,
expedition.mining.target,Ціль,,
expedition.missing.crew,"Члену експедиційної команди ""{0}"" не вдалося добратися до шатлу ""{1}"". Що слід робити?",,
expedition.mode.AllowAll,"Так, Всі",,
expedition.mode.AllowSelected,"Так, Обрані",,
expedition.mode.ForbidAll,"Ні, Ніякі",,
expedition.mode.ForbidSelected,"Ні, Обрані",,
expedition.no.event,Експедиція {0} не знайшла нічого гідного уваги. Є шанс що на планеті не лишилося нічого придатного до видобутку чи дослідження.,,
expedition.over,Завершено експедицію до <b>{1}</b>. Експедиційний Шатл <b>{0}</b> із командою знаходяться на борту. Можна обрати новий пункт призначення у <b>Зоряній Мапі</b> та/або планувати нові експедиції,,"{0} will be the shuttle name, {1} will be planet name or some expedition target name (i.e. abandoned ship name)"
expedition.returned.from,Повернення Експедиції до <br><size=200%>{0}</size>,,
expedition.setup,Налаштування Експедиції,,
expedition.target.too.far.away,Неможливо розпочати експедицію через завелику відстань між Кораблем та ціллю. Поверніть Корабель ближче до цілі та спробуйте ще раз.,,
expedition.unloading,{0} (розвантаження),,
expeditions,Експедиції,,
expeditions.howto,"Якщо поруч із Кораблем є придатний до дослідження космічний об'єкт - можна відправити до нього експедицію. Необхідними умовами для відправки експедиції є наявність та функціональний стан декількох пристроїв: ""Навігаційної Рубки"" (щоб можна було побачити об'єкти на Зоряній Мапі), ""Двигунів"" (щоб Корабель мав можливість переміщатися у космосі до сусідніх об'єктів), та ""Шатлу"" (який перевозитиме експедиційну команду та видобуті ресурси).",,
explain.why,Чому?,,
explore,Досліджувати,,
explosion,Вибух,,
explosion.imminent.minutes,"Вибух Неминучій, за: {0:0.0} хв.",,
extract.nutrients,Екстрагувати Білок,,
faction.Adventurer,Авантюристи,,
faction.Adventurer.about,"Авантюристи - це дружні досліджувачі Всесвіту. Вони цінують можливість подорожувати, відкривати нові території - тож зазвичай не засиджуються на одному місці надто довгий час.",,
faction.Capitalist,Капіталісти,,
faction.Capitalist.about,"Капіталісти - це фракція комерсантів, одна з домінуючих фракцій у Всесвіті. Серед Капіталістів найбільшою цінністю вважаються не гроші, а їхня кількість.",,
faction.Crawler,Краулер,,
faction.OldEarth,Колишні Земляни,,
faction.OldEarth.about,"Колишні Земляни - це миролюбні поселенці та колоністи, по більшості займаються фермерством та землеробством.",,
faction.Pirate,Пірати,,
faction.Pirate.about,"Пірати - це безшабашна та небезпечна фракція осіб, що обрали (або змушені були обрати) спосіб життя поза законами, і яким нема чого втрачати. Якщо помітили їх - краще летіть геть, або готуйтеся до абордажу.",,
faction.Player.about,Це ваша фракція,,
faction.Scavenger,Збирачі Брухту,,
faction.Scavenger.about,Збирачі Брухту мандрують Всесвітом у пошуках рідкісних матеріалів та цінних позаземних артефактів. Представники цієї фракції поєднують певні риси Авантюристів та Капіталістів. Зазвичай не дуже дружелюбні.,,
faction.Sentinel,Вартові,,
faction.Sentinel.about,"Позаземна форма життя, що базується на Штучному Інтелекті. Вважається що представники фракції намагаються встановити мир та порядок у Всесвіті.",,
faction.Virus,Віруси,,
faction.Virus.about,"Ворожа кримінальна фракція, що базується на Штучному Інтелекті. Намагається знищити всі біологічні форми життя та силою захопити владу у Всесвіті.",,
failed.copying.value,Не вдалося скопіювати значення,,
failed.pasting.value,Не вдалося вставити значення,,
fate.BecameNomads,"{0} колоністів стали кочівниками та заснували фракцію ""{1}"":",,
fate.DeadInStasisArray,"Деяких колоністів не вдалося пробудити зі стазису, і вони перебуватимуть у комі: ",,
fate.DiedDuringLanding,{0} колоністів загинули під час приземлення:,,
fate.DiedFightingLocalFaction,"{0} колоністів загинули під час зіткнень із місцевою фракцією ""{1}"":",,
fate.DiedFromRareDisease,"{0} колоністів загинули від нового рідкісного захворювання ""{1}"":",,
fate.EatenByLocalFauna,"{0} колоністів було вбито та з'їдено місцевим звіром ""{1}"":",,
fate.FoundedACity,"Місто ""{1}"" було засновано наступними колоністами:",,
fate.FoundedAMiningCompany,"Наступними колоністами було засновано гірничодобувну компанію ""{1}"":",,
fate.LivingHappy,{0} колоністів щасливо живуть у своєму новому домі:,,
fate.MovedToColonyWorker,{0} роботів-працівників лишилися у колонії щоб розбудовувати нову базу:,,
fate.remained.on.ship,{0} колоністів вирішили продовжити подорожувати та залишились на Кораблі.,,
fate.StayedOnShip,{0} колоністів вирішили залишитись на Кораблі та поринути у нові пригоди:,,
fate.StayedOnShipWorker,{0} роботів-працівників залишились на Кораблі:,,
fate.WasElectedPresident,Обрано президентом колонії:,,
fate.WentInsane,{0} колоністів збожеволіли:,,
favorite.color,Улюблений колір,,
favorite.meal,Улюблена Їжа,,
feedback,Відгук,,
feedback.bug.critical,Баг [Критичний],,
