Key,Translation,Version,Comment
codex.m.resou,rces.inventory,"surcouche ""d'inventaire""",,
codex.m.resou,rces.inventory.desc,"Utilisez la surcouche ""d'inventaire"" ({0}) pour voir un rapport en temps réel sur le nombre et le type de ressources ou d'éléments dont vous disposez.Il n'inclut pas les ressources à l'intérieur de vos réacteurs ou verrouillées dans vos appareils et votre structure (voir ""Déconstruire pour les ressources"").<br><br>Utilisez le bouton ""Rechercher"" près d'une ressource pour parcourir les emplacements où cette ressource ou cet élément est présent.",,
codex.m.resou,rces.miningplanets,Miner les planètes,,
codex.m.resou,rces.miningplanets.desc,"La meilleure façon d'acquérir des ressources est de visiter des planètes et d'organiser des expéditions minières. Établissez des capacités de vol spatial, utilisez la carte stellaire pour trouver des planètes proches, volez vers elles, puis utilisez la surcouche ""d'expédition"" ({0}) pour lancer une expédition.",,
codex.m.resou,rces.processing,Traitement des ressources,,
codex.m.resou,rces.processing.desc,"Certaines ressources peuvent être transformées en ressources plus raffinées, qui pourront ensuite être utilisées comme ingrédients de fabrication ou à d'autres fins. Habituellement, le traitement est nécessaire pour les ressources brutes, telles que les minerais ou le pétrole brut.<br><br>Le traitement nécessite une installation compatible (c'est-à-dire un four pour les minerais). Recherchez les entrées du Codex pour diverses ressources afin de déterminer le type d'installation de traitement compatible.<br><br>Vous pouvez traiter des coprs dans un extracteur de nutriments et des robots/drones détruit dans un désassembleur.<br><br>Certaines ressources génèrent des matériaux multiples ou variables lors du traitement. Le traitement de la roche dans un broyeur peut produire un certain nombre de matériaux variés. Voir les entrées Codex de chaque matériau pour plus d'informations.",,
codex.m.resou,rces.trade,Ressources commerciales,,
codex.m.resou,rces.trade.desc,"Vous pouvez acheter et vendre la plupart des ressources et matériaux lorsque vous échangez avec certains types de marchands.<br><br>Les ressources commerciales sur le marché boursier n'achètent ni ne vendent de ressources physiques que vous pouvez utiliser.",,
codex.m.space,travel,Voyage spatial,,
codex.m.space,travel.enginetypes,Types de moteur,,
codex.m.space,travel.enginetypes.desc,"Des moteurs différents ont des objectifs différents. Les propulseurs ne fonctionnent que sur des trajets court dans le système, vous permettant de voyager de planète en planète dans un même système stellaire. Les moteur à fusion fonctionne dans la portée intragalactique, ce qui permet d'atteindre différents systèmes stellaires d'une même galaxie. Le moteur FTL ne fonctionne que dans la portée de l'Univers, pour les voyages intergalactiques de galaxie à une autre galaxie.<br><br>Bien qu'il ne s'agisse pas exactement d'un moteur, le ""Void Ripper"" peut vous permettre de sauter à travers les trous noirs qui se trouvent au centre de chaque galaxie.<br><br>Voir la portée de la carte stellaire pour plus de détails.",,
codex.m.space,travel.starmapscopes,Portée de la carte stellaire,,
codex.m.space,travel.starmapscopes.desc,"Il existe plusieurs portées ou couches que vous pouvez consulter dans la carte. Vous démarrez dans la portée du système, qui affiche le système stellaire dans lequel vous vous trouvez. Vous pouvez modifier la portée en utilisant ""Quitter le système"" / ""Entrer dans le système"" / ""Quitter la galaxie"" / ""Entrer dans la galaxie"" dans le panneau d'informations de la carte stéllaire {0}.<br><br>""Entrer Planete"" ne change pas la portée, mais lance une expédition.<br><br>Différents types de moteurs sont nécessaires pour voyager dans chaque étendue de la carte stellaire. Voir ""Types de moteurs"" pour plus de détails.",2022-07-04,"Removed duplicate ""Enter System"" in last edit",
codex.m.story,events,Événements d'histoire,,
codex.m.ui,In,terface utilisateur,,""
codex.m.ui.ba,sics,Bases de l'interface utilisateur,,
codex.m.ui.ba,sics.desc,"La plupart des parties de l'interface utilisateur sont construites en utilisant les mêmes blocs de construction ou ""widgets"". La plupart des widgets sont interactifs et peuvent avoir plus d'une région qui peut être cliquée ou survolée.Un même widget peut avoir plusieurs modes de fonctionnement et peut être mis à jour en temps réel ou non, selon le contexte.<br><br>Nous vous encourageons à essayer de cliquer sur tout, à maintenir le curseur sur les éléments pour voir s'il y a des info-bulles et à explorer l'interface utilisateur autant que possible.<br><br>Il est important d'apprendre comment fonctionnent les widgets de l'interface utilisateur et la logique de la façon dont tout est structuré.Un énorme sous-menu avec des tonnes d'options peut se cacher derrière un clic sur une petite icône rectangulaire - essayez de cliquer sur tout.",,
codex.m.ui.ca,meramemory,Mémoirisation de la caméra,,
codex.m.ui.ca,meramemory.desc,Vous pouvez enregistrer la position et le zoom de la caméra en appuyant sur {0} et sur un chiffre du pavé numérique.Appuyer sur le même numéro sans maintenir {0} déplacera la caméra vers la position enregistrée.,,
codex.m.ui.co,mmonactions,Actions communes,,
codex.m.ui.co,mmonactions.desc,"Lorsque plusieurs objets sont sélectionnés, certains d'entre eux peuvent avoir des actions communes. Ces actions sont exposées en haut du panneau d'informations et dans le menu contextuel.<br><br>Lorsqu'une action commune a un multiplicateur (c'est-à-dire X12), cela signifie que l'action sera appliquée au nombre d'éléments donné.",,
codex.m.ui.co,ntextmenu,Menu contextuel,,
codex.m.ui.co,ntextmenu.desc,"Après avoir sélectionné un objet avec {0}, placez le curseur au-dessus de l'objet et utilisez {1} pour ouvrir le menu contextuel. Certains objets peuvent ne pas l'avoir, mais la plupart l'auront.<br><br>Le menu contextuel aura généralement un sous-ensemble d'actions utiles qui peuvent être trouvées en explorant le panneau d'informations. <br><br>Le panneau d'informations aura presque toujours tout ce que le menu contextuel a, et plus encore.<br><br>Vous pouvez également sélectionner plusieurs objets et invoquer un menu contextuel au-dessus de l'un d'eux pour effectuer une action commune pour tous les objets sélectionnés. Voir ""Actions courantes"" pour plus de détails.",,
codex.m.ui.ev,ents,Panneau d'événement,,
codex.m.ui.ev,ents.desc,"Le panneau d'événements est la partie inférieure de la section supérieure droite de l'interface utilisateur. Le premier élément du panneau d'événements contient des commandes permettant de désactiver les notifications sonores d'événements et d'effacer tous les événements pouvant être fermés.<br><br>Vous devez toujours garder un œil sur le panneau d'événements, car tous les événements importants créeront des notifications.<br><br>La plupart des notifications d'événements peuvent être fermées en cliquant et en maintenant {0} dessus, cependant, certaines notifications d'événements importantes sont persistantes et ne peuvent pas être fermées.Ces notifications disparaîtront lorsque la situation sera résolue.<br><br>Lorsqu'une notification est liée à un objet, survolez l'icône pour voir une ligne directrice pointant vers l'objet. Cliquez sur l'icône pour sélectionner l'objet et focaliser la caméra dessus.",2022-07-06,Top Left changed to Top Right
codex.m.ui.ho,tbar,Barre de raccourcis,,
codex.m.ui.ho,tbar.desc,"La barre de raccourcis est la rangée inférieure d'icônes contenant des raccourcis vers des outils ou des plans.Il est préchargé avec le contenu du menu radial, mais vous pouvez choisir de le personnaliser à votre guise.<br><br>Lorsque vous utilisez le menu radial, maintenez {0} tout en activant l'élément de menu pour l'ajouter à la barre de raccourcis.<br><br>Pour supprimer des éléments de la barre de raccourcis, maintenez la touche {0} enfoncée et cliquez sur l'élément dans la barre de raccourcis.<br><br>Vous pouvez trier les éléments de la barre de raccourcis en les faisant glisser.<br><br>Vous pouvez verrouiller/déverrouiller la barre de raccourcis ou masquer ce bouton d'information dans le menu des paramètres de jeu actuels.",,
codex.m.ui.in,fopanel,Panneau d'informations,,
codex.m.ui.in,fopanel.desc,"Le panneau d'informations est l'élément le plus important de l'interface utilisateur, car il expose les données et les contrôles internes de tout objet sélectionné. Il est fortement recommandé d'explorer le panneau d'informations pour chaque appareil, personnes et matériel.Il vous aidera à comprendre son état et vous indiquera comment le gérer ou le configurer.<br><br>Chaque objet a un ensemble de composants. Lorsqu'un objet est sélectionné, chaque composant de cet objet expose ses données et ses contrôles au panneau d'informations.<br><br>Lorsque plusieurs objets sont sélectionnés, le panneau d'informations affiche une liste de tous les objets sélectionnés et une liste interactive des actions courantes au-dessus d'eux.Reportez-vous à la section ""Actions courantes"" du manuel pour plus de détails.<br><br>Le panneau d'informations comporte des onglets Objet et Environnement. L'onglet Objet a été décrit ci-dessus. L'onglet Environnement affiche les détails environnementaux de l'emplacement sélectionné - température, niveau d'oxygène, etc.",,
codex.m.ui.ov,erlays,Surcouche,,
codex.m.ui.ov,erlays.desc,"Les surcouches exposent sur l'interface utilisateur, pour divers systèmes internes et groupes de données, tels que le réseau électrique, l'inventaire, l'arbre de recherche, la carte des étoiles, etc.<br><br>Les boutons de surcouche se trouvent en haut à gauche de l'interface utilisateur. Survolez chaque bouton pour voir une info-bulle avec le nom de la surcouche.La première ligne peut être basculée à l'aide des touches F1-F10.<br><br>Il est fortement recommandé d'explorer chaque surcouche et de voir quelles fonctionnalités elle expose. Chaque surcouche est utile à un moment donné.<br><br>Certaines surcouches nécessitent des recherches ou certaines conditions préalables pour être activées.",,
codex.m.ui.qu,icksearch,Recherche rapide,,
codex.m.ui.qu,icksearch.desc,La recherche rapide est un widget d'interface utilisateur extrêmement puissant. Ouvrez-la avec {0} et commencez à taper le nom d'un plan que vous souhaitez construire (doit être déverrouillé dans Recherche). Fonctionne également pour trouver vos ouvriers ou colons par leur nom.,,
codex.m.ui.ra,dialmenu,Menu circulaire,,
codex.m.ui.ra,dialmenu.desc,"Le menu radial est le menu circulaire qui peut être appelé en cliquant sur {0}.<br><br>Cliquer sur {1} entrera dans un sous-menu ou invoquera l'action sélectionnée.<br><br>Cliquez sur {0} pour quitter le sous-menu (un niveau vers le haut) et enfin quitter le menu.<br><br>Double-cliquez sur {1} pour quitter le menu immédiatement, même si vous êtes au plus profond de l'arborescence des sous-menus.<br><br>Les outils et plans fréquemment utilisés peuvent être placés dans la barre de raccourcis (rangée du bas).<br><br>La recherche rapide ({2}) ou l'utilisation de ""Créer une copie"" est presque toujours un moyen plus rapide de créer.",,
codex.m.ui.re,search,Arbre de Recherches,,
codex.m.ui.re,search.desc,"Il est recommandé de rechercher l'<b>informatique</b> dès le début, afin de ne pas manquer de <b>disque</b> afin de pouvoir créer plus de modules.<br><br>Vous pouvez décharger des noeuds de recherche pour récupérer de l'espace disque, mais cela supprimera également tous les plans déverrouillés par ce noeud de recherche. Vous devrez à nouveau rechercher des technologies déchargées.<br><br>Vous devez avoir suffisamment de ressources pour démarrer et faire avancer une recherche.<br><br>Construisez des <b>modules de disque</b> et des <b>modules de mémoire</b> pour augmenter votre disque et votre mémoire.<br><br>Vous pouvez réduire la limite de consommation d'électricité de chaque appareil de recherche individuel (ordinateur du vaisseau, station de recherche).<br><br>La surcouche de ""l'arbre de recherche"" peut également être ouverte en utilisant le raccourci {0}.",2022-07-05,
codex.m.ui.st,armap,Carte stellaire,,
codex.m.ui.st,armap.desc,"La carte stellaire montrera les objets spatiaux à proximité, y compris d'autres vaisseaux.<br><br>Vous pouvez modifier les portées de la carte des étoiles pour voir les planètes, les systèmes stellaires ou les galaxies. Voir la section Couches Carte stellaire pour plus d'informations.<br><br>Vous pouvez ouvrir la carte stellaire à l'aide du raccourci {0}.",,
codex.m.ui.ti,mecontrols,Contrôles du temps,,
codex.m.ui.ti,mecontrols.desc,"Les contrôles de temps se trouvent en haut à droite de l'interface utilisateur.<br><br>Vous pouvez mettre en pause/reprendre le temps avec {0} et basculer entre différentes vitesses avec {1}, {2}, {3}.<br><br>Ralentir: {5}<br><br>Accélérer: {6}<br><br>Il existe une vitesse ""extra rapide"" qui n'est pas disponible dans l'interface utilisateur - vous pouvez la basculer avec {4}",,
codex.m.ui.ui,scaling,Mise à l'échelle de l'interface utilisateur,,
codex.m.ui.ui,scaling.desc,"Si les textes sont trop petits ou si les boutons sont trop grands/trop petits pour votre affichage, vous pouvez ajuster l'échelle de l'interface utilisateur dans Panneau de pause > Paramètres > Vidéo.<br><br>Vous devrez peut-être désactiver la mise à l'échelle automatique de l'interface utilisateur afin de déverrouiller le curseur de mise à l'échelle de l'interface utilisateur.",,
codex.m.whatt,odo,Que dois-je faire?,,
codex.m.whatt,odo.suggestions,Suggestions,,
codex.m.whatt,odo.suggestions.desc,"L'IA suivra constamment votre jeu et suggérera certaines actions qui peuvent être raisonnables à ce moment-là.<br><br>Vous pouvez consulter toutes les suggestions actuelles et passées dans les Suggestions {0}.<br><br>Bien que vous deviez être conscient de ce qui est suggéré, vous pouvez choisir d'ignorer la suggestion et de faire les choses à votre façon.",,
codex.m.worke,rs,"Travailleurs (robots, drones)",,
codex.m.worke,rs.abilitytofly,Peut voler,,
codex.m.worke,rs.abilitytofly.desc,"Certains travailleurs, comme les drones, peuvent se déplacer dans un espace ouvert, tandis que d'autres ont besoin d'un sol pour se déplacer.<br><br>Certaines tâches, généralement celles impliquant la construction d'appareils dans l'espace, nécessitent une aptitude à voler.<br><br>Si vous ne savez pas si un travailleur peut voler, vérifiez les données de navigation dans le panneau d'informations.Les travailleurs qui peuvent voler auront la ligne ""Peut voler"" dans leur sous-menu de navigation.",,
codex.m.worke,rs.controlling,Contrôle direct,,
codex.m.worke,rs.managedandunmanaged,Travailleurs gérés et non gérés,,
codex.m.worke,rs.managedandunmanaged.desc,"Vous pouvez avoir un contrôle direct sur les travailleurs gérés - les formes de vie robotiques qui appartiennent à votre faction.<br><br>Les humains et animaux domestique font également partie de votre faction, mais comme ce sont des formes de vie biologiques, vous ne pouvez avoir aucun contrôle sur leurs actions. À moins qu'il y ait un implant cérébral qui vous permettrait de vous connecter et de prendre le contrôle de leur esprit. Mais ce n'est qu'une théorie, et même si de tels implants cérébraux existaient, les lois d'Asimov interdiraient d'installer l'implant, car il nuirait aux humains.",,
codex.m.worke,rs.needs,Besoins,,
codex.m.worke,rs.needs.desc,"Les besoins sont le principal moteur de ce que les êtres choisissent de faire. Les travailleurs robotiques ont beaucoup moins de besoins que les humains et les animaux de compagnie.Pour les êtres biologiques, les besoins sont étroitement liés à leur humeur, si les besoins ne sont pas satisfaits, l'humeur baissera presque toujours.<br><br>Vous pouvez inspecter les besoins des personnes sélectionnées dans le panneau d'informations.Cliquer sur chaque besoin affichera une fenêtre contextuelle avec une courte description.<br><br>Vous devriez essayer de fournir suffisamment d'installations et de ressources pour répondre aux besoins de chacun. Cependant, cela peut s'avérer difficile pour les colons.",,
codex.m.worke,rs.priorities,Types de travail et priorités,,
codex.m.worke,rs.priorities.desc,"Chaque travailleur robotique et colon ont un ensemble de typed de travail avec des priorités. Les types de travail déterminent ce dont le travailleur est capable, tandis que les priorités montrent à quel point le travailleur sera désireux d'effectuer la tâche d'un type de travail donné. 1 est la priorité la plus basse, 9 est la plus haute, la priorité 0 interdira au travailleur d'exécuter des tâches de ce type de travail.<br><br>Vous pouvez contrôler les priorités de travail pour vos travailleurs gérés (robots et drones).<br><br>Il est également possible de contrôler la priorité des tâches individuelles ou de forcer un travailleur à effectuer une tâche spécifique.<br><br>Soyez prudent lorsque vous ajustez les priorités des travailleurs.Les valeurs par défaut sont raisonnables et il est possible de se retrouver dans une situation où certaines tâches ne seront jamais exécutées en raison d'une mauvaise gestion des priorités.",,
codex.m.worke,rs.production,Obtenir de nouveaux travailleurs,,
codex.m.worke,rs.production.desc,"Les travailleurs robotiques peuvent être créés dans l'assembleur et le fabricateur après avoir déverrouillé les plans nécessaires dans la recherche. Dans certains cas, un robot égaré peut rejoindre directement votre colonie.<br><br>Vous pouvez éliminer les travailleurs morts dans le désassembleur et récupérer les matériaux précieux nécessaires à la production de nouveaux travailleurs.",,
codex.m.worke,rs.skills,Compétences,,
codex.m.worke,rs.skills.desc,"Chaque travailleur robotique et colon humain possède un ensemble de compétences. Souvent, une compétence de niveau spécifique est nécessaire pour effectuer certaines tâches. Par exemple, l'installation d'un module de mise à niveau nécessite une compétence scientifique, donc les travailleurs qui n'ont pas cette compétence ne pourront pas effectuer la tâche.<br><br>Vous pouvez voir quelles compétences sont requises pour construire n'importe quel appareil en examinant l'entrée du codex du plan.<br><br>Consulter la section Tâche dans le panneau d'informations révélera plus de détails sur les éléments requis, compétences, et autres conditions préalables à la tâche.",,
codex.manual,,Manuel des opérations,2022-04-01,
codex.mark.le,arned,Marquer comme acquis,,
codex.materia,ls,Materials,,
codex.species,,Espèces,,
codex.Tips,As,tuces,,
codex.unlearn,,Désapprendre,,
collecting.ma,t,Collecte {0},
colonists.fro,m.stasis.array,{0} colons dans la chambre de stase,
colony.event,,Évènement de la colonie,,
color.alpha,L,uminosité,
color.Black,N,oir,,
color.Blue,Bl,eu,
color.Green,V,ert,
color.Grey,Gr,is,,
color.Orange,,Orange,,
color.Pink,Ro,se,,
color.Purple,,Pourpre,,
color.Red,Rou,ge,,
color.Violet,,Violet,,
color.White,B,lanc,,
color.Yellow,,Jaune,,
combat.contro,ls,Commandes de combat,
combat.squad,,Escouade de combat,
combat.state.,AttachToPrey,Attaché à la proie,
combat.state.,BreakIn,Effraction,
combat.state.,Escape,Évasion,
combat.state.,FindEnemy,Trouver l'ennemi,
combat.state.,FindLoot,Cherche le butin,
combat.state.,HighAlert,Alerte élevée,
combat.state.,LoadLoot,Vol,
combat.state.,MeleeAttack,Attaque (Mêlée),
combat.state.,RangedAttack,Attaque (à distance),
combat.state.,Regroup,Regroupement,
combat.state.,SuicideBomb,Bombe suicide,
comfortable.t,emp,Température confortable,
comfortable.w,ork.spot,Poste de travail confortable,
communicator.,missing,Communicateur manquant,
communicator.,missing.info,"Quelqu'un essayait de communiquer avec notre vaisseau, mais l'appareil de communication n'était pas disponible pas alimenté.",
compatible.ob,jects,Objets compatibles,
computer.reso,urces,Ressources informatiques,
computer.reso,urces.cpu,CPU,
computer.reso,urces.info,"Mém: {0}, Disque: {1}",2022-08-18,
computer.reso,urces.memory,Mémoire,
computer.reso,urces.storage,Espace disque,2022-08-18,
condition,Con,dition,
confirm,Confi,rmer,
confirm.exped,ition,Confirmer l'expédition,
confirm.mass.,construction,"Vous êtes sur le point de commander la construction de <b>{0} objets</b>.",2022-08-18,
confirm.mass.,haul,"Vous êtes sur le point de commander le transport de <b>{0} objets</b>.",2022-08-18,
confirm.mass.,order,Confirmer la commande en masse,
confirm.mass.,processing,Vous êtes sur le point de commander le traitement de <b>{0} objets</b>,
confirm.mass.,removal,"Vous êtes sur le point d'ordonner la déconstruction de <b>{0} objets</b>.",2022-08-18,
confirm.mass.,repair,"Vous êtes sur le point de commander des réparations pour <b>{0} objets</b>.",2022-08-18,
confirm.objec,t.removal,Confirmer la suppression de l'objet,
confirm.objec,t.removal.info,Votre sélection comprend <b>{0} objets</b> potentiellement utiles. Veuillez confirmer l'action.,2022-08-18,
connect.to.re,fuel,Connectez-vous pour faire le plein,
connected.to.,count,Connecté à,
construct,Con,struction,
construct.fin,d.materials,Trouver des matériaux,
construct.obj,ect,Construire un objet,
construction.,complete,Entièrement construit,
construction.,cost,Coût de construction,
construction.,pending,Non construit,
construction.,progress,Avancement des travaux: {0}/{1},
contains.mate,rials,Contient des matériaux,
content,Teneu,r,
contents,Cont,enu,
continue,Cont,inuer,
contribute.tr,anslation,Participer à une traduction.,
controllable.,worker,Travailleur,
convert,Conve,rtir,
converting.no,w,Conversion de {0},
cook,Cuisiner,,
cooking.bar,C,uisine {0},
cooldown.comp,lete,Démarrage du réseau de neurones,
cooldown.now,,Temps de recharge maintenant,
cooldown.prep,are,Suspendre le réseau de neurones,
cooldown.prog,ress,Temps de recharge: {0},
cooler,Refroi,disseur,
copied.to.cli,pboard,Copié dans le presse-papier,
copied.to.cli,pboard.info,{0} entrées de journal copiées dans le presse-papiers. Collez-le dans votre éditeur de texte préféré pour enregistrer l'histoire.,
copy.channel.,name,Copier la chaîne,
copy.color.he,x,Copier la couleur: {0},
copy.config,C,opier la configuration,
copy.config.c,leanable,Nettoyable,
copy.config.e,nergy.node,Commutateur d'électricité,
copy.config.f,luid.cannon,Canon à fluide,
copy.config.h,elp,"Cet outil copiera la configuration d'un composant choisi et passera en mode coller. Vous verrez un lien vers l'objet copié. Faites glisser un rectangle sur les objets dans lesquels vous souhaitez coller la configuration. Si vous faites glisser sur des objets incompatibles, rien ne se passera.",
copy.config.l,ight,Couleur claire,
copy.config.l,ock.state,État de verrouillage,
copy.config.m,atter.reactor,Réacteur,2022-08-13
copy.config.o,f,Copier la config: {0},
copy.config.p,article.collector,Collecteur de particules,
copy.config.p,et.bowl,Bol pour animaux,
copy.config.p,lanter,Planteur,
copy.config.s,olar.panel,Panneau solaire,
copy.config.t,erraformer,Terraformer,
copy.emblem,C,opier l'emblème,
copy.game.see,d,Copier la graine du jeu,
copy.id,Copie,r l'ID,
copy.to.clipb,oard,Copier dans le presse-papier,
cosmetic.part,icles,Afficher les particules cosmétiques,
cosmetic.part,icles.tip,Désactive les systèmes de particules non essentiels. Utile lorsque vous jouez dans de très grandes cartes ou avec du matériel plus ancien.,
could.not.can,cel.exp.stage,Impossible d'annuler {0},
countdown.min,utes,Compte à rebours: {0:0.0} min.,
cpu.efficienc,y,Efficacité opérationnelle,
cpu.module.am,ount,{0} THz,
cpu.module.bu,iltin,Module CPU intégré,
cpu.overheat.,info,"L'ordinateur de bord surchauffe. Efficacité actuelle: {0}. La procédure de rechargement est recommandée.<br><br>La procédure de rechargement suspendra votre réseau neuronal pendant plusieurs heures, il peut être judicieux d'effectuer toute action urgente de gestion du vaisseau avant de lancer le rechargement.",
cpu.overheat.,reducing.speed.1,Réduction de la vitesse de traitement en raison d'un niveau moyen de surchauffe. Efficacité actuelle: {0}. La procédure de refroidissement est recommandée.,
cpu.overheat.,reducing.speed.2,Réduction de la vitesse de traitement en raison d'un niveau élevé de surchauffe: Efficacité actuelle: {0}. La procédure de refroidissement est fortement recommandée.,
cpu.overheati,ng,Surchauffe du processeur: {0},
craft,Constru,ire,
crafted.in,Fa,briqué en: {0},
credits,Crédit,s,
crew.incapabl,e.of.mining,L'équipage de l'expédition était incapable d'extraire le minerai. Vous devez inclure des membres de l'expédition avec des compétences <b>Mines</b>.,
cryo.not.enou,gh.power,Pas assez de puissance,
cryo.not.enou,gh.power.desc,Manque de puissance pour le niveau de survie actuel. Réduisez le niveau de survie cible ou augmentez la puissance du réseau électrique.,
cryo.stabilit,y,Stabilité cryogénique,
cryo.stabilit,y.average,Stabilité: Moyenne,
cryo.stabilit,y.desc,"Montre à quel point les systèmes de survie sont stables. Les chambres cryo instables éjecteront les colons plus fréquemment et avec des conditions initiales pires. Pour augmenter la stabilité, changez le support de vie de basique à avancé. Il consommera beaucoup d'énergie mais la stabilité augmentera lentement.",
cryo.stabilit,y.good,Stabilité: Bonne,
cryo.stabilit,y.great,Stabilité: excellente,
cryo.stabilit,y.poor,Stabilité: médiocre,
cryo.stabilit,y.unstable,Stabilité: instable,
cryo.used,Cha,mbres d'occasion,
cryo.used.des,c,Montre combien de chambres de cryostase sont actuellement occupées par des êtres vivants. Les chambres peuvent contenir des humains ou des animaux.,
ctrl.assign.t,ask,"Cliquez sur {0} tout en maintenant {1} pour forcer l'attribution de la tâche",
currency.Star,creds,Starcreds,
currency.Star,creds.desc,Une monnaie cryptomonaie utilisée par les humains pour commercer.,
current.exped,itions,Expéditions en cours,
current.items,.produced,Articles actuels produits,
current.mood.,trend,Humeur actuelle,
cursor.light,,Activer le curseur lumineux,,
cursor.light.,tip,"Lorsqu'il est activé, le curseur de la souris émet de la lumière pour vous aider à voir dans les zones plus sombres",,
cursor.softwa,re,Utiliser le curseur du logiciel,
cutoff.ambien,ce,Coupure du zoom pour l'ambiance,
cutoff.fx,Cou,pure du zoom pour SFX,
cutoff.music,,Coupure du zoom pour la musique,
cycle.bluepri,nt.tip,"<br>Changez de plan avec {0} et {1}",
cycle.placeme,nt.mode.tip,"<br>Mode de placement du cycle avec {0}",
damage.type.A,cid,Acide,
damage.type.A,ge,Âge,
damage.type.C,old,Froid,
damage.type.E,lectricity,Choc électrique,
damage.type.H,eat,Chaleur,
damage.type.H,unger,Malnutrition,
damage.type.O,xygen,Suffocation,
damage.type.P,hysical,Physique,
damage.type.S,ickness,Maladie,
damage.type.S,tasis,Stase,
damage.type.U,ndefined,Inconnu,
damage.type.W,ater,L'eau,
damageable,Do,mmageable,
damaged,Endom,magé,
day,Jour,    ,
deactivate,Dés,activer,
deactivate.si,ren,Désactiver la sirène,
dead,Mort,   ,
death.cause,C,ause du décès: {0},
deconstruct,D,éconstruire,
deconstructio,n.not.allowed.temp,{0} est dans un état qui empêche sa déconstruction. Veuillez réessayer plus tard.,
deconstructio,n.progress,Avancement de la déconstruction: {0}/{1},
decrease,Dimi,nuer,
decrease.amou,nt,Diminuer le montant,
delete,Efface,r,
delete.save,S,upprimer,
demand.type.C,ustom,Montant personnalisé,
demand.type.C,ustom.tip,"Produira le nombre d'objet demandé et s'arrêtera",
demand.type.L,imit,Limite d'inventaire,
demand.type.L,imit.tip,Produira uniquement si le nombre en stock est inférieur à la limite fixée,
demand.type.O,ne,Produire un,
demand.type.O,ne.tip,"Produira un seul objet",
demand.type.U,nlimited,Illimité,
demand.type.U,nlimited.tip,"Produira l'objet à l'infini",
demo.mode,Le ,mode de démonstration,
demo.mode.off,,Mode démo désactivé,
demo.mode.on,,Mode démo activé<br>(Désactiver avec: Ctrl + F9),
destroy,Détrui,re,
detach,Détache,r,
details,Détail,s,        
dev.build.ins,tant,Construction instantanée (mode bac à sable),
dev.debug,Débo,gage des développeurs,
dev.menu.achi,evements.warning,"L'utilisation de certaines fonctions de ce menu <b>désactivera les Succès pour cette sauvegarde</b> sans autre avertissement.",
dev.notice,Av,is aux développeurs,
device.batter,y.level,Batterie: {0} ({1},
device.health,,Santé: {0},
device.idle,{,0} est inactif,
device.wear,",Usure de l'appareil",
device.wear.t,ip,"S'il est activé, les appareils s'useront et seront irrémédiablement endommagés une fois que l'usure atteindra 100 %",
device.wear.w,arning,"L'appareil doit être bientôt remplacé",
device.worn.o,ut,"L'appareil est usé et n'est plus réparable",
different.sec,tion,Section différente,
difficulty.ba,lanced,Équilibrée,
difficulty.ch,allenging,Difficile,
difficulty.re,laxing,Relaxante,
direct.contro,l,Contrôle direct,
direct.contro,l.desc,"Lorsqu'un travailleur est sélectionné, maintenez {0} et passez le curseur sur n'importe quel emplacement pour estimer si le travailleur peut s'y rendre.<br><br>Maintenez {1} et survolez les tâches en attente sur la carte pour voir si le travailleur peut effectuer la tâche.<br><br>Cliquez ensuite sur {2} pour donner au travailleur l'ordre de se rendre à l'emplacement sélectionné ou d'effectuer une tâche.<br><br>Donner un ordre direct supprimera toute autre activité que le travailleur pourrait faire.<br><br>Seuls les travailleurs gérés (robots, drones) peuvent être contrôlés de cette façon.",2022-04-02,
direct.contro,l.misuse.hint,"REMARQUE : Vous n'avez pas besoin de cliquer sur le bouton de contrôle à chaque fois, il affiche simplement cette fenêtre contextuelle d'informations.",
direction.dow,n,Bas,
direction.eas,t,Est,
direction.lef,t,Gauche,
direction.nor,th,Nord,
direction.rig,ht,Droite,
direction.sou,th,Sud,
direction.up,,Haut,
direction.wes,t,Ouest,
dirt,Saleté, ,
dirt.desc,Aut,ocollants de saleté,
disable.achie,vements,Désactivez les succès,
disable.achie,vements.tip,"Si vous trouvez les succès ennuyeux, vous pouvez les désactiver complètement.",,
disable.force,.field,Désactiver le champ de force,
disable.merch,ant.beacon,Désactiver la balise marchande,
disabled.in.t,utorial,Désactivé dans le didacticiel,
disassemble,D,émonter,
disassembling,.bar,Démontage: {0}/{1},
discharge.tim,e.left,Temps de champ de force,
disconnect.al,l,Tout déconnecter,
disk.compress,ion,Compression de disque: {0},
do.not.show.a,gain,Ne plus afficher,
dock,Quai,   ,
dockable,Ancr,able,
docked,Amarré,,
docking,Amarr,age,
does.not.incl,ude.batteries,"N'inclut pas les batteries",
dont.save,Qui,tter sans sauvegarder.,
door,Porte,  ,
door.not.powe,red,La porte n'est pas connectée ou souffre d'un déficit électrique,
download.mods,,Mods téléchargés,
drag.dist.tip,,"Possibilité d'accessibilité. Indique combien de pixels vous devez faire glisser avec le bouton cliqué pour considérer l'action comme un ""glisser"".",
drag.release.,build.con,Construire des connecteurs à la volé,
drag.release.,build.con.tip,"S'il est activé, l'outil de connexion crée un connecteur lorsqu'une connexion est glissée et relâchée sur un étage vide.",
drink.coffee,,Boire un café,
drop.task,Sup,primer la tâche,
duplicate.bin,ding,Reliure en double,
