Key,Translation,Version,Comment (context for translators),,,,,,,,,,,,,,,,,,,,,,,
codex.m.combat.raids,Najazdy,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.combat.raids.desc,"Od czasu do czasu piraci mog? napa?? na twoj? koloni?. Kiedy takie zdarzenie nast?pi, Twoja kolonia przejdzie w stan bojowy. U?yj widoku <b>{0}</b>, aby oceni? sytuacj?.<br><br>Wzmocnij swoj? koloni? przed najazdami, wyposa?aj?c j? w bro? i instaluj?c ?rodki obronne.",2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.combat.theft,Kradzie?e,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.combat.theft.desc,"Naje?d?cy mog? zabra? si? za twoje warto?ciowe przedmioty, i przenios? je do swoich pojazdów. W niektórych przypadkach, mog? ukra?? jeden z twoich pojazdów kosmicznych.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.economy,Gospodarka i Handel,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.economy.miningupgrades,Kopanie kryptowalut,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.economy.miningupgrades.desc,"Aby wydobywa? <b>StarKredyty</b>, wymagane jest zainstalowanie <b>Kopalni StarKredytów</b> na swoim <b>Komputerze Pok?adowym</b>.<br><br>Po zainstalowaniu ulepszenia, widok <b>{0}</b> wy?wietli aktualn? <b>Szybko?? Wydobycia</b>.<br><br>Zbuduj i pod??cz dodatkowe <b>Modu?y GPU</b>, aby zwi?kszy? szybko?? wydobycia.<br><br><i>[Wydobywanie kryptowalut w Stardeus jest czysto fikcyjne i nie ma nic wspólnego z rzeczywistymi kryptowalutami i ich wydobywaniem]</i>",2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.economy.starcreds,StarKredyty (g?ówna waluta),,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.economy.starcreds.desc,"StarKredyty s? g?ówn? walut? u?ywan? we wszech?wiecie. Mo?esz zdoby? StarKredyty sprzedaj?c dobra u kupców, handluj?c na Gie?dzie, lub wykopywuj?c j? w swoim Komputerze Pok?adowym (zobacz Kopanie Kryptowalut).",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.economy.stockmarket,Gie?da,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.economy.stockmarket.desc,"<b>Gie?da</b> okre?la podstawowe ceny wszystkich towarów, którymi handlujesz z Kupcami. Po odblokowaniu niezb?dnych bada?, mo?esz handlowa? akcjami i towarami dla zysku.<br><br>Handel na gie?dzie nie powoduje kupna ani sprzeda?y ?adnych rzeczywistych towarów.<br><br>U?yj widoku <b>{0}</b> aby wej?? do interfejsu gie?dy.",2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.economy.trading,Handel z Kupcami,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.economy.trading.desc,"Podczas swojej podró?y, napotkasz kupców, którzy b?d? chcieli z tob? handlowa?. Kupiec mo?e wyl?dowa? na twoim statku w Komórce Zastoju, u?yj Komunikatora i Teleportera aby handlowa? na odleg?o??, lub miej w posiadaniu sklep w placówce na planecie, która nale?y do jakiej? Frakcji.<br><br>Kupcy b?d? mieli ró?ne oferty i mog? kupowa? lub sprzedawa? tylko konkretne dobra. Kupcy maj? w?asne mar?e kupna i sprzeda?y, oprócz ceny bazowej dyktowanej przez gie?d?. Relacje z Frakcjami mog? wp?yn?? na cen? mar??.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity,Sie? Elektryczna,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.autoconnection,Automatyczne Po??czenia,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.autoconnection.desc,"Je?li nie podoba ci si? manualne zarz?dzanie po??czeniami, jest mo?liwo?? zbadania (lub kupienia) Ulepszenia Auto-??czenia. Zainstaluj j? na swoim Komputerze Pok?adowym, a twoje po??czenia b?d? tworzone automatycznie.<br><br>Mo?esz te? tworzy? po??czenia zbiorowo, u?ywaj?c opcji Auto-??czenia w Panelu Informacyjnym albo Menu Kontekstu dla zaznaczonych ??czników.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.consumptionpriority,Priorytet Konsupcji Energetycznej,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.consumptionpriority.desc,"Ró?ne urz?dzenia elektryczne maj? ró?ne priorytety konsupmcji energetycznej. Mo?esz je sprawdzi? i zmieni? dla zaznaczonego uz?dzenia, zagl?daj?c do sekcji W?ze? Energii w Panelu Informacyjnym. Najwy?szym priorytetm jest 9, to oznacza ?e urz?dzenie b?dzie zasilane jako pierwsze. Najni?szym priorytetem jest 1. Urz?dzenie z tym priorytetm b?dzie zasilane ostatnie, je?li nie ma deficytu energii. Komputer Pok?adowy ma priorytet 9, Pod?wietlana Pod?oga ma 1.<br><br>Uwaga: Zmiana bazowego priorytetu nie jest zalecana.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.damagedconnectors,Uszkodzone ??czniki,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.damagedconnectors.desc,"Je?li ??cznik jest mocno uszkodzony, b?dzie musia? zosta? naprawiony, zanim jakiekolwiek po??czenia zostan? stworzone.<br><br>Lekkie uszkodzenia zmniejsz? liczb? gniazdek mo?liwych do u?ycia.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.gridredundancy,Du?a Dost?pno?? i Nadmiar,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.gridredundancy.desc,"Aby zabezpieczy? si? przed zak?uceniami sieci elektrycznej, zaplanuj sie? z nadmiarow? ilo?ci? pr?du. Jest to bardzo wa?ne dla krytycznych cz??ci infrastruktury statku, jak Reaktory, Baterie, Komputer Pok?adowy, Komora Zastoju, Pompy Tlenu, Podgrzewacze, Drzwi i ?luzy.<br><br>By zwi?kszy? nadmiar, buduj wi?cej ??czników i upewnij si?, ?e wa?ne urz?dzenia maj? wi?cej ni? jedno po??czenie z sieci?.<br><br>Du?a Dost?pno?? oznacza, ?e nawet je?li cz??? twojej sieci padnie, konsekwencje b?d? bardzo ma?e b?d? zerowe dla twoich najwa?niejszych urz?dze?.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.handlingdeficit,Jak poradzi? sobie z Deficytem Pr?du,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.handlingdeficit.desc,"Kiedy urz?dzenia pobieraj? wi?cej pr?du ni? produkuje sie?, powoduje to <b>Deficyt Pr?du</b>. W Panelu wydarze? pojawi si? ostrze?enie, a migocz?ce ?wiat?a mog? by? widocznym objawem problemu.<br><br>Mo?esz zarz?dza? deficytem na ró?ne sposoby:<br> - U?yj <b>Szczegó?y Sieci</b> w widoku <b>{0}</b>, aby przeanalizowa? sytuacj?. Ta sekcja zawiera list? <b>Odbiorców</b>, która pomaga w ustaleniu przyczyny deficytu.<br> - Tymczasowo wy??cz niepotrzebne urz?dzenia które pobieraj? du?o energii.<br> - Zbuduj wi?cej <b>Reaktorów</b> i <b>Paneli s?onecznych</b> w celu zwi?kszenia wytwarzania energii. Rozs?dne jest utrzymywanie nadwy?ki produkcyji energii.<br> - Zainwestuj w <b>Baterie</b>, utrzymuj?c je w pe?ni na?adowane, aby s?u?y?y jako rezerwa dla twojej sieci.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.managingunreachabledevices,Zarz?dzanie urz?dzeniami poza zasi?giem,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.managingunreachabledevices.desc,"Nie mo?na kontrolowa? urz?dze?, które nie znajduj? si? w tej samej sieci co <b>Komputer Pok?adowy</b>. Mo?esz jednak poinstruowa? pracownika-robota, aby skonfigurowa? tymczasowe po??czenie. Po pod??czeniu urz?dzenie staje si? w pe?ni funkcjonalne. Pracownik ten dostarczy tak?e niewielk? ilo?? <b>Pr?du</b> i <b>CPU</b>.<br><br>Aby zleci? tymczasowe po??czenie, wybierz nieosi?galne urz?dzenie, a nast?pnie u?yj przycisku <b>Zarz?dzaj</b> obok ostrze?enia <b>W?ze? Jest Nieosi?galny</b> w Panelu Informacyjnym lub Menu Kontekstowym. Gdy pracownik nawi??e tymczasowe po??czenie, w Panelu Wydarze? pojawi si? powiadomienie.<br><br>Aby zako?czy? tymczasowe po??czenie, wybierz po??czonego pracownika i kliknij <b>Porzu? Zadanie</b> w Panelu Informacyjnym.",2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.multiplegrids,Wiele Sieci,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.multiplegrids.desc,"Istnieje mo?liwo?? posiadania wielu sieci elektrycznych. Mo?esz kontrolowa? urz?dzenia i manipulowa? po??czeniami tylko wtedy, gdy Komputer Pok?adowy jest po??czony do sieci.<br><br>W wi?kszo?ci przypadków, wypada po??czy? wiele sieci w jedn?. Je?li zdarzy ci si? sytuacja, podczas której potrzebujesz szybko od??czy? sie? od reszty, mo?esz zbudowa? Prze??cznik i przeprowadzi? przez niego po??czenia.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.productionpriority,Priorytet Produkcji Elektrycznej,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.electricity.productionpriority.desc,,,"empty on purpose, codex linked to el.production.priority.desc",,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment,?rodowisko,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.airtightness,Szczelno??,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.airtightness.desc,"Szczelno?? wskazuje na zdolno?? konstrukcji do zapobiegania <b>Przep?ywowi Tlenu</b>. Przy 100% konstrukcja jest ca?kowicie uszczelniona. Zazwyczaj <b>?ciany</b> s? w 100% szczelne, chyba ?e zostan? uszkodzone. Zamkni?te <b>Drzwi</b> zachowuj? 100% szczelno?ci. Zasilane <b>?luzy Powietrzne</b> s? ca?kowicie szczelne nawet po otwarciu.<br><br>Nienaruszone <b>Pod?ogi</b> maj? 5% szczelno?ci, umo?liwiaj?c wymian? tlenu w danym obszarze. Kiedy szczelno?? pod?ogi spadnie poni?ej 2,5%, zostaje ona wystawiona na dzia?anie otwartej przestrzeni, powoduj?c ulatnianie si? tlenu.<br><br>Sprawd? widok <b>{0}</b> lub naci?nij {1} i najed? kursorem na obszary, które chcesz sprawdzi?, aby zobaczy? ich szczelno??.",2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.enclosedareas,Obszary Zamkni?te,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.enclosedareas.desc,"Obszar uwa?a si? za <b>Zamkni?ty</b>, gdy jest ca?kowicie otoczony <b>?cianami</b> i <b>Pod?ogami</b>. Gdy obszar jest wystawiony na dzia?anie <b>Przestrzeni</b> przez brakuj?c? ?cian? lub element pod?ogi, nie mo?e zosta? odpowiednio natleniony i ogrzany.<br><br>Niektóre urz?dzenia wymagaj? <b>Niezamkni?tego</b> obszaru, aby dzia?a?. Je?eli takie urz?dzenie zostanie zamkni?te, w Panelu Wydarze? pojawi si? ostrze?enie. <br><br>Mo?esz zobaczy?, które obszary s? uwa?ane za zamkni?te w widoku <b>{0}</b>.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.fire,Ogie?,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.fire.desc,"Kiedy wysoki poziom ciep?a ??czy si? z tlenem, niektóre obiekty mog? si? zapali?.<br><br>Mo?esz zbudowa? Armaty z P?ynem i nape?ni? je wod?, aby automatycznie gasi? po?ary.<br><br>Wybierz dowolny obiekt lub istot? i sprawd? ich komfortow? temperatur? i ryzyko zapalenia si? w Panelu Informacyjnym.<br><br>Wy??czenie wszystkich pobliskich Pomp Tlenu (w tym tej wbudowanej w Komorze Zastoju), zamkni?cie Otworów Wentylacyjnych i rozmontowanie p?ytek pod?ogowych jest przydatne w próbach ugaszenia po?aru.<br><br>Miej oko na widok <b>{0}</b>, aby zapobiec powstaniu po?aru.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.heat,Temperatura,2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.heat.desc,"Ka?da p?ytka ma swój? atmosfer?. <b>Wymiana Temperatury</b> zachodzi stale pomi?dzy wszystkimi s?siednimi p?ytkami, w zale?no?ci od ich poziomu <b>Izolacji</b>.<br><br>Gdy obszar zostanie wystawiony na otwart? przestrze?, temperatura spadnie do <b>Zera Absolutnego</b> (0K lub -273°C lub -460°F).<br><br>Wysoka temperatura zmieszana z tlenem mo?e spowodowa? po?ar.<br><br>Sprawd? widoki <b>{0}</ b> oraz <b>{1}</b> lub naci?nij {2} i najed? kursorem na obszary, aby zobaczy? odczyty temperatury i poziomy izolacji.",2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.hullintegrity,Intergralno?? Kad?uba,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.hullintegrity.desc,"<b>Integralno?? Kad?uba</b> odnosi si? do stanu elementów konstrukcyjnych, takich jak <b>Pod?ogi</b>, <b>?ciany</b>, <b>Wentylacje</b> i <b>Drzwi< /b>. Ma ona bezpo?redni wp?yw na warto?ci <b>Szczelno?ci</b> i <b>Izolacji</b> w zale?no?ci od aktualnego stanu konstrukcji. <br><br><b>Uszkodzona</b> konstrukcja b?dzie zmniejsza?a Integralno?? Kad?uba, powoduj?c naruszenie Szczelno?ci i Izolacji. W przypadku <b>Drzwi</b> i <b>Wentylacji</b> ich stan, otwarty lub zamkni?ty, wp?ywa na integralno?? kad?uba.<br><br>Niektóre typy konstrukcji, takie jak <b>Ramy</b>, nie mog? mie? pe?nej integralno?ci, dlatego nie mo?na ich u?y? do stworzenia szczelnego i izolowanego pomieszczenia.<br><br>Wybierz dowolny element pod?ogi lub ?ciany i sprawd? dane dotycz?ce Integralno?ci Kad?uba w Panelu Informacyjnym.",2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.insulation,Izolacja,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.insulation.desc,"Izolacja jest podobna do <b>Szczelno?ci</b>, ale zamiast tlenu, reguluje wymian? <b>Temperatury</b>. Chocia? ?ciany s? zazwyczaj ca?kowicie szczelne, nie s? izolowane w 100%. Je?li nie masz aktywnych <b>Producentów Ciep?a</b>, obszary b?d? powoli si? och?adza?.<br><br>Aby zmniejszy? utrat? temperatury, zbuduj dodatkowe warstwy <b>?cian</b> na zewn?trz statku lub zbuduj obszary  wokó? g?ównych pomieszcze? mieszkalnych, aby pe?ni?y funkcj? buforów izolacyjnych.<br><br>Sprawd? widok <b>{0}</b> lub naci?nij {1} i najed? kursorem na obszar, aby sprawdzi? jego izolacj?.",2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.islands,Sekcje (Wyspy),,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.islands.desc,"<b>Sekcja</b> to ca?kowicie od??czona cz??? statku. Aby statek by? <b>Gotowy do Lotu</b>, musi by? w jednym kawa?ku.<br><br>Mo?esz po??czy? dwie sekcje za pomoc? <b>Pod?og</b> lub ram, aby po??czy? je w jedn?, wi?ksz? sekcj?. <br><br><b>Ma?e ?atki Pod?óg</b> na otwartej przestrzeni nie s? traktowane jako oddzielna sekcja.<br><br>Alternatywnie, mo?esz u?y? <b>Haka Wci?garki</b> i <b>Kotwicy Wci?garki</b> lub <b>Kontrolerów Manewrowania</b> do przemieszczania sekcji statku.<br><br>Sekcje mo?na równie? <b>Zdekonstruowa?</b> w celu odzyskiwania materia?ów, <b>Porzuci?</b> lub <b>Sprzeda?</b> w <b>Porcie Kosmicznym</b>.<br><br>Sprawd? widok <b>{0}</b>, aby uzyska? wi?cej szczegó?ów.",2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.oxygen,Tlen,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.environment.oxygen.desc,"Tlen jest gazem niezb?dnym do podtrzymania ?ycia wi?kszo?ci istot biologicznych. Wymiana tlenu zachodzi stale pomi?dzy wszystkimi s?siednimi p?ytkami, w zale?no?ci od ich poziomu <b>Szczelno?ci</b>. Gdy obszar zostanie wystawiony na dzia?anie <b>Otwartej Przestrzeni</b>, nast?pi wyciek tlenu. Ekstremalne ciep?o zmieszane z tlenem spowoduje po?ar.<br><br><br>Sprawd? widok <b>{0}</b> i <b>{1}</b> lub naci?nij {2} i najed? kursorem na obszar, aby sprawdzi? poziom tlenu i szczelno??.",2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.inputcontrols,Sterowanie,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.inputcontrols.gamepad,Kontrolery,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.inputcontrols.gamepad.desc,"Mo?esz u?ywa? wi?kszo?ci kontrolerów. Steam Deck równie? powinien dzia?a?.<br><br>Mo?esz prze??cza? mi?dzy u?ywaniem klawiatury/myszy i kontrolera w dowolnym momencie. Nie ma potrzeby ponownego uruchamiania gry.<br><br>Po pod??czeniu kontrolera otwórz Ustawienia > Wej?cie w Menu Pauzy, aby zobaczy? i zmieni? sterowanie.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.inputcontrols.modifiers,Klawisze Modyfikuj?ce,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.inputcontrols.modifiers.desc,"Niektóre narz?dzia maj? ró?ne tryby, które mo?na prze??cza?, przytrzymuj?c przyciski {0}, {1} i {2} lub kombinacj? tych klawiszy. Narz?dzia Buduj i Planuj maj? nast?puj?ce tryby:<br>{0} -> Rysuj lini?<br>{1} -> Rysuj okr?g<br>{2} -> O?ówek (swobodne rysowanie)<br> {0} + {1} -> Wype?nienie<br>{0} + {2} -> Usu? (obszar prostok?ta)<br><br>Podczas przesuwania lub przybli?ania kamery za pomoc? klawiatury:<br>{0} -> 1/2x pr?dko?? (wolno) <br>{1} -> 2x pr?dko?? (szybko)",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.inputcontrols.mouseandkeyboard,Myszka i Klawiatura,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.inputcontrols.mouseandkeyboard.desc,"Chocia? w gr? mo?na gra? za pomoc? kontrolera, najskuteczniejsze jednak jest u?ywanie myszy i klawiatury. Niektóre akcje, takie jak Szybkie Wyszukiwanie ({0}), nie s? dost?pne podczas korzystania z Kontrolera.",2022-05-11,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.research,Badania,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.research.disk,Pojemno?? Dysku Bada?,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.research.disk.desc,"Odblokowanie nowych bada? zajmie miejsce na „Dysku”. Ilo?? wolnego miejsca mo?esz sprawdzi? w lewej górnej cz??ci interfejsu u?ytkownika „Drzewko Bada?”.<br><br>Zbuduj i pod??cz wi?cej „Modu?ów Dysku”, aby uzyska? wi?cej miejsca na dysku.<br><br>Mo?esz ulepszy? swoje „Modu?y Dysku” za pomoc? „Aktualizacji Kompresji Pami?ci”, aby uzyska? wi?cej miejsca na dysku z istniej?cych modu?ów. Uaktualnienia mo?na uk?ada? w stosy.<br><br>Mo?esz tak?e odzyska? miejsce na dysku, usuwaj?c „Zapisane Badania” poprzez menu w lewej górnej cz??ci interfejsu u?ytkownika „Drzewko Bada?”. Spowoduje to zapomnienie zbadanej technologii i zwolnienie zajmowanego miejsca na dysku.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.research.search,Wyszukiwanie w Drzewku Bada?,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.research.search.desc,"W górnym lewym rogu interfejsu u?ytkownika ""Drzewka Bada?"" jest przycisk ""Wyszukaj"". Mo?esz u?y? tego skrótu aby znale?? konkretne plany i technologie przez cz??? ich nazwy.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.research.tiers,,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.research.tiers.desc,"Ka?da technologia w „Drzewku Bada?” ma przypisany „Poziom”. Liczba ma charakter wy??cznie informacyjny, mo?esz bada? technologie na wy?szym poziomie bez odblokowywania technologii ni?szego poziomu, ale zaleca si? odblokowanie technologii ni?szego poziomu przed przej?ciem na wy?sze poziomy.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.resources,Materia?y i Zasoby,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.resources.crafting,Tworzenie (produkcja) zasobów,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
